layer	source	target	run	dist1	dist2	dist3	dist4	dist5	dist6-7	dist8-10	dist10-
0	en	ar	1	0.8026459522	0.707217695	0.6648976497	0.5795691452	0.4732394366	0.4418022528	0.3421052632	0.2596899225
0	en	es	1	0.8070154145	0.7062475747	0.6679302502	0.5823488534	0.4816901408	0.4292866083	0.3464912281	0.2945736434
0	en	fr	1	0.803131448	0.7031431898	0.6592115239	0.5760945101	0.5070422535	0.4568210263	0.3421052632	0.3003875969
0	en	ru	1	0.7974268722	0.7035312379	0.659969674	0.5837387074	0.4788732394	0.4405506884	0.326754386	0.2887596899
0	en	zh	1	0.8028887001	0.7023670935	0.6573161486	0.5733148019	0.4704225352	0.4330413016	0.3289473684	0.265503876
0	en	en	1	0.7489986649	0.6476523089	0.6012130402	0.5024322446	0.414084507	0.3629536921	0.2697368421	0.2228682171
1	en	ar	1	0.8945260347	0.8810632518	0.8339651251	0.7699791522	0.6943661972	0.6871088861	0.5789473684	0.5503875969
1	en	es	1	0.8942832868	0.8857198293	0.859742229	0.7887421821	0.7211267606	0.7271589487	0.6206140351	0.5949612403
1	en	fr	1	0.8851802403	0.8641831587	0.8286580743	0.7470465601	0.6971830986	0.6645807259	0.5855263158	0.5290697674
1	en	ru	1	0.8766840636	0.875048506	0.8525398029	0.7720639333	0.7084507042	0.7071339174	0.6271929825	0.5794573643
1	en	zh	1	0.8763199417	0.8785409391	0.846474602	0.7810979847	0.7492957746	0.7209011264	0.6666666667	0.5968992248
1	en	en	1	0.8111421289	0.7727978269	0.6963608795	0.6150104239	0.523943662	0.4993742178	0.4188596491	0.3410852713
2	en	ar	1	0.9032649593	0.8969732247	0.8737680061	0.8179291174	0.7943661972	0.7622027534	0.7302631579	0.6899224806
2	en	es	1	0.8971962617	0.8977493209	0.8661865049	0.8262682418	0.7901408451	0.7672090113	0.701754386	0.6414728682
2	en	fr	1	0.8933122952	0.8851377571	0.8574677786	0.7887421821	0.7661971831	0.7246558198	0.6776315789	0.5872093023
2	en	ru	1	0.8734069669	0.8738843617	0.8567096285	0.7901320361	0.7690140845	0.74718398	0.6864035088	0.6899224806
2	en	zh	1	0.8718291055	0.8742724098	0.8517816528	0.807505212	0.7704225352	0.7409261577	0.7105263158	0.7054263566
2	en	en	1	0.8164825828	0.7776484284	0.7278241092	0.6240444753	0.5605633803	0.5156445557	0.4364035088	0.3565891473
3	en	ar	1	0.9003519845	0.8994955374	0.8881728582	0.8151494093	0.8014084507	0.7834793492	0.6973684211	0.6957364341
3	en	es	1	0.904114577	0.9022118743	0.8832448825	0.8415566366	0.8042253521	0.7897371715	0.7587719298	0.6918604651
3	en	fr	1	0.8993809928	0.8950329841	0.8707354056	0.8193189715	0.7887323944	0.7521902378	0.7368421053	0.6589147287
3	en	ru	1	0.8850588664	0.8888242142	0.8737680061	0.8179291174	0.7774647887	0.7659574468	0.7083333333	0.6976744186
3	en	zh	1	0.8866367278	0.8897943345	0.8756633814	0.8186240445	0.7957746479	0.7784730914	0.7609649123	0.7170542636
3	en	en	1	0.805680301	0.7811408615	0.7259287339	0.6316886727	0.5746478873	0.5707133917	0.4978070175	0.4728682171
4	en	ar	1	0.9046000728	0.911331005	0.9021986353	0.8471160528	0.8309859155	0.8285356696	0.7894736842	0.7519379845
4	en	es	1	0.9049641947	0.9099728366	0.8984078848	0.8498957609	0.8338028169	0.8235294118	0.7785087719	0.7170542636
4	en	fr	1	0.9024153417	0.9068684517	0.8896891585	0.8526754691	0.8267605634	0.8235294118	0.8070175439	0.7248062016
4	en	ru	1	0.8863939799	0.8884361661	0.8817285823	0.851285615	0.8126760563	0.788485607	0.7675438596	0.7364341085
4	en	zh	1	0.8853016143	0.8927046954	0.880212282	0.8422515636	0.8	0.8097622028	0.7697368421	0.7131782946
4	en	en	1	0.8098070154	0.8213038417	0.7990902199	0.7303683113	0.6661971831	0.6120150188	0.5679824561	0.5174418605
0	en	ar	2	0.808229154	0.7060535506	0.6520090978	0.5802640723	0.4732394366	0.4392991239	0.3377192982	0.2674418605
0	en	es	2	0.7949993931	0.7064415988	0.6592115239	0.5886031967	0.4816901408	0.4330413016	0.3399122807	0.2887596899
0	en	fr	2	0.8055589271	0.7130384168	0.659969674	0.5705350938	0.485915493	0.4305381727	0.3245614035	0.3042635659
0	en	ru	2	0.8019177085	0.7066356228	0.6504927976	0.5608061154	0.4690140845	0.4292866083	0.3355263158	0.2771317829
0	en	zh	2	0.7974268722	0.7083818393	0.6618650493	0.5712300208	0.4788732394	0.4480600751	0.3289473684	0.2868217054
0	en	en	2	0.7509406481	0.6455180442	0.593631539	0.4968728284	0.4084507042	0.3717146433	0.2653508772	0.2325581395
1	en	ar	2	0.893676417	0.8845556849	0.8415466262	0.7630298819	0.6985915493	0.6933667084	0.6074561404	0.5484496124
1	en	es	2	0.8910061901	0.8884361661	0.8642911296	0.786657401	0.7352112676	0.7371714643	0.6447368421	0.6007751938
1	en	fr	2	0.8788687948	0.8604967016	0.8225928734	0.7366226546	0.6746478873	0.6508135169	0.5635964912	0.5096899225
1	en	ru	2	0.8724359752	0.868451688	0.8510235027	0.7727588603	0.7126760563	0.7071339174	0.6425438596	0.5697674419
1	en	zh	2	0.8747420804	0.8740783857	0.8423047763	0.7727588603	0.738028169	0.689612015	0.6381578947	0.5949612403
1	en	en	2	0.8072581624	0.7694994179	0.7039423806	0.6136205698	0.523943662	0.4718397998	0.4210526316	0.3313953488
2	en	ar	2	0.8922199296	0.8884361661	0.8722517058	0.8130646282	0.785915493	0.7822277847	0.7149122807	0.6918604651
2	en	es	2	0.8952542784	0.8896003104	0.8646702047	0.8165392634	0.776056338	0.7659574468	0.7105263158	0.6492248062
2	en	fr	2	0.8924626775	0.8833915406	0.8623957544	0.7922168172	0.7647887324	0.7234042553	0.673245614	0.6085271318
2	en	ru	2	0.8702512441	0.8719441211	0.8529188779	0.7956914524	0.7661971831	0.7459324155	0.7039473684	0.6899224806
2	en	zh	2	0.8744993324	0.8736903376	0.8525398029	0.8061153579	0.7774647887	0.7684605757	0.7324561404	0.6976744186
2	en	en	2	0.8150260954	0.779588669	0.7244124337	0.6358582349	0.5774647887	0.5381727159	0.4473684211	0.3643410853
3	en	ar	2	0.8931909212	0.898137369	0.8821076573	0.8123697012	0.7901408451	0.7922403004	0.7127192982	0.6879844961
3	en	es	2	0.9033863333	0.8989134653	0.8794541319	0.8436414177	0.8112676056	0.7759699625	0.7478070175	0.7073643411
3	en	fr	2	0.9020512198	0.8993015134	0.8673237301	0.808200139	0.7788732394	0.7622027534	0.7105263158	0.6686046512
3	en	ru	2	0.8844519966	0.8868839736	0.8703563306	0.8200138985	0.7845070423	0.7647058824	0.7214912281	0.7034883721
3	en	zh	2	0.8878504673	0.8911525029	0.8692191054	0.8144544823	0.7943661972	0.7834793492	0.7324561404	0.7131782946
3	en	en	2	0.7998543513	0.7910360885	0.7327520849	0.6309937457	0.5718309859	0.563204005	0.5	0.4573643411
4	en	ar	2	0.8998664887	0.9066744276	0.8980288097	0.830437804	0.8309859155	0.8135168961	0.7916666667	0.7228682171
4	en	es	2	0.9037504552	0.911136981	0.899924185	0.8575399583	0.823943662	0.8222778473	0.7894736842	0.7189922481
4	en	fr	2	0.9031435854	0.9066744276	0.8965125095	0.8554551772	0.8267605634	0.8085106383	0.798245614	0.734496124
4	en	ru	2	0.8895497026	0.8911525029	0.8768006065	0.8415566366	0.8309859155	0.7834793492	0.7631578947	0.7131782946
4	en	zh	2	0.8880932152	0.8919285991	0.8779378317	0.8485059069	0.8169014085	0.802252816	0.7653508772	0.6976744186
4	en	en	2	0.8098070154	0.8178114086	0.7873388931	0.7275886032	0.6535211268	0.5994993742	0.5548245614	0.511627907
0	en	ar	3	0.8034955699	0.7122623205	0.6539044731	0.5698401668	0.4732394366	0.4342928661	0.3135964912	0.25
0	en	es	3	0.8041024396	0.7025611176	0.6611068992	0.5726198749	0.4605633803	0.4380475594	0.3464912281	0.2926356589
0	en	fr	3	0.8038596917	0.7041133101	0.6482183472	0.5698401668	0.4830985915	0.4430538173	0.3245614035	0.3100775194
0	en	ru	3	0.7992474815	0.7012029492	0.6656557998	0.5788742182	0.485915493	0.4455569462	0.3706140351	0.2965116279
0	en	zh	3	0.7981551159	0.7043073341	0.6497346475	0.553856845	0.4845070423	0.4455569462	0.3355263158	0.265503876
0	en	en	3	0.7403811142	0.6437718277	0.5928733889	0.489228631	0.4042253521	0.3804755945	0.2850877193	0.230620155
1	en	ar	3	0.8946474087	0.8804811797	0.8309325246	0.7692842252	0.7070422535	0.6933667084	0.600877193	0.5600775194
1	en	es	3	0.8933122952	0.8894062864	0.8642911296	0.7783182766	0.7338028169	0.719649562	0.6184210526	0.5988372093
1	en	fr	3	0.8819031436	0.8678696158	0.8286580743	0.7491313412	0.6830985915	0.6408010013	0.5723684211	0.519379845
1	en	ru	3	0.8743779585	0.8744664338	0.8434420015	0.766504517	0.7197183099	0.6821026283	0.6337719298	0.5852713178
1	en	zh	3	0.8791115427	0.8808692278	0.853297953	0.7831827658	0.7366197183	0.7209011264	0.6622807018	0.6240310078
1	en	en	3	0.8172108266	0.7722157548	0.7031842305	0.6226546213	0.5408450704	0.4693366708	0.4035087719	0.3100775194
2	en	ar	3	0.896138189	0.8919464318	0.8821318756	0.8303030303	0.8280739935	0.820610687	0.8230452675	0.8582089552
2	en	es	3	0.8941619129	0.8950329841	0.8677028052	0.8241834607	0.7901408451	0.7647058824	0.725877193	0.6531007752
2	en	fr	3	0.8917344338	0.8828094684	0.8529188779	0.7977762335	0.7535211268	0.703379224	0.6907894737	0.5988372093
2	en	ru	3	0.8754703241	0.8700038805	0.8506444276	0.7845726199	0.761971831	0.7459324155	0.7214912281	0.7015503876
2	en	zh	3	0.8776550552	0.875048506	0.8449583017	0.8137595552	0.7690140845	0.7546933667	0.7171052632	0.7093023256
2	en	en	3	0.813569608	0.7799767171	0.73313116	0.6351633079	0.5436619718	0.5181476846	0.4188596491	0.3430232558
3	en	ar	3	0.8974390096	0.8985254172	0.8794541319	0.8193189715	0.8042253521	0.7722152691	0.7061403509	0.6996124031
3	en	es	3	0.9003519845	0.9024058983	0.8828658074	0.8346073662	0.7971830986	0.7934918648	0.7521929825	0.6918604651
3	en	fr	3	0.8986527491	0.8934807916	0.8771796816	0.8123697012	0.7802816901	0.7546933667	0.7149122807	0.6608527132
3	en	ru	3	0.8857871101	0.8903764067	0.8680818802	0.8179291174	0.7915492958	0.7559449312	0.7105263158	0.7151162791
3	en	zh	3	0.8876077194	0.8901823826	0.8760424564	0.8207088256	0.7873239437	0.7709637046	0.7456140351	0.7151162791
3	en	en	3	0.8008253429	0.7906480404	0.7236542835	0.6323835997	0.5492957746	0.5469336671	0.5065789474	0.4496124031
4	en	ar	3	0.9005947324	0.9033760186	0.8938589841	0.8464211258	0.8309859155	0.8210262829	0.7938596491	0.7170542636
4	en	es	3	0.9044786989	0.9121071013	0.8976497346	0.8561501042	0.8309859155	0.8222778473	0.7960526316	0.730620155
4	en	fr	3	0.9031435854	0.907838572	0.8923426839	0.8610145935	0.8267605634	0.8060075094	0.8157894737	0.7364341085
4	en	ru	3	0.8900351984	0.8901823826	0.8771796816	0.850590688	0.823943662	0.7972465582	0.7631578947	0.7286821705
4	en	zh	3	0.8873649715	0.8932867676	0.8889310083	0.8457261987	0.8084507042	0.8097622028	0.7653508772	0.6976744186
4	en	en	3	0.8044665615	0.815677144	0.7884761183	0.7213342599	0.6732394366	0.6182728411	0.5460526316	0.4941860465
