layer	source	target	run	dist1	dist2	dist3	dist4	dist5	dist6-7	dist8-10	dist10-
0	en	ar	1	0.8153812301	0.7187671987	0.6870515887	0.6387878788	0.5930359086	0.5715648855	0.5761316872	0.6766169154
0	en	es	1	0.8104301903	0.7154650523	0.6935428767	0.6284848485	0.5865070729	0.5534351145	0.5761316872	0.6815920398
0	en	fr	1	0.8151611838	0.7141808842	0.6880765289	0.6272727273	0.6082698585	0.5772900763	0.5829903978	0.6865671642
0	en	ru	1	0.8095500055	0.714731242	0.6887598223	0.6315151515	0.5886833515	0.5648854962	0.5706447188	0.6815920398
0	en	zh	1	0.8095500055	0.7134470739	0.6846600615	0.6212121212	0.5799782372	0.5591603053	0.5637860082	0.675787728
0	en	en	1	0.7624601166	0.6519904605	0.6272634096	0.5612121212	0.5440696409	0.5143129771	0.536351166	0.6616915423
1	en	ar	1	0.8974584663	0.8838745184	0.845234028	0.7945454545	0.7551686616	0.7557251908	0.7283950617	0.7968490879
1	en	es	1	0.8952580042	0.8873601174	0.8670994192	0.8096969697	0.7747551687	0.7853053435	0.7489711934	0.8167495854
1	en	fr	1	0.8907470569	0.867547239	0.8404509737	0.7739393939	0.760609358	0.7385496183	0.7352537723	0.7893864013
1	en	ru	1	0.8831554626	0.8781874885	0.8623163649	0.7963636364	0.768226333	0.7719465649	0.7572016461	0.8092868988
1	en	zh	1	0.8810650237	0.8814896349	0.8554834301	0.8012121212	0.7932535365	0.7805343511	0.780521262	0.8175787728
1	en	en	1	0.8236329629	0.7805907173	0.7215579091	0.6587878788	0.6267682263	0.6116412214	0.6268861454	0.7056384743
2	en	ar	1	0.9052701067	0.8989176298	0.8797403485	0.8351515152	0.8324265506	0.8120229008	0.8257887517	0.855721393
2	en	es	1	0.9006491363	0.9003852504	0.8746156474	0.8436363636	0.8324265506	0.8167938931	0.8065843621	0.8383084577
2	en	fr	1	0.8977885356	0.8879104751	0.8653911855	0.8109090909	0.8117519042	0.786259542	0.792866941	0.8142620232
