layer	source	target	acc1	acc2	acc3
0	en	ar	72.87	72.25335592	72.63999305
0	en	es	72.52	72.54441983	72.5183544
0	en	fr	72.84	72.63999305	72.68777966
0	en	ru	72.48	72.44015813	72.73122203
0	en	zh	72.21	72.64868152	72.21860202
0	en	en	67.22	67.66584126	67.28354837
1	en	ar	85.75	85.99417872	85.92032669
1	en	es	86.51	86.83696077	86.67622399
1	en	fr	84.81	84.20869716	84.63877666
1	en	ru	85.56	85.29910074	85.31647769
1	en	zh	85.76	85.48590295	86.08106347
1	en	en	75.87	75.6331726	76.06759633
2	en	ar	88.32	87.77097181	87.81875842
2	en	es	88.04	87.71449672	87.93170859
2	en	fr	86.89	86.89343586	86.80220687
2	en	ru	86.19	86.08106347	86.10278466
2	en	zh	86.37	86.41122551	86.41991398
2	en	en	76.72	76.97554194	76.7496416
3	en	ar	88.66	88.30096876	88.42260741
3	en	es	89.11	88.92653895	88.86137539
3	en	fr	88.18	88.22711673	88.03597029
3	en	ru	87.6	87.58851384	87.6536774
3	en	zh	87.98	87.79703723	87.87088927
3	en	en	77.01	77.17537686	76.91037838
4	en	ar	89.97	89.27407794	89.33055302
4	en	es	89.84	89.86054998	89.93005778
4	en	fr	89.64	89.6998132	89.71719015
4	en	ru	88.38	88.40523046	88.41826317
4	en	zh	88.22	88.31400148	88.38785351
4	en	en	80.34	80.04257353	79.78191928
0	es	en	78.43	78.70226369	78.34802143
1	es	en	86.51	86.47831346	86.58199412
2	es	en	88.04	86.97943667	87.60152065
3	es	en	89.11	89.44185243	89.2344911
4	es	en	89.84	92.3276309	92.25851045
0	ru	en	70.45	70.34804056	70.2840961
1	ru	en	82.61	82.23257513	82.45181328
2	ru	en	84.02	84.24225815	84.59852014
3	ru	en	84.58	84.85429798	84.72640906
4	ru	en	85.91	85.9413538	85.69471088
0	fr	en	80.2	79.88338192	80.48729696
1	fr	en	87.8	87.79675135	87.74468971
2	fr	en	88.63	88.65056227	88.56726364
3	fr	en	90.61	90.59766764	90.74344023
4	fr	en	92.81	92.78425656	92.91961683
0	zh	en	55.15	55.2466991	55.44649062
1	zh	en	70.45	69.99652536	69.70118138
2	zh	en	71.23	71.08234885	71.06497568
3	zh	en	73.52	73.58408617	73.75781793
4	zh	en	74.51	74.6438499	74.52223767
0	ar	en	68.06	68.42009861	68.37296984
1	ar	en	78.23	77.91110789	78.18300464
2	ar	en	79.13	78.89718677	79.08932715
3	ar	en	79.29	79.73462877	79.41922854
4	ar	en	79.84	79.76725638	79.88689095
