layer	source	target	acc1	acc2	acc3
0	en	ar	67.97862635	68.47386941	68.30009992
0	en	es	68.37395195	67.98297059	68.28272297
0	en	fr	68.28272297	68.23928059	68.29141144
0	en	ru	68.42173856	68.30444415	68.33485382
0	en	zh	68.26969026	68.50862331	68.46518094
1	en	ar	79.37356097	79.33446284	79.2258569
1	en	es	79.87749251	79.38659368	79.6211825
1	en	fr	79.11725097	79.45175724	79.16938182
1	en	ru	79.65159216	79.53864199	79.2606108
1	en	zh	79.88183674	79.89486946	79.47347843
2	en	ar	72.7268778	72.69646814	73.10048221
2	en	es	73.18736696	72.86589339	72.87458187
2	en	fr	72.37499457	72.67474695	72.59655068
2	en	ru	72.20122507	72.42278118	72.93974543
2	en	zh	72.68777966	72.73122203	72.32286372
3	en	ar	59.44219992	59.67678874	59.97654112
3	en	es	58.986055	58.4517138	59.19023415
3	en	fr	58.65589296	58.65154872	58.49515618
3	en	ru	58.75581042	58.42564838	58.85572788
3	en	zh	58.86007211	58.76884313	58.08245363
4	en	ar	44.08966506	44.45892524	44.64138321
4	en	es	43.5249142	43.58138929	43.80294539
4	en	fr	44.00712455	43.8854859	43.99409184
4	en	ru	44.5588427	43.64655285	44.08966506
4	en	zh	43.4901603	43.38589861	43.47712759
