layer	source	target	run	Clauses	Coordination	FunctionWords	Loose	MWE	ModifierWords	Nominals
2	en	ar	1	0.0496	0.0659	0.006	0.0651	0.0167	0.0148	0.0144
2	en	es	1	0.0096	0.0046	0.0035	0.0637	0.0287	0.0071	0.0108
2	en	fr	1	0.0197	0.0081	0.0044	0.0765	0.0149	0.0072	0.0098
2	en	ru	1	0.0267	0.0464	0.0005	0.0565	0.0031	-0.0077	0.0031
2	en	zh	1	0.0171	0.0475	0.0003	0.0343	0.0133	-0.0007	0.0076
2	en	en	1	-0.0157	0.0192	0.0005	0.1061	0.0316	0.0034	0.0071
3	en	ar	1	0.0548	0.0682	0.0067	0.0507	0.034	0.0085	0.0155
3	en	es	1	0.0293	0.0262	0.008	0.1519	0.0364	0.0171	0.0192
3	en	fr	1	0.044	0.0521	0.0049	0.1513	0.0343	0.0118	0.0149
3	en	ru	1	0.0414	0.0411	0.0072	0.0891	0.0163	0.0066	0.0151
3	en	zh	1	0.0358	0.0589	0.0055	0.095	0.0421	0.0079	0.0162
3	en	en	1	-0.0398	0.0145	0.0065	0.1482	0.0347	-0.0169	-0.0005
4	en	ar	1	0.0746	0.0915	0.0084	0.1245	0.0336	0.0116	0.0253
4	en	es	1	0.0423	0.0428	0.0082	0.1728	0.0491	0.0126	0.0218
4	en	fr	1	0.083	0.0808	0.0088	0.18	0.0577	0.0151	0.0257
4	en	ru	1	0.0618	0.0639	0.0061	0.1345	0.0341	-0.0004	0.019
4	en	zh	1	0.041	0.0629	0.0042	0.1566	0.0508	0.0074	0.0179
4	en	en	1	0.0806	0.0949	0.0056	0.2162	0.0437	-0.0158	0.0321
2	en	ar	2	0.0411	0.0524	0.0019	0.0854	-0.0107	0.0046	0.0086
2	en	es	2	0.0104	0.0098	0.0033	0.0801	0.0149	0.0033	0.0069
2	en	fr	2	0.0232	0.024	0.0037	0.1583	0.0274	0.0147	0.0104
2	en	ru	2	0.0214	0.0474	0.0019	0.1248	-0.003	-0.0049	0.0018
2	en	zh	2	0.031	0.0447	0.0017	0.1724	0.0142	0.0044	0.0087
2	en	en	2	0.0104	0.0206	0.0023	0.1254	0.0399	0.0138	0.0024
3	en	ar	2	0.051	0.07	0.0022	0.0962	0.0107	0.0015	0.0117
3	en	es	2	0.0346	0.0277	0.0074	0.0587	0.0304	0.0089	0.0152
3	en	fr	2	0.0449	0.0683	0.0056	0.1827	0.0516	0.0241	0.019
3	en	ru	2	0.0422	0.0448	0.005	0.1873	0.0302	0.0097	0.0147
3	en	zh	2	0.048	0.0626	0.006	0.249	0.0367	0.0178	0.0145
3	en	en	2	-0.0418	0.0137	0.0083	0.2193	0.0327	-0.0118	-0.0017
4	en	ar	2	0.0635	0.0872	0.0044	0.0993	0.0126	0.0052	0.0195
4	en	es	2	0.0522	0.0519	0.0102	0.1418	0.0347	0.0066	0.019
4	en	fr	2	0.0773	0.0928	0.0082	0.2152	0.0675	0.0265	0.0293
4	en	ru	2	0.0604	0.06	0.0053	0.1623	0.0498	0.007	0.0189
4	en	zh	2	0.045	0.0689	0.0052	0.3135	0.0505	0.0125	0.0197
