layer	source	target	run	acl	advcl	advmod	advmod:emph	amod	appos	aux	aux:pass	case	cc	ccomp	conj	cop	csubj	dep	det	fixed	flat:foreign	iobj	mark	nmod	nsubj	nsubj:pass	nummod	obj	obl	orphan	parataxis	xcomp
0	ar	en	1	0.6686	0.2098	0.6528	0.3515	0.8193	0.1957	0.8552	0	0.804	0.833	0.541	0.3414	0.3243	0.4706	0.3514	0.8278	0.4257	0.6222	0.0508	0.5294	0.7432	0.5293	0.2391	0.7467	0.4376	0.4151	0	0.898	0.4327
1	ar	en	1	0.8044	0.4756	0.6357	0.4519	0.8541	0.381	0.8509	0.1111	0.9366	0.8412	0.688	0.741	0.6901	0.507	0.5	0.8462	0.6573	0.6087	0.1956	0.6961	0.8247	0.7046	0.2826	0.7569	0.575	0.6027	0	0.9091	0.5018
2	ar	en	1	0.8055	0.436	0.6324	0.4278	0.852	0.3962	0.8732	0	0.939	0.832	0.7185	0.7624	0.6743	0.5915	0.6194	0.8389	0.7229	0.549	0.1849	0.7156	0.8332	0.7409	0.2472	0.7807	0.6015	0.598	0	0.9303	0.5355
3	ar	en	1	0.8171	0.4182	0.6374	0.4339	0.8612	0.3333	0.8729	0	0.9426	0.8321	0.7335	0.7636	0.6905	0.5	0.549	0.8519	0.7815	0.5333	0.1442	0.7459	0.8305	0.7324	0.2118	0.7818	0.5977	0.6174	0	0.9211	0.5524
4	ar	en	1	0.8295	0.3576	0.6372	0.3842	0.8561	0.4211	0.8759	0.1429	0.9437	0.8291	0.7099	0.7706	0.6503	0.4928	0.5714	0.848	0.7929	0.5957	0.2126	0.7605	0.8399	0.741	0.1928	0.8115	0.6126	0.6113	0	0.921	0.5862
0	ar	en	2	0.674	0.2361	0.6575	0.3676	0.8194	0.1915	0.8303	0	0.8594	0.8401	0.5554	0.3433	0.5745	0.4615	0.3613	0.8321	0.463	0.6364	0.0857	0.5264	0.723	0.5389	0.2	0.7542	0.4464	0.4301	0	0.89	0.4435
1	ar	en	2	0.7934	0.4438	0.635	0.4221	0.8608	0.4211	0.8681	0	0.9389	0.8425	0.6804	0.7361	0.6744	0.4857	0.4768	0.8534	0.6968	0.5652	0.2403	0.6877	0.8181	0.6989	0.2826	0.7592	0.5762	0.5968	0	0.9076	0.5208
2	ar	en	2	0.8168	0.4438	0.6266	0.4322	0.8487	0.4615	0.8571	0	0.9396	0.8364	0.7136	0.7646	0.6857	0.6173	0.5621	0.8299	0.6994	0.4651	0.1256	0.7224	0.8304	0.7396	0.2299	0.7682	0.6034	0.609	0	0.9328	0.5492
3	ar	en	2	0.8179	0.4308	0.653	0.4457	0.8607	0.3636	0.878	0.1429	0.9426	0.8287	0.737	0.7656	0.7027	0.5556	0.5479	0.8527	0.7712	0.6531	0.1835	0.7529	0.8357	0.7419	0.2093	0.8	0.6006	0.6173	0	0.9238	0.5362
4	ar	en	2	0.8257	0.3261	0.6331	0.4339	0.8532	0.4098	0.8652	0.1429	0.9439	0.83	0.7222	0.7731	0.6667	0.4857	0.5526	0.8496	0.7712	0.5714	0.188	0.7495	0.8359	0.7466	0.2118	0.8165	0.6127	0.6187	0	0.9223	0.5603
0	ar	en	3	0.6774	0.1459	0.659	0.3743	0.8212	0.1875	0.866	0.1333	0.8554	0.8392	0.5421	0.3732	0.4331	0.3492	0.3768	0.8416	0.4638	0.6047	0.0777	0.515	0.7246	0.526	0.0988	0.7458	0.4378	0.4297	0	0.8948	0.4626
1	ar	en	3	0.8047	0.4299	0.6248	0.4467	0.8593	0.4182	0.854	0.2	0.9406	0.8449	0.689	0.7342	0.6707	0.5	0.4933	0.8435	0.6538	0.5778	0.2324	0.6804	0.8238	0.7036	0.25	0.7688	0.5736	0.5982	0	0.9019	0.5019
2	ar	en	3	0.8077	0.4444	0.618	0.4294	0.8511	0.381	0.8509	0.1111	0.9418	0.8388	0.7233	0.766	0.6444	0.5333	0.5921	0.8325	0.68	0.5217	0.2128	0.725	0.8307	0.7387	0.2143	0.7753	0.5927	0.6095	0	0.9279	0.5512
3	ar	en	3	0.8231	0.4658	0.6435	0.3678	0.8629	0.3486	0.8693	0.1429	0.9431	0.8246	0.7237	0.7693	0.703	0.5455	0.5641	0.8429	0.7564	0.6087	0.177	0.7417	0.8313	0.743	0.1951	0.7863	0.6001	0.6104	0	0.9203	0.5811
4	ar	en	3	0.8302	0.4037	0.6357	0.3799	0.8614	0.431	0.8581	0.1333	0.9454	0.8317	0.7099	0.7754	0.6982	0.48	0.5733	0.8579	0.7784	0.6415	0.1629	0.7627	0.8375	0.7481	0.1687	0.8015	0.6141	0.6135	0	0.9201	0.5625
