layer	source	target	run	acl	acl:relcl	advcl	advmod	amod	appos	aux	aux:pass	case	cc	cc:preconj	ccomp	compound	compound:prt	conj	cop	csubj	csubj:pass	dep	det	det:predet	discourse	expl	fixed	flat	flat:foreign	goeswith	iobj	list	mark	nmod	nmod:npmod	nmod:poss	nmod:tmod	nsubj	nsubj:pass	nummod	obj	obl	obl:npmod	obl:tmod	orphan	parataxis	reparandum	vocative	xcomp
0	en	ar	1	0.3775	0.4419	0.3594	0.825	0.7692	0.2767	0.8717	0.7764	0.9268	0.9703	0.4286	0.5508	0.5042	0.8111	0.2805	0.8489	0.1176	0	0	0.9709	0.5882	0.538	0.8067	0.9524	0.582	0	0	0.5484	0.1309	0.8366	0.4574	0	0.893	0.6774	0.7303	0.2694	0.7804	0.5869	0.417	0.5479	0.4771	0	0.0093	0	0	0.5875
1	en	ar	1	0.6829	0.7373	0.6145	0.8731	0.834	0.4516	0.9462	0.7966	0.9609	0.9716	0.3077	0.6923	0.7533	0.8362	0.6878	0.9197	0.2759	0	0	0.9867	0.8205	0.6022	0.8908	0.9677	0.754	0	0.0833	0.6452	0.6308	0.9371	0.7859	0.25	0.9137	0.6571	0.8943	0.6455	0.7763	0.8401	0.7698	0.5128	0.6842	0	0.1895	0	0.4516	0.7754
2	en	ar	1	0.7866	0.8364	0.7041	0.8844	0.8513	0.5417	0.9571	0.8	0.9667	0.9729	0.5882	0.7532	0.786	0.7955	0.8081	0.9311	0.4571	0	0	0.9869	0.8095	0.6667	0.8217	0.96	0.7612	0	0.3478	0.6667	0.6146	0.9493	0.8501	0.25	0.9319	0.7742	0.9285	0.7351	0.8067	0.88	0.8465	0.5926	0.7176	0	0.3402	0	0.4828	0.7858
3	en	ar	1	0.7462	0.8108	0.7087	0.886	0.8444	0.5602	0.9448	0.8201	0.9716	0.9715	0.4286	0.7548	0.7948	0.8	0.8172	0.9236	0.5	0	0	0.9875	0.85	0.6425	0.8413	0.9524	0.8189	0	0.2667	0.7397	0.6238	0.9496	0.8619	0.3	0.9241	0.7826	0.9357	0.7634	0.8517	0.883	0.8424	0.5385	0.7576	0	0.2756	0	0.4828	0.8012
4	en	ar	1	0.7407	0.8718	0.7836	0.8865	0.8511	0.5983	0.9527	0.8136	0.9723	0.975	0.7143	0.7775	0.7983	0.7742	0.8557	0.935	0.4324	0	0	0.9888	0.7805	0.6321	0.8976	0.9756	0.803	0	0.2105	0.7273	0.7179	0.9567	0.8883	0.25	0.9375	0.7463	0.9449	0.8083	0.8587	0.9053	0.8698	0.5676	0.7559	0	0.3673	0	0.5714	0.8386
0	en	ar	2	0.4089	0.4545	0.3262	0.8022	0.774	0.232	0.8655	0.7339	0.9266	0.9722	0.3333	0.5221	0.4825	0.7957	0.2999	0.83	0.1818	0	0	0.9691	0.2308	0.515	0.8348	0.916	0.537	0	0	0.5333	0.0313	0.8312	0.4411	0.1333	0.891	0.6563	0.7223	0.1135	0.78	0.5844	0.4157	0.4928	0.4967	0	0	0	0.2609	0.5858
1	en	ar	2	0.7139	0.7339	0.5968	0.876	0.838	0.4656	0.9425	0.8178	0.9661	0.9736	0.3077	0.6863	0.7668	0.8276	0.6928	0.9173	0.4615	0	0	0.9872	0.8372	0.6211	0.8644	0.9672	0.7476	0	0.0952	0.7429	0.6193	0.9452	0.806	0.1429	0.9245	0.7419	0.8913	0.6667	0.8227	0.844	0.7673	0.5526	0.7213	0	0.1224	0	0.3333	0.7784
2	en	ar	2	0.7425	0.8184	0.6943	0.8796	0.8472	0.5029	0.9492	0.7897	0.9648	0.9708	0.5714	0.7427	0.7657	0.7692	0.7916	0.9278	0.375	0	0	0.9867	0.7273	0.602	0.8413	0.9839	0.7477	0	0.3429	0.5574	0.6238	0.9444	0.8464	0.1429	0.9335	0.8182	0.929	0.7514	0.8061	0.8743	0.8461	0.5122	0.7164	0	0.3344	0	0.25	0.7919
3	en	ar	2	0.7401	0.8134	0.7028	0.8788	0.8464	0.545	0.9503	0.8326	0.9672	0.9682	0.75	0.7532	0.785	0.7665	0.8237	0.9231	0.3429	0	0	0.9859	0.7442	0.6351	0.8548	0.9524	0.7927	0	0.32	0.623	0.6761	0.9462	0.8566	0.1333	0.9227	0.8116	0.9305	0.7676	0.8491	0.8757	0.834	0.5185	0.7107	0	0.3279	0	0.4286	0.8158
4	en	ar	2	0.7169	0.8441	0.7732	0.8784	0.8534	0.5628	0.9458	0.8167	0.9693	0.9763	0.6154	0.7983	0.7896	0.7735	0.8511	0.9269	0.4865	0	0	0.988	0.8108	0.6138	0.8819	0.9524	0.7636	0	0.2222	0.7353	0.6585	0.9462	0.8713	0.2353	0.9372	0.7536	0.9409	0.8125	0.8603	0.9029	0.8611	0.56	0.7302	0	0.3937	0	0.4286	0.8247
0	en	ar	3	0.3648	0.4412	0.3639	0.8263	0.7816	0.2357	0.8704	0.7431	0.9266	0.973	0.4	0.4965	0.4915	0.7957	0.2934	0.8382	0.1667	0	0	0.97	0.5909	0.5465	0.8333	0.9524	0.6037	0	0	0.4918	0.0679	0.8319	0.4568	0	0.8871	0.6667	0.7249	0.1618	0.7622	0.5915	0.3981	0.5634	0.4144	0	0	0	0.1739	0.5735
