layer	source	target	run	acl	acl:relcl	advcl	advmod	amod	appos	aux	aux:pass	case	cc	cc:preconj	ccomp	compound	compound:prt	conj	cop	csubj	csubj:pass	dep	det	det:predet	discourse	expl	fixed	flat	flat:foreign	goeswith	iobj	list	mark	nmod	nmod:npmod	nmod:poss	nmod:tmod	nsubj	nsubj:pass	nummod	obj	obl	obl:npmod	obl:tmod	orphan	parataxis	reparandum	vocative	xcomp
0	en	en	1	0.2901	0.3161	0.2323	0.7625	0.6658	0.1706	0.8436	0.6026	0.903	0.9673	0.3636	0.479	0.4217	0.7677	0.1999	0.7996	0.0769	0	0	0.9667	0.3125	0.5434	0.7857	0.9524	0.4328	0	0	0.5424	0.031	0.7727	0.3333	0.1429	0.8842	0.6557	0.6831	0.1138	0.7213	0.4829	0.3284	0.5352	0.5079	0	0	0	0.0952	0.5347
1	en	en	1	0.4186	0.457	0.338	0.7915	0.7122	0.2766	0.8969	0.614	0.9234	0.9709	0.375	0.4989	0.6172	0.8083	0.533	0.8221	0.0741	0	0	0.9777	0.6667	0.5294	0.8205	0.9593	0.5749	0	0	0.6667	0.3916	0.8413	0.5646	0.1429	0.8895	0.6563	0.7697	0.1207	0.7348	0.6629	0.506	0.5063	0.5669	0	0.0452	0	0.0952	0.6337
2	en	en	1	0.3511	0.4234	0.3155	0.7706	0.7218	0.2748	0.8904	0.628	0.9242	0.9714	0.4615	0.5051	0.6508	0.8085	0.5629	0.8149	0	0	0	0.9799	0.7179	0.5412	0.8197	0.96	0.6169	0	0	0.5667	0.4654	0.8411	0.5562	0.1333	0.8773	0.7213	0.7945	0.2222	0.7625	0.6967	0.5557	0.481	0.4957	0	0.0695	0	0.2609	0.6205
3	en	en	1	0.2656	0.438	0.3982	0.7522	0.6855	0.2468	0.8944	0.5782	0.9218	0.9661	0.1667	0.527	0.6602	0.7937	0.5722	0.8147	0	0	0	0.9776	0.7179	0.5227	0.8034	0.8657	0.6257	0	0.1053	0.6	0.5147	0.8437	0.5621	0.1429	0.8829	0.6349	0.8236	0.2273	0.7227	0.7435	0.5756	0.4267	0.5	0	0.1353	0	0.2609	0.587
4	en	en	1	0.412	0.6015	0.4817	0.748	0.6886	0.4422	0.9032	0.6296	0.9349	0.9659	0.3333	0.5774	0.6554	0.7619	0.7154	0.8436	0.1538	0	0	0.9738	0.878	0.5622	0.7934	0.9412	0.6829	0	0.2222	0.6957	0.6067	0.8714	0.7097	0.2105	0.8795	0.678	0.8613	0.3973	0.7152	0.7949	0.6565	0.3889	0.451	0	0.2286	0	0.3846	0.6568
0	en	en	2	0.2427	0.3484	0.2975	0.7599	0.6786	0.1847	0.8368	0.599	0.9005	0.9666	0.2667	0.4754	0.4152	0.7451	0.1877	0.7973	0.1481	0	0	0.9635	0.2069	0.5549	0.8174	0.9524	0.443	0	0.1053	0.5714	0.0534	0.7796	0.3328	0.1429	0.8799	0.7187	0.6923	0.112	0.721	0.4889	0.3169	0.4762	0.4425	0	0	0	0.0909	0.538
1	en	en	2	0.3594	0.4451	0.35	0.7806	0.7054	0.3464	0.8861	0.5888	0.9194	0.9666	0.4	0.5044	0.6148	0.8287	0.5234	0.8282	0.0714	0	0	0.9759	0.7317	0.5465	0.768	0.9587	0.5562	0	0	0.5763	0.3323	0.8472	0.572	0.1333	0.8929	0.6452	0.772	0.1653	0.7214	0.653	0.5048	0.48	0.6119	0	0.0381	0	0.0952	0.6505
2	en	en	2	0.3582	0.4693	0.3165	0.7859	0.7165	0.2981	0.9009	0.5953	0.9161	0.9659	0.5333	0.531	0.6587	0.8063	0.5659	0.821	0	0	0	0.9783	0.6842	0.5698	0.8305	0.9365	0.5996	0	0	0.5424	0.4852	0.8409	0.5818	0.1429	0.8757	0.6452	0.7961	0.208	0.7283	0.7013	0.5508	0.3947	0.5366	0	0.0726	0	0.24	0.6381
3	en	en	2	0.3557	0.4187	0.3898	0.7417	0.6821	0.2109	0.9004	0.5948	0.9234	0.9673	0.2857	0.4968	0.6419	0.7895	0.5657	0.8081	0.08	0	0	0.9759	0.7368	0.5233	0.7937	0.9593	0.657	0	0.2857	0.6	0.5431	0.8486	0.5969	0.1333	0.8853	0.6667	0.8181	0.2137	0.7515	0.7416	0.5874	0.4384	0.4182	0	0.1095	0	0.2609	0.6119
4	en	en	2	0.3973	0.6078	0.427	0.7575	0.6888	0.4216	0.8975	0.6146	0.9285	0.9679	0.3636	0.5585	0.665	0.7553	0.7133	0.8332	0.08	0	0	0.9737	0.8205	0.5838	0.8346	0.918	0.6863	0	0.24	0.7671	0.5661	0.8601	0.6842	0.1429	0.8895	0.6452	0.8543	0.3077	0.714	0.7902	0.664	0.3662	0.3913	0	0.1544	0	0.4	0.6273
0	en	en	3	0.2403	0.303	0.2581	0.753	0.6612	0.16	0.8357	0.6087	0.8973	0.9702	0.2857	0.4528	0.4142	0.7487	0.1863	0.7983	0.1481	0	0	0.9654	0.56	0.5581	0.8403	0.9431	0.4461	0	0	0.5517	0.0615	0.7767	0.3357	0.1429	0.8852	0.6897	0.6807	0.1228	0.6998	0.4894	0.3157	0.4935	0.496	0	0.0098	0	0	0.5122
1	en	en	3	0.381	0.4738	0.3359	0.7923	0.7323	0.2204	0.8906	0.6507	0.9258	0.9673	0.4	0.5229	0.6231	0.8	0.5374	0.825	0.0741	0	0	0.9772	0.7368	0.5587	0.8	0.9516	0.5854	0	0	0.6061	0.2416	0.8464	0.5718	0	0.876	0.6557	0.7639	0.1849	0.7528	0.6582	0.5199	0.4444	0.528	0	0.0367	0	0.0952	0.6317
2	en	en	3	0.3615	0.4624	0.3354	0.7704	0.7142	0.2436	0.8905	0.6095	0.921	0.9701	0.4	0.5336	0.6376	0.8144	0.5451	0.8254	0	0	0	0.9805	0.6977	0.5349	0.8246	0.9524	0.64	0	0	0.5667	0.434	0.8427	0.5752	0.1111	0.888	0.6452	0.7999	0.15	0.7305	0.6863	0.5534	0.48	0.5565	0	0.0687	0	0	0.6328
3	en	en	3	0.314	0.3775	0.3642	0.7384	0.6804	0.23	0.904	0.5463	0.9193	0.9666	0.4615	0.5374	0.6466	0.7914	0.5664	0.8236	0	0	0	0.9777	0.7368	0.5349	0.8235	0.9206	0.6429	0	0.1111	0.5263	0.3386	0.8393	0.5772	0.1429	0.8807	0.6667	0.8261	0.2154	0.7341	0.7398	0.5887	0.4304	0.434	0	0.1224	0	0.25	0.609
4	en	en	3	0.3643	0.6089	0.4524	0.7358	0.6904	0.3787	0.8866	0.6316	0.934	0.9637	0.1818	0.541	0.6543	0.7766	0.7178	0.8298	0.16	0	0	0.9745	0.8	0.5851	0.8197	0.8943	0.6643	0	0.25	0.8108	0.5885	0.8647	0.7015	0.1333	0.8802	0.6557	0.852	0.3077	0.7029	0.7869	0.6602	0.338	0.4074	0	0.2282	0	0.3571	0.6327
