layer	source	target	run	acl	acl:relcl	advcl	advmod	amod	appos	aux	aux:pass	case	cc	cc:preconj	ccomp	compound	compound:prt	conj	cop	csubj	csubj:pass	dep	det	det:predet	discourse	expl	fixed	flat	flat:foreign	goeswith	iobj	list	mark	nmod	nmod:npmod	nmod:poss	nmod:tmod	nsubj	nsubj:pass	nummod	obj	obl	obl:npmod	obl:tmod	orphan	parataxis	reparandum	vocative	xcomp
0	en	es	1	0.4167	0.4786	0.3324	0.8038	0.7748	0.22	0.8667	0.749	0.9246	0.9647	0.3077	0.5164	0.4842	0.8	0.3028	0.8297	0.1333	0	0	0.9718	0.5366	0.5434	0.8376	0.9524	0.5774	0	0	0.5538	0.0522	0.8268	0.4748	0	0.8908	0.6462	0.7269	0.213	0.7783	0.5734	0.4371	0.5278	0.5366	0	0.0097	0	0.0909	0.6003
1	en	es	1	0.7048	0.8038	0.663	0.8724	0.8335	0.4591	0.9447	0.783	0.9585	0.9707	0.4615	0.6923	0.7579	0.8132	0.7866	0.9143	0.4706	0	0	0.9875	0.8372	0.5287	0.8547	0.9677	0.7347	0	0.0909	0.6667	0.5222	0.9339	0.8202	0.1333	0.9184	0.6857	0.9068	0.7184	0.7884	0.8613	0.7971	0.5063	0.697	0	0.2867	0	0.2609	0.7806
2	en	es	1	0.7267	0.8208	0.7088	0.8802	0.843	0.5243	0.9418	0.8155	0.9631	0.9654	0.4615	0.742	0.7872	0.794	0.8014	0.9225	0.2941	0	0	0.9864	0.8444	0.625	0.8689	0.9677	0.7936	0	0.1818	0.7324	0.5924	0.9454	0.857	0.2353	0.9332	0.6667	0.926	0.7644	0.8185	0.8862	0.8361	0.5	0.7077	0	0.3203	0	0.4	0.7982
3	en	es	1	0.7316	0.8286	0.7392	0.8932	0.8535	0.5651	0.9572	0.827	0.9708	0.9715	0.875	0.7586	0.7898	0.8021	0.8334	0.9317	0.4103	0	0	0.9881	0.8095	0.65	0.873	0.9756	0.8081	0	0.1579	0.697	0.6667	0.9569	0.8644	0.2667	0.9365	0.7143	0.9332	0.7755	0.8148	0.8988	0.8411	0.5205	0.7368	0	0.3894	0	0.3704	0.8169
4	en	es	1	0.7683	0.8626	0.7438	0.8811	0.8558	0.562	0.9574	0.8462	0.9704	0.9694	0.7143	0.7865	0.8018	0.8103	0.8676	0.9365	0.4324	0	0	0.9883	0.878	0.6344	0.9008	0.9524	0.8421	0	0.1481	0.75	0.7038	0.9535	0.8905	0.1333	0.9456	0.7941	0.9407	0.7708	0.8628	0.9171	0.8595	0.5	0.7407	0	0.4144	0	0.4828	0.8292
0	en	es	2	0.429	0.4337	0.3046	0.8197	0.7763	0.2562	0.8668	0.7745	0.9248	0.966	0.2857	0.5292	0.5033	0.7813	0.3048	0.851	0.125	0	0	0.9733	0.6341	0.5549	0.813	0.9524	0.5605	0	0	0.5484	0.0727	0.8302	0.4806	0	0.8892	0.6571	0.7316	0.2045	0.7702	0.5731	0.4275	0.507	0.4874	0	0.0098	0	0.0909	0.5971
1	en	es	2	0.721	0.7895	0.6738	0.8761	0.8465	0.4923	0.9492	0.7966	0.9562	0.9707	0.4	0.6856	0.7665	0.8229	0.774	0.9183	0.5405	0	0	0.9862	0.8571	0.5792	0.8413	0.9672	0.7466	0	0.1818	0.6471	0.6176	0.9232	0.8248	0.25	0.9235	0.6667	0.9148	0.734	0.8042	0.8548	0.8092	0.5714	0.6567	0	0.2966	0	0.3846	0.7568
2	en	es	2	0.7327	0.8109	0.6856	0.8728	0.8482	0.5097	0.9372	0.7983	0.9603	0.9688	0.5714	0.7146	0.7831	0.8216	0.7946	0.9131	0.3333	0	0	0.9883	0.8571	0.6224	0.8722	0.9508	0.7687	0	0.2609	0.7429	0.7015	0.9458	0.8535	0.3529	0.9367	0.6234	0.9199	0.7419	0.7904	0.868	0.8191	0.5195	0.7258	0	0.3918	0	0.4	0.775
3	en	es	2	0.7631	0.8333	0.7234	0.8854	0.8501	0.5257	0.9539	0.8139	0.9675	0.9715	0.8	0.748	0.7954	0.8229	0.8244	0.9299	0.4186	0	0	0.9899	0.8571	0.6425	0.8485	0.9836	0.7949	0	0.1935	0.7123	0.6127	0.955	0.8673	0.25	0.9311	0.7647	0.9318	0.7579	0.819	0.8953	0.8541	0.5429	0.7538	0	0.3668	0	0.3333	0.8076
4	en	es	2	0.7625	0.8482	0.7583	0.8768	0.86	0.5899	0.9522	0.8426	0.9716	0.9715	0.7143	0.8095	0.7954	0.7929	0.8693	0.9368	0.4324	0	0	0.9905	0.8718	0.6408	0.9023	0.9677	0.8419	0	0.08	0.6757	0.7356	0.9543	0.881	0.375	0.9333	0.806	0.9393	0.7766	0.855	0.9121	0.8677	0.4938	0.7259	0	0.4558	0	0.5185	0.8314
