layer	source	target	run	acl	acl:relcl	advcl	advmod	amod	appos	aux	aux:pass	case	cc	cc:preconj	ccomp	compound	compound:prt	conj	cop	csubj	csubj:pass	dep	det	det:predet	discourse	expl	fixed	flat	flat:foreign	goeswith	iobj	list	mark	nmod	nmod:npmod	nmod:poss	nmod:tmod	nsubj	nsubj:pass	nummod	obj	obl	obl:npmod	obl:tmod	orphan	parataxis	reparandum	vocative	xcomp
0	en	zh	1	0.3647	0.4412	0.3304	0.7916	0.764	0.1416	0.8668	0.75	0.9244	0.9708	0.3077	0.5179	0.4796	0.7935	0.2843	0.8504	0.1714	0	0	0.9728	0.6047	0.565	0.8276	0.9524	0.5409	0	0	0.5	0.0386	0.8337	0.4707	0	0.8945	0.6667	0.7325	0.1129	0.7687	0.5657	0.4235	0.5067	0.4528	0	0.0097	0	0.1739	0.5829
1	en	zh	1	0.6561	0.7892	0.6431	0.8557	0.8117	0.48	0.9431	0.8037	0.9549	0.9653	0.4286	0.702	0.7241	0.8421	0.7452	0.9154	0.5128	0	0	0.9832	0.8372	0.5989	0.848	0.9587	0.6936	0	0.2222	0.6364	0.5784	0.9281	0.8136	0.375	0.9096	0.7302	0.9087	0.72	0.7972	0.847	0.8057	0.5897	0.6615	0	0.2366	0	0.32	0.7634
2	en	zh	1	0.6801	0.7846	0.7231	0.8477	0.8082	0.4888	0.943	0.8341	0.9472	0.9723	0.1818	0.774	0.7462	0.8168	0.8301	0.9083	0.4865	0	0	0.9783	0.7692	0.5568	0.8926	0.9091	0.7221	0	0.25	0.6197	0.5376	0.9356	0.8065	0.2667	0.9009	0.7213	0.9229	0.7209	0.8134	0.8624	0.8023	0.4848	0.6917	0	0.375	0	0.4	0.744
3	en	zh	1	0.724	0.8095	0.7107	0.8708	0.805	0.4966	0.9403	0.8378	0.966	0.977	0.2	0.7544	0.7644	0.8287	0.8458	0.9156	0.4737	0	0	0.9826	0.8095	0.5967	0.8644	0.9683	0.812	0	0.3226	0.6667	0.6423	0.9499	0.8473	0.25	0.9347	0.75	0.9302	0.7802	0.8536	0.8881	0.8254	0.5143	0.6929	0	0.3694	0	0.4	0.7814
4	en	zh	1	0.7055	0.8235	0.7328	0.8557	0.8117	0.5275	0.941	0.8407	0.9621	0.9749	0.4615	0.7884	0.7754	0.8197	0.855	0.9099	0.1875	0	0	0.9821	0.8421	0.6186	0.875	0.9756	0.8103	0	0.25	0.7397	0.6889	0.9523	0.8619	0.1176	0.9249	0.8182	0.9314	0.7667	0.8321	0.8736	0.8333	0.5135	0.7069	0	0.4375	0	0.5714	0.7914
0	en	zh	2	0.3855	0.4679	0.3676	0.8034	0.7631	0.2087	0.8593	0.7946	0.9247	0.9641	0.4286	0.4978	0.4996	0.7742	0.2875	0.8489	0.2	0	0	0.9692	0.566	0.5393	0.8142	0.9524	0.5757	0	0	0.6032	0.0391	0.8361	0.4569	0	0.8867	0.6667	0.7367	0.1395	0.7754	0.5822	0.4402	0.5205	0.496	0	0.0097	0	0.0909	0.5931
1	en	zh	2	0.6748	0.774	0.6444	0.8538	0.8054	0.4654	0.9382	0.8387	0.9531	0.9735	0.6667	0.6603	0.7349	0.828	0.7415	0.9138	0.4	0	0	0.9834	0.7895	0.5763	0.8739	0.9752	0.6775	0	0.2353	0.6571	0.3727	0.9254	0.7963	0.25	0.9111	0.6866	0.9083	0.7024	0.7923	0.8516	0.7868	0.5479	0.7087	0	0.2134	0	0.2609	0.7472
2	en	zh	2	0.6903	0.784	0.7147	0.8445	0.8128	0.535	0.9389	0.8261	0.9486	0.9701	0.4615	0.7495	0.761	0.7735	0.8252	0.9084	0.5128	0	0	0.9785	0.8205	0.5778	0.8348	0.8852	0.7029	0	0.3226	0.5902	0.5348	0.928	0.8103	0.2667	0.9013	0.7419	0.9165	0.7262	0.7951	0.8576	0.8067	0.4932	0.687	0	0.356	0	0.2609	0.7422
3	en	zh	2	0.7114	0.8075	0.7233	0.8697	0.8104	0.4717	0.9456	0.8398	0.9637	0.9749	0.2	0.7398	0.7613	0.8508	0.8522	0.9142	0.3784	0	0	0.9796	0.7907	0.6566	0.871	0.9839	0.8145	0	0.3571	0.6866	0.544	0.9476	0.8388	0.375	0.9311	0.7463	0.9298	0.7732	0.8429	0.8812	0.8246	0.5405	0.7154	0	0.3854	0	0.4	0.7982
4	en	zh	2	0.6974	0.8274	0.7346	0.8515	0.8214	0.5644	0.9357	0.8285	0.9632	0.9777	0.6667	0.8088	0.7775	0.8132	0.8606	0.9079	0.2941	0	0	0.9853	0.85	0.6042	0.873	0.9683	0.8217	0	0.2727	0.7222	0.7018	0.9458	0.8616	0	0.9269	0.7937	0.9322	0.7609	0.8376	0.8748	0.8367	0.5067	0.7179	0	0.4444	0	0.4615	0.7802
