layer	source	target	run	acl	acl:relcl	advcl	advmod	amod	appos	aux	aux:pass	case	cc	ccomp	compound	conj	cop	csubj	dep	det	discourse	expl	fixed	flat:name	iobj	mark	nmod	nmod:poss	nsubj	nsubj:pass	nummod	obj	obl	parataxis	xcomp
0	fr	en	1	0.6667	0.563	0.3919	0.8851	0.7817	0.1882	0.8519	0.7321	0.9624	0.9624	0.3366	0.1961	0.314	0.8696	0	0	0.974	0.2857	0.5618	0.9014	0.5269	0.5667	0.8348	0.7086	0.9912	0.6684	0.2817	0.8693	0.5308	0.5484	0	0.5116
1	fr	en	1	0.7079	0.7568	0.5561	0.9065	0.8512	0.5128	0.9081	0.7525	0.9755	0.9627	0.6032	0.2222	0.6656	0.8947	0	0	0.9846	0	0.6517	0.9371	0.7897	0.7	0.9095	0.8599	0.9912	0.8186	0.5957	0.8794	0.7469	0.7306	0.0588	0.6494
2	fr	en	1	0.7347	0.7671	0.5667	0.8925	0.8595	0.4935	0.937	0.7544	0.9746	0.9606	0.6555	0.2069	0.7233	0.8941	0	0	0.9798	0.3333	0.5217	0.9435	0.7799	0.7018	0.9115	0.8778	0.9956	0.8534	0.6471	0.9007	0.7843	0.7627	0.1111	0.6667
3	fr	en	1	0.7712	0.8228	0.6369	0.9219	0.8782	0.6106	0.9284	0.8	0.978	0.9685	0.5636	0.2667	0.7843	0.9333	0	0	0.9838	0.2857	0.5333	0.9359	0.8254	0.6531	0.9217	0.9071	0.9956	0.8856	0.6957	0.9014	0.8156	0.8322	0.0889	0.6818
4	fr	en	1	0.8257	0.8861	0.7676	0.9101	0.8907	0.7154	0.9355	0.8246	0.9845	0.9724	0.7797	0.3438	0.8654	0.9328	0	0	0.986	0	0.6122	0.9524	0.8125	0.7273	0.9159	0.9346	1	0.9373	0.8333	0.9241	0.8525	0.8875	0.2727	0.6988
0	fr	en	2	0.6366	0.6056	0.3066	0.8728	0.7762	0.2048	0.8518	0.6875	0.9624	0.9548	0.3168	0.1852	0.3518	0.8429	0	0	0.9776	0.3333	0.5532	0.8857	0.5119	0.6102	0.841	0.7124	0.9956	0.6507	0.2388	0.8612	0.5319	0.5374	0	0.5476
1	fr	en	2	0.6836	0.7949	0.5185	0.898	0.8631	0.5462	0.9255	0.75	0.9739	0.9625	0.5932	0.1887	0.6789	0.8992	0	0	0.9838	0.3333	0.6526	0.9341	0.7732	0.6866	0.8889	0.8586	0.9956	0.8197	0.56	0.8912	0.7625	0.732	0.0571	0.642
2	fr	en	2	0.7381	0.8077	0.5419	0.8939	0.8689	0.511	0.9218	0.7547	0.9754	0.9591	0.6935	0.2414	0.7406	0.9042	0	0	0.982	0	0.5287	0.9352	0.7938	0.7097	0.8844	0.8664	0.9912	0.8569	0.5806	0.892	0.7773	0.7579	0.1463	0.642
3	fr	en	2	0.7425	0.7975	0.6286	0.9281	0.8763	0.5975	0.9415	0.8411	0.9795	0.9723	0.541	0.2857	0.7857	0.9202	0	0	0.9853	0.2857	0.56	0.9441	0.83	0.7333	0.9177	0.9118	0.9956	0.8914	0.7129	0.9066	0.8065	0.8236	0	0.65
4	fr	en	2	0.8146	0.8974	0.7619	0.9138	0.8859	0.716	0.9412	0.8491	0.9845	0.9685	0.8305	0.2951	0.8653	0.9389	0	0	0.9864	0	0.617	0.9497	0.8032	0.7368	0.922	0.9355	1	0.9296	0.8257	0.9172	0.851	0.8883	0.2381	0.7333
0	fr	en	3	0.6573	0.5915	0.3008	0.88	0.7922	0.2192	0.8661	0.7593	0.9635	0.9569	0.3146	0.2	0.3451	0.8815	0	0	0.9783	0.3333	0.5747	0.8933	0.5239	0.597	0.8405	0.7052	0.9956	0.6661	0.2571	0.8732	0.5564	0.5369	0	0.4935
1	fr	en	3	0.6865	0.7815	0.5098	0.9003	0.8589	0.5022	0.9135	0.7928	0.9777	0.9606	0.5902	0.2222	0.6716	0.9	0	0	0.9849	0.3333	0.5783	0.9371	0.7692	0.6667	0.8998	0.8616	0.9956	0.818	0.5918	0.8842	0.75	0.735	0.0588	0.5946
2	fr	en	3	0.7321	0.7867	0.5775	0.9005	0.8644	0.5202	0.9297	0.7429	0.9749	0.955	0.6207	0.2333	0.7356	0.8897	0	0	0.9798	0.3333	0.56	0.9516	0.813	0.6441	0.8972	0.8673	0.9912	0.8589	0.6154	0.8944	0.7657	0.7519	0.1667	0.619
3	fr	en	3	0.7628	0.8235	0.6077	0.9152	0.8818	0.6204	0.9393	0.819	0.9788	0.9723	0.5946	0.2712	0.7884	0.9272	0	0	0.9853	0.3333	0.5941	0.9359	0.8571	0.6316	0.9177	0.9173	0.9956	0.8919	0.7312	0.8982	0.8076	0.8239	0.0465	0.6506
4	fr	en	3	0.8048	0.8917	0.7807	0.9116	0.8958	0.687	0.9482	0.807	0.9834	0.9765	0.8167	0.2951	0.864	0.9421	0	0	0.9856	0	0.617	0.9605	0.8226	0.7241	0.9345	0.9395	1	0.9325	0.8148	0.9135	0.8582	0.8934	0.2439	0.6829
