layer	source	target	run	acl	acl:relcl	advcl	advmod	amod	appos	aux	aux:pass	case	cc	ccomp	compound	conj	cop	det	discourse	flat	list	mark	nmod	nmod:poss	nsubj	nsubj:pass	nummod	obj	obl	parataxis	xcomp
0	en	fr	1	0.3857	0.4478	0.3224	0.822	0.7773	0.2588	0.8626	0.7699	0.9264	0.9619	0.5488	0.5081	0.3213	0.8584	0.9748	0.5682	0.6176	0.0827	0.8276	0.4437	0.8923	0.7214	0.1791	0.7855	0.5788	0.4336	0	0.5886
1	en	fr	1	0.6864	0.7098	0.573	0.874	0.8333	0.3905	0.9456	0.8051	0.9554	0.968	0.6512	0.7377	0.7125	0.9142	0.9905	0.5618	0.7394	0.5247	0.9349	0.7698	0.9115	0.8903	0.6737	0.8146	0.8124	0.7162	0.1825	0.744
2	en	fr	1	0.7425	0.7751	0.6064	0.8835	0.8392	0.4082	0.9552	0.823	0.9625	0.9695	0.7328	0.7574	0.7292	0.9263	0.9891	0.6042	0.763	0.613	0.9467	0.8137	0.9192	0.9178	0.7407	0.8286	0.8531	0.7992	0.2313	0.7904
3	en	fr	1	0.756	0.8189	0.6859	0.8868	0.8476	0.4975	0.9533	0.7903	0.9648	0.9653	0.7468	0.7699	0.8139	0.9261	0.9878	0.6283	0.8258	0.6276	0.9488	0.8488	0.9233	0.9293	0.733	0.8294	0.8679	0.8264	0.3436	0.8075
4	en	fr	1	0.7733	0.8571	0.7638	0.8828	0.8505	0.5213	0.9594	0.8122	0.9698	0.9694	0.7883	0.8007	0.8629	0.9357	0.9899	0.6129	0.8151	0.6667	0.952	0.888	0.9423	0.9364	0.7444	0.8642	0.9092	0.8644	0.4211	0.8235
0	en	fr	2	0.3974	0.4685	0.3061	0.8142	0.7737	0.2857	0.8742	0.7692	0.9265	0.9695	0.5196	0.4824	0.3063	0.847	0.9711	0.5667	0.6034	0.1367	0.8299	0.4505	0.892	0.7305	0.2432	0.781	0.5879	0.4035	0	0.5817
1	en	fr	2	0.6605	0.7233	0.5688	0.8574	0.8222	0.3537	0.9437	0.8099	0.958	0.9673	0.668	0.7167	0.6999	0.9173	0.9878	0.538	0.7097	0.4958	0.9315	0.7657	0.9116	0.8841	0.6769	0.8048	0.7967	0.7055	0.1417	0.7581
2	en	fr	2	0.7267	0.782	0.6188	0.8779	0.8363	0.4394	0.9536	0.8496	0.963	0.9695	0.7349	0.7548	0.7404	0.9377	0.9883	0.6082	0.7667	0.6592	0.9393	0.818	0.9255	0.9141	0.6778	0.8299	0.8573	0.7949	0.1873	0.7798
3	en	fr	2	0.7371	0.8076	0.6685	0.8915	0.8393	0.5161	0.9513	0.7915	0.9643	0.9693	0.7293	0.7751	0.8255	0.9358	0.9894	0.612	0.8221	0.5553	0.9508	0.8584	0.9353	0.929	0.7273	0.8373	0.8701	0.8309	0.3283	0.8
4	en	fr	2	0.753	0.8638	0.7551	0.8875	0.8512	0.5211	0.9591	0.8103	0.97	0.9693	0.7824	0.8014	0.8699	0.9435	0.9899	0.5907	0.8047	0.6291	0.9529	0.8836	0.945	0.9416	0.7826	0.8651	0.9113	0.8696	0.4438	0.8235
0	en	fr	3	0.4094	0.4409	0.3442	0.8112	0.7711	0.2562	0.8449	0.7635	0.9229	0.9679	0.5443	0.5095	0.3157	0.852	0.9717	0.5465	0.5714	0.1443	0.8252	0.4391	0.8867	0.7256	0.1538	0.7772	0.5841	0.4156	0.0377	0.5908
1	en	fr	3	0.6791	0.735	0.583	0.8703	0.8279	0.3886	0.9412	0.8017	0.9567	0.9721	0.6834	0.7273	0.7108	0.918	0.9872	0.581	0.7487	0.4696	0.9322	0.774	0.9115	0.887	0.6391	0.8055	0.8072	0.7094	0.1705	0.7479
2	en	fr	3	0.7143	0.7859	0.6089	0.8784	0.8372	0.4478	0.9534	0.8216	0.9646	0.968	0.7152	0.7532	0.7374	0.934	0.9886	0.5926	0.7549	0.5772	0.9445	0.8244	0.915	0.9163	0.6923	0.8414	0.8565	0.7906	0.1452	0.784
3	en	fr	3	0.7522	0.8157	0.6841	0.8859	0.8394	0.4604	0.9483	0.7851	0.9646	0.9701	0.7343	0.767	0.8161	0.9371	0.988	0.6354	0.8235	0.6202	0.948	0.8474	0.9249	0.9269	0.7391	0.8388	0.8675	0.8264	0.3715	0.7894
4	en	fr	3	0.7464	0.8599	0.7609	0.8817	0.8527	0.5455	0.9584	0.8052	0.969	0.9707	0.7934	0.7957	0.873	0.9359	0.9902	0.5789	0.8087	0.693	0.9557	0.8895	0.9366	0.9368	0.776	0.8582	0.9104	0.8675	0.4973	0.8232
