layer	source	target	run	acl	acl:relcl	advcl	advmod	amod	appos	aux	case	cc	conj	cop	det	fixed	flat	iobj	mark	nmod	nsubj	nummod	obj	obl
0	es	en	1	0.4478	0.6387	0.3843	0.8743	0.7796	0.27	0.9029	0.978	0.9589	0.3219	0.8659	0.9708	0.8416	0.5189	0.8924	0.9065	0.6624	0.4304	0.8478	0.564	0.5701
1	es	en	1	0.6094	0.809	0.5255	0.8747	0.8588	0.5831	0.9393	0.9826	0.974	0.6464	0.8805	0.9814	0.916	0.7826	0.8848	0.9547	0.8635	0.658	0.882	0.6925	0.7303
2	es	en	1	0.6008	0.8346	0.5741	0.8684	0.8802	0.6069	0.9596	0.9805	0.9698	0.6772	0.9194	0.986	0.9244	0.7738	0.8899	0.9378	0.8604	0.7115	0.9096	0.7308	0.7449
3	es	en	1	0.6332	0.8594	0.5646	0.8845	0.8777	0.6509	0.9602	0.9811	0.9727	0.7294	0.9134	0.9869	0.9198	0.836	0.8919	0.9398	0.8959	0.7506	0.9101	0.783	0.807
4	es	en	1	0.7109	0.9446	0.8146	0.8827	0.8919	0.7213	0.9839	0.9805	0.9753	0.898	0.9286	0.9863	0.9421	0.8626	0.9169	0.9342	0.9337	0.8632	0.9096	0.832	0.8826
0	es	en	2	0.448	0.618	0.4143	0.8752	0.7715	0.3504	0.8995	0.9783	0.9602	0.3019	0.8667	0.9731	0.8584	0.5261	0.8884	0.9125	0.6697	0.4262	0.8475	0.5856	0.5602
1	es	en	2	0.6078	0.804	0.5455	0.8704	0.8642	0.5907	0.9443	0.9806	0.9713	0.6532	0.8935	0.9837	0.9153	0.7704	0.877	0.9457	0.8632	0.6605	0.8977	0.6881	0.7274
2	es	en	2	0.585	0.829	0.5587	0.8598	0.8726	0.5325	0.9524	0.9793	0.9672	0.6674	0.9006	0.986	0.9205	0.7857	0.8798	0.9226	0.8606	0.7105	0.8977	0.7233	0.7411
3	es	en	2	0.6792	0.8753	0.5836	0.8942	0.8809	0.6325	0.965	0.9808	0.9767	0.7453	0.9012	0.9889	0.9283	0.828	0.8969	0.941	0.8976	0.7778	0.9127	0.783	0.8143
4	es	en	2	0.7306	0.9446	0.7752	0.8898	0.8933	0.7147	0.976	0.9817	0.9711	0.8989	0.9258	0.9852	0.9593	0.8518	0.8894	0.9327	0.9333	0.8747	0.9167	0.8348	0.8789
0	es	en	3	0.4348	0.6505	0.3929	0.8685	0.7723	0.3571	0.9024	0.9759	0.9589	0.2776	0.8708	0.9714	0.8402	0.5263	0.8844	0.9105	0.6751	0.4094	0.8516	0.5437	0.5703
1	es	en	3	0.6265	0.8235	0.5401	0.883	0.8619	0.5749	0.9415	0.9823	0.9699	0.6617	0.8851	0.9837	0.9191	0.7734	0.8758	0.9444	0.8597	0.6493	0.8778	0.6994	0.714
2	es	en	3	0.5759	0.8485	0.5831	0.8689	0.8788	0.5664	0.9602	0.9811	0.9646	0.6703	0.9263	0.9863	0.9328	0.8	0.9	0.9399	0.8617	0.7147	0.8895	0.7581	0.7504
3	es	en	3	0.6231	0.8721	0.5791	0.8906	0.8794	0.6516	0.9655	0.982	0.974	0.746	0.9123	0.9874	0.906	0.8213	0.8889	0.9414	0.8955	0.7581	0.9056	0.7725	0.8142
4	es	en	3	0.7126	0.9521	0.8013	0.8883	0.8973	0.7293	0.9839	0.9797	0.9711	0.8941	0.9181	0.9854	0.9512	0.8449	0.8959	0.9329	0.9315	0.8701	0.9086	0.8341	0.881
