layer	source	target	run	acl	advmod	amod	appos	aux	case	cc	conj	cop	det	fixed	flat:name	mark	nmod	nmod:poss	nsubj	nummod	obj	obl
0	fr	en	1	0.6667	0.8851	0.7817	0.1882	0.8519	0.9624	0.9624	0.314	0.8696	0.974	0.9014	0.5269	0.8348	0.7086	0.9912	0.6684	0.8693	0.5308	0.5484
1	fr	en	1	0.7079	0.9065	0.8512	0.5128	0.9081	0.9755	0.9627	0.6656	0.8947	0.9846	0.9371	0.7897	0.9095	0.8599	0.9912	0.8186	0.8794	0.7469	0.7306
2	fr	en	1	0.7347	0.8925	0.8595	0.4935	0.937	0.9746	0.9606	0.7233	0.8941	0.9798	0.9435	0.7799	0.9115	0.8778	0.9956	0.8534	0.9007	0.7843	0.7627
3	fr	en	1	0.7712	0.9219	0.8782	0.6106	0.9284	0.978	0.9685	0.7843	0.9333	0.9838	0.9359	0.8254	0.9217	0.9071	0.9956	0.8856	0.9014	0.8156	0.8322
4	fr	en	1	0.8257	0.9101	0.8907	0.7154	0.9355	0.9845	0.9724	0.8654	0.9328	0.986	0.9524	0.8125	0.9159	0.9346	1	0.9373	0.9241	0.8525	0.8875
0	fr	en	2	0.6366	0.8728	0.7762	0.2048	0.8518	0.9624	0.9548	0.3518	0.8429	0.9776	0.8857	0.5119	0.841	0.7124	0.9956	0.6507	0.8612	0.5319	0.5374
1	fr	en	2	0.6836	0.898	0.8631	0.5462	0.9255	0.9739	0.9625	0.6789	0.8992	0.9838	0.9341	0.7732	0.8889	0.8586	0.9956	0.8197	0.8912	0.7625	0.732
2	fr	en	2	0.7381	0.8939	0.8689	0.511	0.9218	0.9754	0.9591	0.7406	0.9042	0.982	0.9352	0.7938	0.8844	0.8664	0.9912	0.8569	0.892	0.7773	0.7579
3	fr	en	2	0.7425	0.9281	0.8763	0.5975	0.9415	0.9795	0.9723	0.7857	0.9202	0.9853	0.9441	0.83	0.9177	0.9118	0.9956	0.8914	0.9066	0.8065	0.8236
4	fr	en	2	0.8146	0.9138	0.8859	0.716	0.9412	0.9845	0.9685	0.8653	0.9389	0.9864	0.9497	0.8032	0.922	0.9355	1	0.9296	0.9172	0.851	0.8883
0	fr	en	3	0.6573	0.88	0.7922	0.2192	0.8661	0.9635	0.9569	0.3451	0.8815	0.9783	0.8933	0.5239	0.8405	0.7052	0.9956	0.6661	0.8732	0.5564	0.5369
1	fr	en	3	0.6865	0.9003	0.8589	0.5022	0.9135	0.9777	0.9606	0.6716	0.9	0.9849	0.9371	0.7692	0.8998	0.8616	0.9956	0.818	0.8842	0.75	0.735
2	fr	en	3	0.7321	0.9005	0.8644	0.5202	0.9297	0.9749	0.955	0.7356	0.8897	0.9798	0.9516	0.813	0.8972	0.8673	0.9912	0.8589	0.8944	0.7657	0.7519
3	fr	en	3	0.7628	0.9152	0.8818	0.6204	0.9393	0.9788	0.9723	0.7884	0.9272	0.9853	0.9359	0.8571	0.9177	0.9173	0.9956	0.8919	0.8982	0.8076	0.8239
4	fr	en	3	0.8048	0.9116	0.8958	0.687	0.9482	0.9834	0.9765	0.864	0.9421	0.9856	0.9605	0.8226	0.9345	0.9395	1	0.9325	0.9135	0.8582	0.8934
