layer	source	target	run	acl	advmod	amod	appos	case	cc	conj	det	flat	goeswith	iobj	nmod	nsubj	obj	obl
0	ru	en	1	0.4908	0.7679	0.6494	0.1946	0.9683	0.9565	0.2454	0.9065	0.381	0.7282	0.3735	0.6907	0.5255	0.4619	0.6245
1	ru	en	1	0.6154	0.7734	0.8862	0.5026	0.9738	0.9697	0.6921	0.9186	0.6447	0.9618	0.3882	0.7921	0.7159	0.5987	0.834
2	ru	en	1	0.67	0.779	0.9086	0.531	0.9745	0.9691	0.7628	0.9349	0.6718	0.9183	0.3913	0.8141	0.743	0.6198	0.8327
3	ru	en	1	0.6321	0.7774	0.9058	0.578	0.9789	0.9616	0.7683	0.9357	0.6805	0.9354	0.407	0.8138	0.7777	0.6395	0.8333
4	ru	en	1	0.6505	0.774	0.9118	0.6346	0.9841	0.9634	0.8554	0.9208	0.6911	0.9301	0.4792	0.8384	0.7512	0.6492	0.8608
0	ru	en	2	0.5031	0.7596	0.6478	0.1893	0.9695	0.9617	0.2255	0.8934	0.3955	0.7324	0.3333	0.6879	0.5152	0.4739	0.6248
1	ru	en	2	0.6131	0.7797	0.8873	0.5172	0.9733	0.9619	0.6869	0.9226	0.6393	0.9412	0.4492	0.7904	0.708	0.5848	0.8334
2	ru	en	2	0.6567	0.7895	0.9069	0.5295	0.9752	0.9632	0.7706	0.9381	0.6491	0.9126	0.3977	0.8171	0.7528	0.6274	0.8336
3	ru	en	2	0.6184	0.7913	0.9072	0.5631	0.9777	0.9677	0.7676	0.9275	0.6866	0.9261	0.386	0.8284	0.7838	0.6395	0.8438
4	ru	en	2	0.6635	0.7758	0.9097	0.6414	0.9841	0.9614	0.8629	0.9357	0.702	0.9261	0.4469	0.8379	0.7557	0.6569	0.8523
0	ru	en	3	0.472	0.7688	0.6468	0.2278	0.9696	0.9602	0.216	0.9065	0.3721	0.7321	0.3014	0.6766	0.5174	0.5078	0.6233
1	ru	en	3	0.6224	0.7726	0.8866	0.5237	0.973	0.9607	0.7016	0.9267	0.6593	0.9541	0.4176	0.7961	0.7118	0.5753	0.8253
2	ru	en	3	0.6923	0.7919	0.9068	0.5502	0.9737	0.9676	0.7788	0.9302	0.6721	0.9151	0.3926	0.8183	0.7572	0.6268	0.8342
3	ru	en	3	0.6316	0.7788	0.9073	0.5757	0.9773	0.9662	0.7596	0.9368	0.6749	0.9407	0.4309	0.8152	0.7745	0.6453	0.8399
4	ru	en	3	0.6468	0.7788	0.9062	0.6192	0.982	0.9691	0.854	0.9263	0.6805	0.9299	0.3804	0.8354	0.758	0.6496	0.8528
