layer	source	target	run	acl	advcl	advmod	amod	appos	aux	case	cc	ccomp	clf	compound	conj	cop	csubj	dep	det	discourse	dislocated	expl	fixed	flat	goeswith	iobj	list	mark	nmod	nsubj	nummod	obj	obl	orphan	parataxis	reparandum	vocative	xcomp
0	en	ar	1	0.5902	0.3594	0.825	0.7692	0.2767	0.8661	0.9268	0.9652	0.5508		0.5262	0.2805	0.8489	0.1143	0	0.9711	0.538		0.8067	0.9524	0.5737	0	0.5484	0.1309	0.8366	0.6153	0.7311	0.7804	0.5869	0.4702	0	0.0093	0	0	0.5875
0	en	es	1	0.5869	0.3324	0.8038	0.7748	0.22	0.8637	0.9246	0.959	0.5164		0.5039	0.3028	0.8297	0.129	0	0.9729	0.5434		0.8376	0.9524	0.5698	0	0.5538	0.0522	0.8268	0.6235	0.7237	0.7783	0.5734	0.4869	0	0.0097	0	0.0909	0.6003
0	en	fr	1	0.5646	0.3224	0.822	0.7773	0.2588	0.8573	0.9264	0.9549	0.5488		0.5303	0.3213	0.8584	0.1176	0	0.9743	0.5682		0.813	0.9524	0.6089	0	0.5085	0.0827	0.8276	0.6113	0.7232	0.7855	0.5788	0.4812	0	0	0	0.2609	0.5886
0	en	ru	1	0.6051	0.3329	0.813	0.7588	0.211	0.8564	0.9238	0.9656	0.5139		0.5361	0.2909	0.8579	0.0667	0	0.9704	0.5682		0.7874	0.9375	0.573	0	0.6087	0.0752	0.8249	0.612	0.7225	0.755	0.5687	0.481	0	0.0095	0	0.1818	0.5852
0	en	zh	1	0.5889	0.3304	0.7916	0.764	0.1416	0.864	0.9244	0.9651	0.5179		0.4995	0.2843	0.8504	0.1667	0	0.9717	0.565		0.8276	0.9524	0.5336	0	0.5	0.0386	0.8337	0.6265	0.7308	0.7687	0.5657	0.4751	0	0.0097	0	0.1739	0.5829
0	en	en	1	0.3951	0.2323	0.7625	0.6658	0.1706	0.8205	0.903	0.9628	0.479		0.4461	0.1999	0.7996	0.0741	0	0.9681	0.5434		0.7857	0.9524	0.426	0	0.5424	0.031	0.7727	0.5372	0.6846	0.7213	0.4829	0.3827	0	0	0	0.0952	0.5347
1	en	ar	1	0.786	0.6145	0.8731	0.834	0.4516	0.9412	0.9609	0.9658	0.6923		0.7596	0.6878	0.9197	0.2667	0	0.9866	0.6022		0.8908	0.9677	0.7435	0.0833	0.6452	0.6308	0.9371	0.833	0.9047	0.7763	0.8401	0.7753	0	0.1895	0	0.4516	0.7754
1	en	es	1	0.8131	0.663	0.8724	0.8335	0.4591	0.9384	0.9585	0.9663	0.6923		0.7641	0.7866	0.9143	0.4571	0	0.9874	0.5287		0.8547	0.9677	0.7261	0.0909	0.6667	0.5222	0.9339	0.8527	0.9153	0.7884	0.8613	0.7962	0	0.2867	0	0.2609	0.7806
1	en	fr	1	0.7656	0.573	0.874	0.8333	0.3905	0.9376	0.9554	0.9629	0.6512		0.7442	0.7125	0.9142	0.1143	0	0.9906	0.5618		0.8837	0.9672	0.7299	0.0645	0.85	0.5247	0.9349	0.8175	0.8997	0.8146	0.8124	0.7311	0	0.1825	0	0.25	0.744
1	en	ru	1	0.7849	0.6631	0.862	0.8153	0.4684	0.9252	0.9534	0.9677	0.6737		0.748	0.7323	0.906	0.4	0	0.9857	0.5922		0.8092	0.9524	0.725	0.2857	0.6857	0.5995	0.9145	0.8503	0.9097	0.8063	0.8473	0.7882	0	0.1446	0	0.2609	0.7697
