layer	source	target	run	acl	acl:relcl	advcl	advmod	amod	appos	aux	aux:pass	case	cc	cc:preconj	ccomp	compound	conj	cop	dep	det	discourse	fixed	flat	flat:foreign	goeswith	iobj	list	mark	nmod	nsubj	nsubj:pass	nummod	nummod:gov	obj	obl	orphan	parataxis	vocative	xcomp
0	ru	en	1	0.4908	0.4615	0.3158	0.7679	0.6494	0.1946	0.6364	0.8227	0.9683	0.9565	0.4211	0.32	0.4444	0.2454	0.7111	0	0.9065	0.6735	0.8525	0.381	0	0.7282	0.3735	0.1915	0.8224	0.6907	0.5255	0.36	0.5405	0.6878	0.4619	0.6245	0	0.1099	0	0.6667
1	ru	en	1	0.6154	0.7619	0.433	0.7734	0.8862	0.5026	0.6667	0.8844	0.9738	0.9697	0.6222	0.3793	0.8333	0.6921	0.8031	0	0.9186	0.7544	0.8615	0.6447	0	0.9618	0.3882	0.5743	0.8807	0.7921	0.7159	0.6667	0.6891	0.8043	0.5987	0.834	0	0.268	0	0.8054
2	ru	en	1	0.67	0.8299	0.5294	0.779	0.9086	0.531	0.7	0.9116	0.9745	0.9691	0.7347	0.6316	0.8333	0.7628	0.8281	0	0.9349	0.7107	0.806	0.6718	0	0.9183	0.3913	0.6435	0.9444	0.8141	0.743	0.6968	0.6567	0.807	0.6198	0.8327	0.0435	0.4356	0	0.8
3	ru	en	1	0.6321	0.8493	0.495	0.7774	0.9058	0.578	0.7	0.9167	0.9789	0.9616	0.6383	0.5714	0.8333	0.7683	0.8504	0	0.9357	0.7273	0.8358	0.6805	0	0.9354	0.407	0.6496	0.8704	0.8138	0.7777	0.7059	0.6452	0.8197	0.6395	0.8333	0.0851	0.4685	0	0.8364
4	ru	en	1	0.6505	0.8571	0.566	0.774	0.9118	0.6346	0.7	0.9296	0.9841	0.9634	0.6316	0.7576	0.7273	0.8554	0.916	0	0.9208	0.7143	0.8824	0.6911	0	0.9301	0.4792	0.697	0.8762	0.8384	0.7512	0.6755	0.6357	0.7907	0.6492	0.8608	0.0426	0.547	0	0.8696
0	ru	en	2	0.5031	0.4414	0.2927	0.7596	0.6478	0.1893	0.6316	0.8497	0.9695	0.9617	0.5306	0.2692	0.4	0.2255	0.7167	0	0.8934	0.7273	0.8333	0.3955	0	0.7324	0.3333	0.1772	0.8288	0.6879	0.5152	0.2899	0.5254	0.7337	0.4739	0.6248	0	0.1684	0	0.7027
1	ru	en	2	0.6131	0.7746	0.4381	0.7797	0.8873	0.5172	0.7	0.8859	0.9733	0.9619	0.6047	0.449	0.6	0.6869	0.8	0	0.9226	0.7568	0.8571	0.6393	0	0.9412	0.4492	0.5319	0.8727	0.7904	0.708	0.6818	0.6565	0.7797	0.5848	0.8334	0.0435	0.1961	0	0.7778
2	ru	en	2	0.6567	0.8182	0.5283	0.7895	0.9069	0.5295	0.7	0.9128	0.9752	0.9632	0.6957	0.5714	0.8333	0.7706	0.843	0	0.9381	0.6838	0.8615	0.6491	0	0.9126	0.3977	0.6949	0.9273	0.8171	0.7528	0.7013	0.6508	0.8523	0.6274	0.8336	0	0.4314	0	0.8333
3	ru	en	2	0.6184	0.8138	0.5505	0.7913	0.9072	0.5631	0.6364	0.9178	0.9777	0.9677	0.6818	0.6102	0.7273	0.7676	0.85	0	0.9275	0.7069	0.8529	0.6866	0	0.9261	0.386	0.6142	0.8991	0.8284	0.7838	0.7097	0.7107	0.8492	0.6395	0.8438	0.0435	0.4688	0	0.8364
4	ru	en	2	0.6635	0.8611	0.6306	0.7758	0.9097	0.6414	0.7368	0.9128	0.9841	0.9614	0.6512	0.8	0.7273	0.8629	0.8871	0	0.9357	0.7018	0.8889	0.702	0	0.9261	0.4469	0.7107	0.8411	0.8379	0.7557	0.6784	0.5902	0.7841	0.6569	0.8523	0.0426	0.5667	0	0.875
0	ru	en	3	0.472	0.4361	0.2821	0.7688	0.6468	0.2278	0.6667	0.88	0.9696	0.9602	0.5957	0.2917	0.4444	0.216	0.75	0	0.9065	0.7091	0.8125	0.3721	0	0.7321	0.3014	0.0988	0.8257	0.6766	0.5174	0.331	0.4651	0.6772	0.5078	0.6233	0	0.1263	0	0.6541
1	ru	en	3	0.6224	0.7794	0.4565	0.7726	0.8866	0.5237	0.7	0.8844	0.973	0.9607	0.45	0.4643	0.8333	0.7016	0.8062	0	0.9267	0.7563	0.8387	0.6593	0	0.9541	0.4176	0.6055	0.8673	0.7961	0.7118	0.6125	0.6613	0.7978	0.5753	0.8253	0	0.2913	0	0.805
2	ru	en	3	0.6923	0.8767	0.6	0.7919	0.9068	0.5502	0.6667	0.9103	0.9737	0.9676	0.7451	0.6667	0.7273	0.7788	0.8527	0	0.9302	0.6957	0.8529	0.6721	0	0.9151	0.3926	0.6667	0.9091	0.8183	0.7572	0.7044	0.6102	0.8128	0.6268	0.8342	0.5246	0.466	0	0.8129
3	ru	en	3	0.6316	0.8472	0.5664	0.7788	0.9073	0.5757	0.6316	0.9041	0.9773	0.9662	0.6047	0.6296	0.8333	0.7596	0.8372	0	0.9368	0.72	0.8485	0.6749	0	0.9407	0.4309	0.6119	0.8807	0.8152	0.7745	0.7067	0.614	0.8063	0.6453	0.8399	0.0426	0.5649	0	0.8519
4	ru	en	3	0.6468	0.8552	0.5825	0.7788	0.9062	0.6192	0.6667	0.9189	0.982	0.9691	0.6829	0.7353	0.7273	0.854	0.912	0	0.9263	0.7059	0.875	0.6805	0	0.9299	0.3804	0.7179	0.8411	0.8354	0.758	0.6918	0.5983	0.7821	0.6496	0.8528	0.0435	0.5217	0	0.8553
