layer	source	target	run	acl	acl:relcl	advcl	advmod	amod	appos	aux	aux:caus	aux:pass	case	case:aspect	case:dec	case:pref	case:suff	cc	ccomp	clf	conj	cop	csubj	csubj:pass	dep	det	discourse	dislocated	flat:foreign	iobj	mark	mark:advb	mark:comp	mark:relcl	nmod	nmod:tmod	nsubj	nsubj:pass	nummod	obj	obl	xcomp
0	zh	en	1	0.4396	0.1992	0.1111	0.6023	0.4558	0.0364	0.7333	0.5333	0.975	0.5404	0.9565	0.8104	0.563	0.5637	0.8357	0.3072	0.5504	0.2179	0.6625	0	0	0.2038	0.2571	0.5	0	0.3429	0	0.6258	0.8333	1	0.6409	0.4205	0.5161	0.3327	0	0.8748	0.3952	0.0913	0.1714
1	zh	en	1	0.5469	0.5641	0.2222	0.6376	0.4902	0.5089	0.7683	0.5333	0.975	0.6196	0.9515	0.8192	0.5938	0.649	0.8483	0.4829	0.7801	0.7678	0.7038	0	0	0.4107	0.6707	0.72	0.1667	0.88	0	0.7163	0.88	1	0.7538	0.6202	0.662	0.615	0.6182	0.9208	0.7183	0.5102	0.4348
2	zh	en	1	0.5714	0.5263	0.125	0.6137	0.4437	0.5089	0.775	0.5161	0.9398	0.6511	0.9649	0.8243	0.6357	0.6346	0.8481	0.5486	0.7626	0.8315	0.6801	0.0541	0	0.4418	0.6827	0.7692	0	0.92	0	0.7067	0.9231	1	0.7421	0.6176	0.6481	0.6256	0.6071	0.9281	0.7645	0.5093	0.417
3	zh	en	1	0.6197	0.5681	0.2222	0.6098	0.4883	0.5529	0.7362	0.5161	0.9398	0.6887	0.96	0.822	0.6377	0.6376	0.8442	0.594	0.7824	0.8676	0.7052	0.1905	0	0.6093	0.7311	0.875	0	0.9231	0	0.696	0.96	0.6667	0.7757	0.6477	0.6351	0.668	0.64	0.9275	0.7965	0.5061	0.4496
4	zh	en	1	0.6483	0.5632	0.2222	0.6106	0.4861	0.6023	0.7654	0.5455	0.963	0.6855	0.952	0.8431	0.637	0.657	0.8424	0.6518	0.7441	0.8909	0.7333	0.1538	0	0.6656	0.7204	0.8485	0	0.8	0	0.7157	0.8696	0	0.774	0.6565	0.6059	0.6782	0.56	0.9288	0.8251	0.4961	0.4788
0	zh	en	2	0.4512	0.2259	0.125	0.6235	0.4967	0.0187	0.7248	0.5333	0.975	0.5394	0.9565	0.8083	0.5571	0.5709	0.8222	0.3197	0.5504	0.2059	0.6563	0	0	0.1979	0.2716	0.5	0	0.2941	0	0.6208	0.8333	0.6667	0.6486	0.4237	0.5311	0.3156	0	0.8722	0.388	0.0632	0.2266
1	zh	en	2	0.5253	0.5204	0.2222	0.6168	0.4839	0.5089	0.7547	0.5333	0.975	0.6377	0.9558	0.8059	0.6202	0.6386	0.8409	0.4951	0.7798	0.7653	0.7062	0	0	0.4008	0.6814	0.8148	0.1667	0.88	0	0.6935	0.88	1	0.7521	0.6221	0.6528	0.6024	0.5769	0.9212	0.7154	0.4737	0.4093
2	zh	en	2	0.5806	0.5118	0.125	0.6171	0.4328	0.5122	0.7799	0.5161	0.9512	0.6304	0.9558	0.8134	0.5484	0.6071	0.8457	0.5294	0.7591	0.8302	0.6842	0.1463	0	0.4403	0.6865	0.7692	0	0.898	0	0.6645	0.8889	1	0.744	0.6297	0.6389	0.6365	0.6182	0.9254	0.7616	0.5158	0.3891
3	zh	en	2	0.6475	0.5646	0.2222	0.6113	0.4967	0.5581	0.7349	0.5	0.963	0.6878	0.9646	0.8132	0.6567	0.6445	0.8506	0.5873	0.7536	0.8704	0.7041	0	0	0.6489	0.7182	0.8387	0	0.902	0	0.6994	0.96	0.6667	0.7579	0.6461	0.6301	0.6634	0.6038	0.9275	0.8049	0.5039	0.4511
4	zh	en	2	0.6524	0.577	0.2222	0.6208	0.4637	0.6298	0.7485	0.5806	0.963	0.6973	0.9561	0.8413	0.6	0.6686	0.8433	0.6327	0.7552	0.8941	0.7316	0.1538	0	0.639	0.7288	0.8125	0	0.8214	0	0.7062	0.8	1	0.7384	0.6612	0.6035	0.6839	0.6383	0.924	0.8235	0.5314	0.4355
0	zh	en	3	0.4474	0.1843	0.125	0.6212	0.4968	0.082	0.7333	0.5333	0.975	0.5363	0.9565	0.8179	0.5625	0.5526	0.8523	0.3072	0.5608	0.1945	0.6603	0	0	0.2058	0.2553	0.5	0	0.303	0	0.6269	0.8333	1	0.6441	0.4253	0.5208	0.3502	0	0.8766	0.3823	0.0846	0.1608
1	zh	en	3	0.5355	0.5366	0.1176	0.6451	0.4792	0.5059	0.7758	0.5333	0.975	0.6093	0.9515	0.8263	0.6094	0.6233	0.8523	0.4851	0.7738	0.7655	0.6821	0.0526	0	0.3524	0.6691	0.6087	0	0.8627	0	0.7082	0.8889	0.6667	0.7489	0.612	0.6379	0.6069	0.5556	0.9129	0.7153	0.4367	0.4387
2	zh	en	3	0.5727	0.5506	0.125	0.6046	0.4483	0.5119	0.7654	0.5161	0.9512	0.6458	0.9427	0.8192	0.592	0.6191	0.8448	0.5527	0.7512	0.8299	0.7156	0.1053	0	0.4476	0.693	0.7143	0	0.898	0	0.6758	0.9231	1	0.7277	0.6269	0.6045	0.631	0.6071	0.9246	0.7609	0.5157	0.373
3	zh	en	3	0.6388	0.5831	0.1176	0.6	0.5	0.5818	0.7317	0.5161	0.9512	0.6785	0.9646	0.8314	0.6466	0.6399	0.8481	0.6039	0.7748	0.8756	0.7178	0.1	0	0.6184	0.7207	0.8667	0	0.902	0	0.6907	0.9167	0.6667	0.7867	0.6463	0.6507	0.6677	0.6	0.9343	0.8067	0.5372	0.432
4	zh	en	3	0.6467	0.56	0.2353	0.606	0.4814	0.6199	0.7607	0.5455	0.963	0.6845	0.9561	0.8429	0.5781	0.6573	0.8391	0.6421	0.7535	0.8994	0.7262	0.15	0	0.654	0.7157	0.8667	0	0.8214	0	0.7112	0.8462	1	0.7621	0.6595	0.6351	0.6742	0.7059	0.9279	0.821	0.5318	0.4667
