layer	source	target	acc1	acc2	acc3
0	en	ar	79.48431834	79.49228869	79.87885068
0	en	es	79.49228869	79.35679273	79.64372534
0	en	fr	79.47634799	79.49627386	79.61184394
0	en	ru	79.56003666	79.53612561	79.33686686
0	en	zh	79.40062966	79.44048141	79.49627386
0	en	en	77.79858925	77.47180489	77.42796796
1	en	ar	87.07209182	86.94456621	86.88877376
1	en	es	86.6416929	86.88478859	86.75327781
1	en	fr	86.88080341	87.00035867	87.09600287
1	en	ru	85.25086678	85.44215518	85.3584665
1	en	zh	84.61323875	84.4299207	84.88024549
1	en	en	79.96652453	80.07810943	80.02630216
2	en	ar	86.59785598	86.74929263	86.96050691
2	en	es	86.50221177	86.81704061	86.72139641
2	en	fr	87.51046108	87.55031284	87.46662416
2	en	ru	84.21870641	84.46977245	84.5096242
2	en	zh	82.94743554	82.87171721	82.93548001
2	en	en	78.60359463	79.03399354	78.86661619
3	en	ar	86.99637349	87.11194357	87.01231419
3	en	es	87.13186945	87.25540988	87.3470689
3	en	fr	87.62603116	87.48256486	87.43474276
3	en	ru	86.11963496	85.88450962	86.00805005
3	en	zh	84.06328458	84.16689914	84.35420237
3	en	en	76.35197067	76.49942215	76.59905153
4	en	ar	86.82102578	86.70944088	86.72139641
4	en	es	87.45466863	87.37496513	87.65392739
4	en	fr	87.41880206	87.53835731	87.47060933
4	en	ru	84.32630614	84.41397999	84.38608377
4	en	zh	81.97106763	82.01091938	82.05874148
4	en	en	78.08153668	78.26086957	78.36049894
0	es	en	85.91314495	86.17154289	85.92981579
1	es	en	84.65449696	84.63782612	84.5294657
2	es	en	83.02909061	83.14578645	83.08743853
3	es	en	83.89597399	84.05434692	84.22939068
4	es	en	83.76260732	83.6542469	83.77094274
0	ru	en	61.2575889	61.0320902	61.04076323
1	ru	en	64.45793582	64.72679965	64.67476149
2	ru	en	63.14830876	63.34778838	63.3217693
3	ru	en	63.26973114	63.39982654	63.10494363
4	ru	en	62.57588899	62.63660017	62.78404163
0	fr	en	85.11827528	85.0683701	84.90867352
1	fr	en	84.1002096	84.28984929	84.57929933
2	fr	en	82.6030542	82.30362312	82.16388861
3	fr	en	83.51132848	83.65106298	83.58119573
4	fr	en	83.98043717	83.86066474	84.3497355
0	zh	en	65.47331613	65.35675631	65.27349929
1	zh	en	68.09591208	68.50387145	68.08758638
2	zh	en	67.21338773	67.23003913	67.45483307
3	zh	en	66.42244609	66.77212555	66.59728582
4	zh	en	65.96453251	66.02281242	65.8979269
0	ar	en	63.18918536	62.99455022	63.07240427
1	ar	en	70.63132564	70.46500106	70.46146224
2	ar	en	69.65107226	69.8103192	69.46351476
3	ar	en	71.03475122	70.89673721	71.08075589
4	ar	en	70.07926959	70.0651143	70.1146578
