layer	source	target	acc1	acc2	acc3
0	en	ar	78.4959949	78.18116606	78.23695851
0	en	es	78.34854342	78.34854342	78.37245447
0	en	fr	78.33260272	78.06559598	78.39238035
0	en	ru	78.09747738	78.10146256	78.11341808
0	en	zh	78.29673614	78.33260272	78.14928466
1	en	ar	77.94205555	77.80257442	78.09747738
1	en	es	78.4959949	78.64743155	78.4481728
1	en	fr	77.8543817	78.06161081	78.28079544
1	en	ru	78.14529949	78.33658789	77.9819073
1	en	zh	78.34057307	78.25289921	78.12537361
2	en	ar	66.25353684	66.29737377	66.26549237
2	en	es	66.14593711	66.18180369	66.44881043
2	en	fr	66.13398159	65.83907863	66.12999641
2	en	ru	65.94269318	66.04630774	65.8590045
2	en	zh	66.01841151	66.35316622	65.70756785
3	en	ar	47.88984976	47.83804248	47.74239828
3	en	es	47.46343602	47.0808592	47.26019209
3	en	fr	46.13637269	46.42729048	46.88160045
3	en	ru	47.11672578	47.39568804	46.78994142
3	en	zh	46.62256406	46.20412067	46.87761527
4	en	ar	28.38241741	28.05961822	28.63746862
4	en	es	28.78890527	28.43422468	28.02773682
4	en	fr	27.84840394	27.4698123	27.42996055
4	en	ru	27.5813972	27.15498346	27.05933926
4	en	zh	28.03570717	27.68899693	28.36249153
