layer	source	target	run	dist1	dist2	dist3	dist4	dist5	dist6-7	dist8-10	dist10-
0	en	ar	1	0.8830926875	0.8011090573	0.7341040462	0.712652439	0.6888331242	0.6751740139	0.6754772394	0.6623067776
0	en	es	1	0.8769445738	0.8001848429	0.7348265896	0.6974085366	0.6938519448	0.6763341067	0.6475770925	0.6623067776
0	en	fr	1	0.870330694	0.8033271719	0.7391618497	0.7004573171	0.6863237139	0.6484918794	0.6607929515	0.6563614744
0	en	ru	1	0.8778761062	0.792051756	0.7272398844	0.7096036585	0.6750313676	0.6728538283	0.6622613803	0.6670630202
0	en	zh	1	0.8747088961	0.7933456562	0.736632948	0.6928353659	0.6775407779	0.6902552204	0.6666666667	0.6730083234
0	en	en	1	0.834187238	0.7419593346	0.6737716763	0.6280487805	0.6047678795	0.5997679814	0.5682819383	0.598097503
1	en	ar	1	0.9543549138	0.9401109057	0.8923410405	0.8696646341	0.8293601004	0.8178654292	0.7944199706	0.7883472057
1	en	es	1	0.9544480671	0.9454713494	0.9147398844	0.8841463415	0.8456712673	0.8515081207	0.8414096916	0.8275862069
1	en	fr	1	0.9468095016	0.9210720887	0.8847543353	0.8696646341	0.8293601004	0.8039443155	0.798825257	0.7502972652
1	en	ru	1	0.9466231952	0.9410351201	0.9064306358	0.8841463415	0.8318695107	0.8248259861	0.825256975	0.8121284185
1	en	zh	1	0.9453190498	0.9391866913	0.9057080925	0.8864329268	0.8406524467	0.8201856148	0.8237885463	0.8192627824
1	en	en	1	0.9098276665	0.8519408503	0.7698699422	0.724847561	0.7089084065	0.6751740139	0.6328928047	0.6599286564
2	en	ar	1	0.9578015836	0.9532347505	0.9349710983	0.9138719512	0.8946047679	0.8932714617	0.8839941263	0.8799048751
2	en	es	1	0.9560316721	0.9510166359	0.9313583815	0.90625	0.878293601	0.879350348	0.872246696	0.8644470868
2	en	fr	1	0.9535165347	0.9515711645	0.9172687861	0.9070121951	0.8795483061	0.86774942	0.8707782673	0.8442330559
2	en	ru	1	0.9424312995	0.9382624769	0.9248554913	0.90625	0.8619824341	0.8770301624	0.8707782673	0.8680142687
2	en	zh	1	0.9417792268	0.9384473198	0.9226878613	0.9077743902	0.8770388959	0.8770301624	0.8957415565	0.8810939358
2	en	en	1	0.9134606428	0.8693160813	0.8031069364	0.7660060976	0.7252195734	0.6995359629	0.6475770925	0.677764566
3	en	ar	1	0.9618071728	0.9580406654	0.9461705202	0.9275914634	0.8983688833	0.9060324826	0.8957415565	0.8858501784
3	en	es	1	0.9621797857	0.958780037	0.9458092486	0.9321646341	0.8883312422	0.909512761	0.8883994126	0.8929845422
3	en	fr	1	0.960316721	0.958780037	0.9375	0.9199695122	0.8946047679	0.8897911833	0.9001468429	0.8739595719
3	en	ru	1	0.9524918491	0.9532347505	0.9378612717	0.9321646341	0.9033877039	0.8932714617	0.8972099853	0.8917954816
3	en	zh	1	0.9541686074	0.9530499076	0.9396676301	0.9352134146	0.9146800502	0.9153132251	0.8972099853	0.8917954816
3	en	en	1	0.9018164881	0.8926062847	0.8475433526	0.8384146341	0.78293601	0.7900232019	0.7665198238	0.7788347206
4	en	ar	1	0.9630181649	0.9645101664	0.9559248555	0.9458841463	0.9222082811	0.9211136891	0.919236417	0.8977407848
4	en	es	1	0.9652538426	0.9637707948	0.9544797688	0.949695122	0.9297365119	0.9489559165	0.9118942731	0.903686088
4	en	fr	1	0.9636702375	0.9687615527	0.9512283237	0.9458841463	0.9284818068	0.9234338747	0.9441997063	0.9024970273
4	en	ru	1	0.9530507685	0.9552680222	0.9414739884	0.9336890244	0.9196988708	0.9199535963	0.9074889868	0.8894173603
4	en	zh	1	0.9517466232	0.9598890943	0.9454479769	0.9474085366	0.9322459222	0.9245939675	0.9133627019	0.8656361474
4	en	en	1	0.913181183	0.9118299445	0.901734104	0.8849085366	0.8381430364	0.8306264501	0.7958883994	0.7883472057
0	en	ar	2	0.8843036796	0.8027726433	0.7301300578	0.6974085366	0.7114178168	0.6798143852	0.657856094	0.6551724138
0	en	es	2	0.8735910573	0.8014787431	0.7304913295	0.6958841463	0.6875784191	0.6728538283	0.6725403818	0.6551724138
0	en	fr	2	0.8766651141	0.7953789279	0.7312138728	0.6989329268	0.6925972396	0.656612529	0.6563876652	0.6682520809
0	en	ru	2	0.8715416861	0.7970425139	0.7283236994	0.7057926829	0.6875784191	0.6635730858	0.6637298091	0.6694411415
0	en	zh	2	0.8757335817	0.8029574861	0.7351878613	0.7019817073	0.6888331242	0.6705336427	0.6798825257	0.6694411415
0	en	en	2	0.8347461574	0.7534195933	0.675216763	0.637195122	0.6135508156	0.5846867749	0.5741556535	0.6016646849
1	en	ar	2	0.9537028412	0.941219963	0.8923410405	0.8635670732	0.8281053952	0.8167053364	0.7753303965	0.7764565993
1	en	es	2	0.9547275268	0.9521256932	0.9223265896	0.8772865854	0.851944793	0.8515081207	0.825256975	0.8156956005
1	en	fr	2	0.9507219376	0.9304990758	0.8966763006	0.8635670732	0.8331242158	0.8039443155	0.798825257	0.7621878716
1	en	ru	2	0.9468095016	0.9417744917	0.9024566474	0.8841463415	0.8356336261	0.8306264501	0.8076358297	0.8109393579
1	en	zh	2	0.9452258966	0.9399260628	0.9096820809	0.8963414634	0.8544542033	0.8225058005	0.8281938326	0.8168846611
1	en	en	2	0.9097345133	0.8521256932	0.7727601156	0.7271341463	0.6800501882	0.6705336427	0.6299559471	0.6480380499
2	en	ar	2	0.958360503	0.9548983364	0.9389450867	0.9077743902	0.8895859473	0.8851508121	0.872246696	0.8810939358
