layer	source	target	acc1	acc2	acc3
0	en	ar	80.87	80.85106383	80.4494574
0	en	es	80.43	80.26147142	80.56481244
0	en	fr	80.16	80.24438178	80.46227463
0	en	ru	80.25	80.08630266	79.88549944
0	en	zh	80.26	80.55199521	80.4964539
0	en	en	74.97	75.33111168	75.31829445
1	en	ar	91.91	91.76279586	91.92941981
1	en	es	92.84	92.98897719	92.90780142
1	en	fr	90.86	91.41673075	91.33555499
1	en	ru	92.03	91.98923353	91.86533368
1	en	zh	91.97	92.14304025	91.9764163
1	en	en	83.7	83.58113304	83.79475348
2	en	ar	94.21	94.2108861	94.13825515
2	en	es	93.8	93.89900026	94.07416902
2	en	fr	93.42	93.50166624	93.66829018
2	en	ru	92.75	92.93343587	92.80953602
2	en	zh	92.87	92.86080492	93.04024609
2	en	en	85.14	85.0209348	85.23882765
3	en	ar	94.83	94.60394771	94.70221311
3	en	es	94.87	94.71930274	94.77911647
3	en	fr	94.53	94.54413398	94.57831325
3	en	ru	94.22	94.34333077	94.38178245
3	en	zh	94.45	94.44159617	94.39887208
3	en	en	87.32	87.38357686	87.4049389
4	en	ar	95.5	95.44561224	95.59514654
4	en	es	95.72	95.80022217	95.62505341
4	en	fr	95.69	95.82585662	95.84294625
4	en	ru	94.51	94.67657866	94.53131676
4	en	zh	94.68	94.57831325	94.75348201
4	en	en	89.64	89.50269162	89.74621892
