layer	source	target	acc1	acc2	acc3
0	en	ar	77.25796804	76.80936512	76.8478168
0	en	es	77.3348714	76.99735111	77.1383406
0	en	fr	76.77091344	76.98026147	76.76664103
0	en	ru	76.57011023	77.06998206	76.9930787
0	en	zh	76.83499957	77.03580279	76.45048278
1	en	ar	89.27198154	88.90028198	89.18226096
1	en	es	89.48987439	89.24634709	89.50696403
1	en	fr	89.39160899	89.44287789	89.24634709
1	en	ru	89.10108519	89.31470563	89.58386738
1	en	zh	89.3958814	89.45569512	89.34461249
2	en	ar	83.76057421	83.55549859	83.69648808
2	en	es	83.87592925	83.96992224	83.83320516
2	en	fr	83.40169187	83.41023669	83.0257199
2	en	ru	83.69648808	83.13253012	83.58113304
2	en	zh	83.50422968	82.74801333	83.34615056
3	en	ar	74.22455781	74.49371956	74.90814321
3	en	es	74.28437153	74.28437153	74.28437153
3	en	fr	74.36127489	74.16901649	74.43817824
3	en	ru	73.9767581	73.77168247	74.31427839
3	en	zh	73.87849269	74.30573357	74.04511664
4	en	ar	64.74408271	65.72673673	66.01726053
4	en	es	65.14141673	64.44074169	64.20575921
4	en	fr	65.23540972	65.175596	65.71819192
4	en	ru	65.09442023	64.31256943	64.20575921
4	en	zh	64.18866957	64.00068359	64.08613176
