layer	source	target	scheme	acc1	acc2	acc3
0	en	ar	dm	80.87	80.85106383	80.4494574
0	en	es	dm	80.43	80.26147142	80.56481244
0	en	fr	dm	80.16	80.24438178	80.46227463
0	en	ru	dm	80.25	80.08630266	79.88549944
0	en	zh	dm	80.26	80.55199521	80.4964539
0	en	en	dm	74.97	75.33111168	75.31829445
1	en	ar	dm	91.91	91.76279586	91.92941981
1	en	es	dm	92.84	92.98897719	92.90780142
1	en	fr	dm	90.86	91.41673075	91.33555499
1	en	ru	dm	92.03	91.98923353	91.86533368
1	en	zh	dm	91.97	92.14304025	91.9764163
1	en	en	dm	83.7	83.58113304	83.79475348
2	en	ar	dm	94.21	94.2108861	94.13825515
2	en	es	dm	93.8	93.89900026	94.07416902
2	en	fr	dm	93.42	93.50166624	93.66829018
2	en	ru	dm	92.75	92.93343587	92.80953602
2	en	zh	dm	92.87	92.86080492	93.04024609
2	en	en	dm	85.14	85.0209348	85.23882765
3	en	ar	dm	94.83	94.60394771	94.70221311
3	en	es	dm	94.87	94.71930274	94.77911647
3	en	fr	dm	94.53	94.54413398	94.57831325
3	en	ru	dm	94.22	94.34333077	94.38178245
3	en	zh	dm	94.45	94.44159617	94.39887208
3	en	en	dm	87.32	87.38357686	87.4049389
4	en	ar	dm	95.5	95.44561224	95.59514654
4	en	es	dm	95.72	95.80022217	95.62505341
4	en	fr	dm	95.69	95.82585662	95.84294625
4	en	ru	dm	94.51	94.67657866	94.53131676
4	en	zh	dm	94.68	94.57831325	94.75348201
4	en	en	dm	89.64	89.50269162	89.74621892
0	en	ar	pas	79.74	79.92636466	79.70225708
0	en	es	pas	79.65	79.53257564	79.5902033
0	en	fr	pas	79.89	79.59340483	79.8783416
0	en	ru	pas	79.55	79.60300944	79.4077157
0	en	zh	pas	79.43	79.81110933	79.94237234
0	en	en	pas	75.55	75.48903474	75.56267008
1	en	ar	pas	92.56	92.56283016	92.65887626
1	en	es	pas	93.35	93.27997439	93.27997439
1	en	fr	pas	92.62	92.25548263	92.42836562
1	en	ru	pas	92.25	92.33552105	92.20745958
1	en	zh	pas	92.63	92.41555947	92.3483272
1	en	en	pas	84.69	84.47254682	84.70946054
2	en	ar	pas	94.25	94.21802465	94.20201697
2	en	es	pas	94.05	94.0483432	94.19241236
2	en	fr	pas	94.3	94.03553706	94.37489995
2	en	ru	pas	92.92	92.95661918	93.06226989
2	en	zh	pas	93.04	92.92460381	93.03345606
2	en	en	pas	85.76	86.20137666	86.05730751
3	en	ar	pas	94.77	94.69185209	94.68224748
3	en	es	pas	94.95	94.90635505	94.89034737
3	en	fr	pas	94.47	94.61181367	94.71426285
3	en	ru	pas	94.22	94.24043541	94.08035857
3	en	zh	pas	94.04	94.13158316	93.98751401
3	en	en	pas	87.36	87.73811429	87.71570354
4	en	ar	pas	95.1	95.12405955	95.18488875
4	en	es	pas	95.48	95.39298863	95.47622859
4	en	fr	pas	95.28	95.46342244	95.37057788
4	en	ru	pas	94.47	94.42612454	94.37489995
4	en	zh	pas	94.34	94.40691532	94.43572915
4	en	en	pas	89.72	89.73907476	89.62381943
0	en	ar	psd	68.57	68.60352508	68.75363161
0	en	es	psd	68.39	68.29362774	68.37594422
0	en	fr	psd	68.71	68.50668216	68.41952353
0	en	ru	psd	68.4	68.67615727	68.46310285
0	en	zh	psd	68.31	68.39047066	68.04667829
0	en	en	psd	64.22	64.74433469	64.11001356
1	en	ar	psd	77.21	77.387178	77.22738718
1	en	es	psd	77.97	77.96823552	77.89076119
1	en	fr	psd	76.78	76.49138098	76.11369359
1	en	ru	psd	76.85	76.99496417	77.27580864
1	en	zh	psd	77.38	77.52760023	77.29517722
1	en	en	psd	68.96	68.56963006	68.78268449
2	en	ar	psd	79.06	79.18361418	78.85434825
2	en	es	psd	78.3	78.49602944	78.37981794
2	en	fr	psd	78.42	78.19581639	78.10865776
2	en	ru	psd	77.12	77.12570211	77.1353864
2	en	zh	psd	77.94	77.75033895	77.4501259
2	en	en	psd	69.29	69.31532055	69.31532055
3	en	ar	psd	79.91	79.87604106	79.87604106
3	en	es	psd	79.72	80.05035832	79.88088321
3	en	fr	psd	79.07	79.42087933	79.12066628
3	en	ru	psd	78.96	78.52508232	78.56381948
3	en	zh	psd	79.79	79.69688166	79.54193298
3	en	en	psd	68.97	68.86500097	68.78268449
4	en	ar	psd	81.23	81.01394538	81.0478404
4	en	es	psd	81.05	81.02847182	81.11563045
4	en	fr	psd	81.25	80.69920589	80.73310091
4	en	ru	psd	79.27	79.24171993	79.31435212
4	en	zh	psd	79.88	80.09877978	79.8276196
4	en	en	psd	71.73	71.3926012	71.47007554
