layer	source	target	run	dist1	dist2	dist3	dist4	dist5	dist6-7	dist8-10	dist10-
0	en	ar	1	0.8201809417	0.8073448838	0.7841279242	0.727696793	0.7323232323	0.7394366197	0.7103524229	0.7658697444
0	en	es	1	0.8204450901	0.8103065304	0.7820550785	0.7259475219	0.7161616162	0.7262323944	0.7070484582	0.7584501237
0	en	fr	1	0.8224922406	0.8104546128	0.7773171454	0.7405247813	0.7262626263	0.7297535211	0.7169603524	0.7691673537
0	en	ru	1	0.8157564551	0.8063083074	0.7793899911	0.7416909621	0.7262626263	0.738556338	0.7125550661	0.7765869744
0	en	zh	1	0.8205111273	0.7972752851	0.7728753331	0.7166180758	0.7212121212	0.7411971831	0.731277533	0.7757625721
0	en	en	1	0.7832661956	0.7559603139	0.7290494522	0.6851311953	0.6828282828	0.6971830986	0.6828193833	0.7469084913
1	en	ar	1	0.9468401242	0.9333629498	0.9067219426	0.8711370262	0.8535353535	0.8670774648	0.8711453744	0.901071723
1	en	es	1	0.9462457901	0.9423959722	0.9307077288	0.9026239067	0.8787878788	0.8794014085	0.8821585903	0.9109645507
1	en	fr	1	0.9483589777	0.9286243151	0.9093870299	0.8816326531	0.8747474747	0.8723591549	0.8689427313	0.8821104699
1	en	ru	1	0.939708116	0.9309936325	0.9120521173	0.8903790087	0.8404040404	0.8697183099	0.8678414097	0.8928276999
1	en	zh	1	0.9388496335	0.9361765141	0.9236008291	0.893877551	0.8676767677	0.8802816901	0.8755506608	0.8969497115
1	en	en	1	0.8957934359	0.8378498445	0.8030796565	0.7516034985	0.7515151515	0.7632042254	0.7246696035	0.7906018137
2	en	ar	1	0.9488212375	0.9460980305	0.9392952325	0.9206997085	0.9141414141	0.9216549296	0.9174008811	0.943940643
2	en	es	1	0.9493495344	0.9462461128	0.9410719574	0.9172011662	0.9050505051	0.9049295775	0.904185022	0.9200329761
2	en	fr	1	0.9513966849	0.9456537835	0.9378146284	0.9271137026	0.9151515152	0.9207746479	0.9030837004	0.9340478153
2	en	ru	1	0.9371987057	0.9361765141	0.92389695	0.9166180758	0.8888888889	0.8934859155	0.8964757709	0.9134377576
2	en	zh	1	0.9360760748	0.9345476085	0.9330766953	0.9172011662	0.8898989899	0.9040492958	0.9063876652	0.9233305853
2	en	en	1	0.8922934689	0.8673182289	0.8318033758	0.787755102	0.7393939394	0.7772887324	0.7522026432	0.791426216
3	en	ar	1	0.9523212045	0.9483192655	0.9469943737	0.9381924198	0.9272727273	0.9313380282	0.9317180617	0.9447650453
3	en	es	1	0.9556230602	0.9499481712	0.9487710986	0.9381924198	0.9242424242	0.926056338	0.9273127753	0.9488870569
3	en	fr	1	0.9521891303	0.9469865245	0.9413680782	0.9271137026	0.9191919192	0.9110915493	0.922907489	0.9406430338
3	en	ru	1	0.9479627551	0.9418036428	0.9410719574	0.9387755102	0.9191919192	0.9278169014	0.9085903084	0.9389942292
3	en	zh	1	0.9467080499	0.9401747372	0.9389991116	0.9294460641	0.9131313131	0.9286971831	0.9262114537	0.9266281946
3	en	en	1	0.881793568	0.8803494743	0.8744447735	0.8559766764	0.8161616162	0.8459507042	0.8160792952	0.8730420445
4	en	ar	1	0.9540381695	0.9500962535	0.9529167901	0.9510204082	0.9363636364	0.9383802817	0.936123348	0.94641385
4	en	es	1	0.9581324704	0.9542425589	0.9570624815	0.9457725948	0.9323232323	0.948943662	0.9482378855	0.9505358615
4	en	fr	1	0.9568117282	0.9521694062	0.9588392064	0.949271137	0.9292929293	0.9375	0.9251101322	0.9480626546
4	en	ru	1	0.9484250149	0.9449133718	0.948178857	0.9393586006	0.9202020202	0.9339788732	0.9207048458	0.9422918384
4	en	zh	1	0.9472363468	0.9453576188	0.9466982529	0.9364431487	0.9292929293	0.9278169014	0.9151982379	0.9315746084
4	en	en	1	0.9030575183	0.9040426477	0.8996150429	0.8822157434	0.8585858586	0.8688380282	0.8502202643	0.8936521022
0	en	ar	2	0.8219639437	0.8092699541	0.787681374	0.7422740525	0.7101010101	0.7341549296	0.7125550661	0.7716405606
0	en	es	2	0.819784719	0.8033466607	0.7770210246	0.732361516	0.7303030303	0.7332746479	0.718061674	0.7543281121
0	en	fr	2	0.818596051	0.8083814601	0.7790938703	0.7317784257	0.7121212121	0.7271126761	0.7246696035	0.7675185491
0	en	ru	2	0.8227563891	0.8023100844	0.7758365413	0.732361516	0.7303030303	0.7323943662	0.7004405286	0.7584501237
0	en	zh	2	0.8234827973	0.8054198134	0.7823511993	0.7300291545	0.7252525253	0.7297535211	0.7147577093	0.7666941467
0	en	en	2	0.7778511523	0.7681030653	0.73911756	0.6932944606	0.6838383838	0.6698943662	0.6707048458	0.7262984336
1	en	ar	2	0.944991085	0.9333629498	0.9126443589	0.8752186589	0.8646464646	0.8820422535	0.8645374449	0.8845836768
1	en	es	2	0.9468401242	0.9428402192	0.9259697957	0.8962099125	0.8828282828	0.8829225352	0.8656387665	0.9101401484
1	en	fr	2	0.946774087	0.9238856804	0.9082025466	0.8699708455	0.8626262626	0.8679577465	0.8502202643	0.8812860676
1	en	ru	2	0.9408307469	0.9286243151	0.9164939295	0.8857142857	0.8484848485	0.8714788732	0.877753304	0.8920032976
1	en	zh	2	0.9349534438	0.9336591145	0.9277465206	0.8956268222	0.8656565657	0.8758802817	0.872246696	0.8985985161
1	en	en	2	0.8924915803	0.8390345032	0.8030796565	0.756851312	0.7474747475	0.7455985915	0.7268722467	0.780708986
2	en	ar	2	0.9494155716	0.9455057012	0.9395913533	0.9201166181	0.9080808081	0.9198943662	0.9118942731	0.9431162407
2	en	es	2	0.9498117942	0.9452095365	0.9428486823	0.9201166181	0.903030303	0.9022887324	0.8986784141	0.9175597692
2	en	fr	2	0.9497457571	0.9426921368	0.9366301451	0.9206997085	0.903030303	0.9163732394	0.904185022	0.9282769992
2	en	ru	2	0.9386515222	0.9343995261	0.9224163459	0.9224489796	0.8808080808	0.8943661972	0.8887665198	0.922506183
2	en	zh	2	0.93389685	0.9312897971	0.9333728161	0.9241982507	0.8898989899	0.9084507042	0.9052863436	0.9249793899
2	en	en	2	0.8977085122	0.8693913816	0.834764584	0.7871720117	0.7606060606	0.764084507	0.7599118943	0.8079142622
3	en	ar	2	0.9519249818	0.9492077595	0.9475866153	0.9282798834	0.9262626263	0.926056338	0.9273127753	0.9472382523
3	en	es	2	0.9536419468	0.9489115948	0.9508439443	0.9440233236	0.9262626263	0.9286971831	0.9240088106	0.9513602638
3	en	fr	2	0.9539721323	0.9477269362	0.9410719574	0.9236151604	0.9202020202	0.926056338	0.9151982379	0.9480626546
3	en	ru	2	0.9473023839	0.9437287132	0.9461060113	0.9335276968	0.9171717172	0.9278169014	0.8964757709	0.9447650453
3	en	zh	2	0.9479627551	0.9404709018	0.9387029908	0.9317784257	0.9151515152	0.9304577465	0.9185022026	0.9323990107
3	en	en	2	0.8885953906	0.8831630386	0.8723719277	0.8559766764	0.8191919192	0.8406690141	0.8182819383	0.8755152514
4	en	ar	2	0.9543023179	0.9508366652	0.954693515	0.9475218659	0.9323232323	0.9383802817	0.9383259912	0.9480626546
4	en	es	2	0.9553589117	0.9558714645	0.9576547231	0.949271137	0.9363636364	0.9471830986	0.9405286344	0.9521846661
4	en	fr	2	0.9572079509	0.9560195469	0.9591353272	0.9527696793	0.9323232323	0.9410211268	0.9350220264	0.9505358615
4	en	ru	2	0.9470382355	0.9453576188	0.9508439443	0.9411078717	0.9131313131	0.9330985915	0.9240088106	0.9406430338
4	en	zh	2	0.9475665324	0.9468384422	0.9466982529	0.9329446064	0.9222222222	0.9339788732	0.9218061674	0.9373454246
4	en	en	2	0.9021990359	0.8990078484	0.9055374593	0.8927113703	0.8595959596	0.8811619718	0.8469162996	0.8961253092
