layer	source	target	acc1	acc2	acc3
0	en	ar	79.74	79.92636466	79.70225708
0	en	es	79.65	79.53257564	79.5902033
0	en	fr	79.89	79.59340483	79.8783416
0	en	ru	79.55	79.60300944	79.4077157
0	en	zh	79.43	79.81110933	79.94237234
0	en	en	75.55	75.48903474	75.56267008
1	en	ar	92.56	92.56283016	92.65887626
1	en	es	93.35	93.27997439	93.27997439
1	en	fr	92.62	92.25548263	92.42836562
1	en	ru	92.25	92.33552105	92.20745958
1	en	zh	92.63	92.41555947	92.3483272
1	en	en	84.69	84.47254682	84.70946054
2	en	ar	94.25	94.21802465	94.20201697
2	en	es	94.05	94.0483432	94.19241236
2	en	fr	94.3	94.03553706	94.37489995
2	en	ru	92.92	92.95661918	93.06226989
2	en	zh	93.04	92.92460381	93.03345606
2	en	en	85.76	86.20137666	86.05730751
3	en	ar	94.77	94.69185209	94.68224748
3	en	es	94.95	94.90635505	94.89034737
3	en	fr	94.47	94.61181367	94.71426285
3	en	ru	94.22	94.24043541	94.08035857
3	en	zh	94.04	94.13158316	93.98751401
3	en	en	87.36	87.73811429	87.71570354
4	en	ar	95.1	95.12405955	95.18488875
4	en	es	95.48	95.39298863	95.47622859
4	en	fr	95.28	95.46342244	95.37057788
4	en	ru	94.47	94.42612454	94.37489995
4	en	zh	94.34	94.40691532	94.43572915
4	en	en	89.72	89.73907476	89.62381943
