layer	source	target	acc1	acc2	acc3
0	en	ar	77.57963823	77.59244437	77.60204898
0	en	es	77.62445974	77.60204898	77.87738114
0	en	fr	77.83255963	77.36513526	77.87417961
0	en	ru	77.56363054	78.00224108	77.77493197
0	en	zh	77.86777653	77.65647511	77.80694733
1	en	ar	88.95149672	88.86825676	88.80422603
1	en	es	89.30366576	88.97390748	89.36129342
1	en	fr	88.65695534	88.84904754	89.10196895
1	en	ru	89.35809188	89.22682888	89.34848727
1	en	zh	89.19161197	89.07955819	89.23003041
2	en	ar	82.51320634	82.1002081	82.2218665
2	en	es	82.31471106	82.58364015	82.70529854
2	en	fr	82.0649912	82.08420042	81.88570514
2	en	ru	82.09540579	81.95934048	82.23147111
2	en	zh	82.29870338	82.02657275	81.93692973
3	en	ar	68.53209541	68.08067873	68.89066752
3	en	es	68.64094765	68.23435249	68.62814151
3	en	fr	68.01024492	67.95581879	68.06787258
3	en	ru	67.85977269	68.09988795	67.94301265
3	en	zh	67.73491276	67.81174964	67.47558828
4	en	ar	51.84888747	53.02705299	51.33344005
4	en	es	51.66960141	51.97694894	52.01536738
4	en	fr	51.36225388	51.19897551	52.42196254
4	en	ru	50.70273731	50.75716344	50.64831119
4	en	zh	50.1872899	50.08804226	50.61949736
