layer	source	target	run	adj_ARG1	app_ARG1	app_ARG2	aux_ARG1	aux_ARG2	comp_ARG1	comp_MOD	conj_ARG1	conj_ARG2	coord_ARG1	coord_ARG2	det_ARG1	noun_ARG1	poss_ARG1	poss_ARG2	prep_ARG1	prep_ARG2	punct_ARG1	relative_ARG1	verb_ARG1	verb_ARG2	verb_ARG3
0	en	ar	1	0.897	0.4771	0.5333	0.6994	0.88	0.8542	0.686	0.5585	0.5092	0.4972	0.5462	0.9927	0.8634	0.4257	0.5752	0.7604	0.7924	0.8933	0.928	0.7376	0.7512	0.5707
1	en	ar	1	0.9227	0.834	0.8354	0.9289	0.9584	0.9708	0.9721	0.7507	0.7188	0.8458	0.8309	0.9954	0.9255	0.8614	0.9685	0.9596	0.9651	0.9586	0.9852	0.912	0.8968	0.6908
2	en	ar	1	0.9273	0.8434	0.8417	0.9258	0.959	0.9755	0.9558	0.8692	0.904	0.9095	0.909	0.9953	0.9306	0.8684	0.9684	0.9705	0.9745	0.9603	0.9926	0.9414	0.9301	0.7312
3	en	ar	1	0.9267	0.8479	0.8743	0.942	0.9681	0.9786	0.9606	0.8825	0.9206	0.9249	0.9283	0.9959	0.9274	0.866	0.9789	0.9794	0.9797	0.9647	0.9901	0.9471	0.9367	0.7536
4	en	ar	1	0.9248	0.8652	0.8818	0.9523	0.9661	0.9763	0.9766	0.896	0.9243	0.9413	0.9424	0.9954	0.9278	0.8637	0.9671	0.9815	0.9814	0.9707	0.9901	0.9533	0.9412	0.7936
0	en	ar	2	0.899	0.4892	0.5408	0.7072	0.8869	0.8554	0.6977	0.5932	0.4782	0.441	0.5758	0.9936	0.8641	0.4	0.5641	0.7671	0.7963	0.8949	0.9175	0.7342	0.7526	0.5528
1	en	ar	2	0.9233	0.8417	0.8427	0.9232	0.959	0.9771	0.9683	0.7524	0.7254	0.8523	0.8392	0.9963	0.9251	0.8473	0.9688	0.9571	0.964	0.9578	0.9901	0.9085	0.9003	0.6583
2	en	ar	2	0.9238	0.8395	0.8344	0.929	0.9614	0.9826	0.9603	0.8723	0.9117	0.9169	0.9142	0.9951	0.9275	0.8701	0.9666	0.9697	0.9757	0.9625	0.9926	0.9384	0.9279	0.7146
3	en	ar	2	0.9242	0.8765	0.8747	0.9411	0.9645	0.981	0.9723	0.884	0.9144	0.9325	0.9284	0.9958	0.9288	0.8678	0.9771	0.9758	0.9786	0.9662	0.9877	0.9465	0.9331	0.7667
4	en	ar	2	0.9243	0.8694	0.8802	0.9499	0.9641	0.9818	0.9843	0.8886	0.9281	0.9427	0.9408	0.9951	0.9269	0.8621	0.9721	0.983	0.9829	0.9724	0.9926	0.9539	0.9431	0.7926
0	en	ar	3	0.8958	0.481	0.5321	0.7024	0.8884	0.8653	0.7354	0.5761	0.5304	0.5585	0.4276	0.9922	0.8632	0.3678	0.5714	0.7607	0.794	0.8914	0.9298	0.7373	0.7541	0.5085
1	en	ar	3	0.9265	0.8503	0.8294	0.9304	0.9593	0.9763	0.9562	0.731	0.7211	0.8503	0.8417	0.9958	0.9274	0.8528	0.9704	0.9602	0.9645	0.9562	0.9926	0.9117	0.8995	0.6616
2	en	ar	3	0.9228	0.8448	0.8481	0.9298	0.9665	0.9786	0.9603	0.8709	0.8981	0.9165	0.917	0.9954	0.9253	0.8681	0.967	0.9706	0.9734	0.9638	0.9926	0.9367	0.9291	0.7458
3	en	ar	3	0.9233	0.8549	0.86	0.9409	0.9663	0.9762	0.9562	0.8886	0.9206	0.9307	0.928	0.9959	0.9242	0.8658	0.9735	0.9792	0.98	0.9665	0.9901	0.9464	0.9358	0.7512
4	en	ar	3	0.9257	0.8554	0.8787	0.9508	0.9683	0.9786	0.9685	0.8909	0.9287	0.9443	0.9439	0.9953	0.9283	0.8658	0.9738	0.9816	0.9818	0.9712	0.9877	0.9538	0.9449	0.8
