layer	source	target	run	adj_ARG1	app_ARG1	app_ARG2	aux_ARG1	aux_ARG2	comp_ARG1	comp_MOD	conj_ARG1	conj_ARG2	coord_ARG1	coord_ARG2	det_ARG1	noun_ARG1	poss_ARG1	poss_ARG2	prep_ARG1	prep_ARG2	punct_ARG1	relative_ARG1	verb_ARG1	verb_ARG2	verb_ARG3
0	en	es	1	0.9006	0.4985	0.5308	0.7046	0.8889	0.8523	0.6471	0.5784	0.56	0.4204	0.6022	0.9936	0.8659	0.4008	0.5501	0.7572	0.7927	0.891	0.9175	0.7301	0.7395	0.4973
1	en	es	1	0.9212	0.8314	0.8288	0.9176	0.9656	0.9706	0.9719	0.8092	0.804	0.8972	0.8903	0.997	0.9228	0.8775	0.9735	0.9642	0.9723	0.9599	0.9877	0.9191	0.914	0.7282
2	en	es	1	0.923	0.8472	0.8396	0.9201	0.9633	0.9762	0.9683	0.8519	0.8857	0.9272	0.9225	0.9961	0.929	0.8843	0.9754	0.9691	0.9765	0.962	0.9877	0.9305	0.9233	0.7252
3	en	es	1	0.928	0.8623	0.8398	0.9459	0.9716	0.9786	0.9723	0.8792	0.908	0.9363	0.9315	0.9966	0.9319	0.8973	0.9755	0.9789	0.9811	0.9669	0.9901	0.9509	0.9375	0.7453
4	en	es	1	0.9279	0.8808	0.8827	0.9634	0.9731	0.9778	0.9843	0.907	0.9265	0.9525	0.9497	0.9965	0.9307	0.8787	0.9773	0.9852	0.9837	0.9759	0.9926	0.9581	0.9444	0.7768
0	en	es	2	0.8925	0.5007	0.5327	0.6949	0.885	0.8611	0.633	0.549	0.5	0.5347	0.5311	0.9937	0.864	0.4249	0.5517	0.7621	0.7972	0.8964	0.9257	0.7282	0.7401	0.516
1	en	es	2	0.9241	0.8406	0.8224	0.9116	0.9651	0.973	0.9723	0.8031	0.8131	0.8972	0.8875	0.9971	0.9266	0.8767	0.9789	0.9631	0.9707	0.9598	0.9901	0.9165	0.9087	0.6683
2	en	es	2	0.923	0.8346	0.8394	0.9195	0.9596	0.9802	0.976	0.8504	0.8778	0.9228	0.9207	0.9965	0.927	0.895	0.9723	0.9697	0.9755	0.9637	0.9926	0.9324	0.9231	0.7329
3	en	es	2	0.9258	0.8645	0.8516	0.9447	0.9699	0.9785	0.9723	0.8918	0.9102	0.9382	0.93	0.9959	0.9281	0.8942	0.9753	0.9792	0.9814	0.9669	0.9926	0.9483	0.9392	0.77
4	en	es	2	0.927	0.8778	0.8782	0.96	0.9679	0.9826	0.9802	0.9046	0.9231	0.9516	0.9422	0.9961	0.9287	0.8918	0.9825	0.9852	0.9835	0.9732	0.9926	0.9588	0.9433	0.7875
0	en	es	3	0.8956	0.4986	0.5321	0.7037	0.8749	0.8501	0.6667	0.5843	0.4901	0.5217	0.5232	0.9926	0.8618	0.3967	0.5551	0.7673	0.7933	0.8989	0.92	0.7307	0.7433	0.5192
1	en	es	3	0.9226	0.8402	0.8427	0.9078	0.9657	0.9712	0.9444	0.815	0.8122	0.8978	0.8925	0.9968	0.9272	0.8755	0.9658	0.9626	0.971	0.9589	0.9926	0.9133	0.9124	0.7042
2	en	es	3	0.9251	0.8468	0.851	0.9186	0.9626	0.9776	0.9758	0.8701	0.8894	0.9213	0.9191	0.9958	0.9311	0.9159	0.9702	0.9743	0.9774	0.9614	0.9926	0.932	0.9218	0.7033
3	en	es	3	0.9253	0.8635	0.8689	0.9391	0.9704	0.9777	0.9723	0.8959	0.912	0.9398	0.9319	0.9963	0.9309	0.8864	0.9756	0.9793	0.9807	0.966	0.9901	0.949	0.9372	0.7409
4	en	es	3	0.9332	0.8577	0.878	0.9591	0.9706	0.9817	0.9802	0.8951	0.9253	0.9484	0.9438	0.9956	0.9342	0.8837	0.9807	0.9839	0.9833	0.9727	0.9926	0.9572	0.944	0.784
