layer	source	target	run	adj_ARG1	app_ARG1	app_ARG2	aux_ARG1	aux_ARG2	comp_ARG1	comp_MOD	conj_ARG1	conj_ARG2	coord_ARG1	coord_ARG2	det_ARG1	noun_ARG1	poss_ARG1	poss_ARG2	prep_ARG1	prep_ARG2	punct_ARG1	relative_ARG1	verb_ARG1	verb_ARG2	verb_ARG3
0	en	fr	1	0.9002	0.4844	0.5429	0.6833	0.8863	0.8636	0.658	0.5323	0.5175	0.4923	0.5415	0.9921	0.8772	0.4532	0.5895	0.7626	0.7974	0.8929	0.9231	0.7452	0.7519	0.5598
1	en	fr	1	0.93	0.8438	0.8357	0.9293	0.9626	0.9732	0.9482	0.7461	0.6709	0.8711	0.8687	0.9964	0.9284	0.8374	0.965	0.9597	0.9609	0.9614	0.9826	0.9033	0.8901	0.6832
2	en	fr	1	0.928	0.8432	0.8594	0.9451	0.9636	0.9755	0.9766	0.8486	0.8735	0.9259	0.9266	0.9961	0.9278	0.8598	0.9716	0.9707	0.9737	0.9681	0.9851	0.9386	0.9238	0.7512
3	en	fr	1	0.9234	0.8553	0.8629	0.9487	0.9642	0.974	0.9683	0.866	0.8832	0.9348	0.9346	0.9965	0.9245	0.8787	0.9756	0.9742	0.9741	0.9697	0.9876	0.9411	0.9276	0.7304
4	en	fr	1	0.9265	0.881	0.8898	0.9517	0.9689	0.981	0.9721	0.8956	0.9083	0.9452	0.9492	0.9961	0.9322	0.893	0.9842	0.981	0.9821	0.9682	0.9901	0.9567	0.9428	0.7933
0	en	fr	2	0.8968	0.4928	0.5167	0.7006	0.8898	0.8597	0.6726	0.5815	0.5109	0.4933	0.5538	0.9921	0.8655	0.4348	0.5525	0.7546	0.7959	0.8958	0.9307	0.7288	0.7472	0.5523
1	en	fr	2	0.9267	0.835	0.8193	0.9291	0.9621	0.9709	0.9312	0.7405	0.6784	0.8649	0.8626	0.9958	0.9255	0.8342	0.9635	0.9563	0.9581	0.9594	0.9827	0.8986	0.8823	0.6765
2	en	fr	2	0.9249	0.8663	0.8697	0.9418	0.9613	0.9789	0.968	0.8484	0.8821	0.9298	0.9262	0.9953	0.9271	0.8625	0.9686	0.967	0.9723	0.9647	0.9802	0.934	0.9159	0.7268
3	en	fr	2	0.9274	0.8745	0.8554	0.9457	0.9706	0.9724	0.9609	0.8727	0.894	0.9381	0.9327	0.9958	0.9254	0.886	0.9808	0.9739	0.9768	0.9673	0.9876	0.9419	0.9307	0.7434
4	en	fr	2	0.93	0.875	0.8942	0.9538	0.9695	0.9842	0.9723	0.895	0.9068	0.9432	0.9492	0.9959	0.9303	0.885	0.9824	0.9831	0.9825	0.9743	0.99	0.9616	0.9464	0.8064
0	en	fr	3	0.8962	0.4749	0.54	0.6995	0.8884	0.8589	0.6849	0.5845	0.5345	0.455	0.5916	0.9922	0.8691	0.4134	0.5817	0.7603	0.7959	0.8932	0.9231	0.7317	0.7517	0.5341
1	en	fr	3	0.9243	0.8238	0.824	0.9346	0.9659	0.9756	0.9388	0.7347	0.6914	0.8589	0.8593	0.997	0.9227	0.8423	0.9594	0.9596	0.9636	0.9578	0.9826	0.9042	0.8875	0.6782
2	en	fr	3	0.9296	0.8611	0.8628	0.943	0.9637	0.9778	0.9644	0.8506	0.8716	0.9314	0.9195	0.9961	0.9297	0.8588	0.9721	0.9707	0.9742	0.9683	0.9877	0.9396	0.9225	0.7518
3	en	fr	3	0.9281	0.8664	0.8763	0.946	0.9664	0.9739	0.9606	0.8843	0.8898	0.9344	0.9337	0.9965	0.9297	0.8726	0.9756	0.9741	0.9755	0.9713	0.9851	0.9427	0.9311	0.7518
4	en	fr	3	0.9283	0.8893	0.8898	0.9512	0.9657	0.9818	0.9606	0.8935	0.9243	0.9493	0.9477	0.9965	0.9323	0.8835	0.9722	0.9822	0.9831	0.9701	0.9901	0.9575	0.944	0.8046
