layer	source	target	run	adj_ARG1	app_ARG1	app_ARG2	aux_ARG1	aux_ARG2	comp_ARG1	comp_MOD	conj_ARG1	conj_ARG2	coord_ARG1	coord_ARG2	det_ARG1	noun_ARG1	poss_ARG1	poss_ARG2	prep_ARG1	prep_ARG2	punct_ARG1	relative_ARG1	verb_ARG1	verb_ARG2	verb_ARG3
0	en	ru	1	0.8958	0.3064	0.5355	0.7028	0.8792	0.8625	0.6698	0.5847	0.5394	0.4827	0.5434	0.9917	0.8785	0.4014	0.5903	0.7602	0.7948	0.8744	0.9125	0.7322	0.7458	0.5115
1	en	ru	1	0.9092	0.824	0.834	0.9118	0.9527	0.9662	0.936	0.8064	0.8251	0.8689	0.8756	0.9954	0.9115	0.8561	0.965	0.9589	0.9666	0.9549	0.9852	0.9053	0.8877	0.6335
2	en	ru	1	0.9029	0.8228	0.8404	0.914	0.9495	0.9746	0.9603	0.8476	0.8902	0.9206	0.9303	0.9939	0.9063	0.8625	0.9583	0.9657	0.9689	0.9601	0.9927	0.9183	0.9022	0.6584
3	en	ru	1	0.9172	0.8589	0.8507	0.9393	0.9582	0.9706	0.9723	0.8901	0.914	0.9343	0.9346	0.9944	0.9204	0.8356	0.9771	0.9769	0.977	0.9674	0.9902	0.9418	0.921	0.7422
4	en	ru	1	0.9093	0.8934	0.878	0.9577	0.9591	0.9771	0.96	0.8935	0.9184	0.9478	0.9479	0.9939	0.9144	0.829	0.9754	0.9822	0.9798	0.971	0.9926	0.9504	0.9268	0.7202
0	en	ru	2	0.8961	0.4656	0.5545	0.6973	0.8809	0.8602	0.6854	0.5612	0.5325	0.4958	0.5378	0.9936	0.8685	0.4055	0.5646	0.7621	0.7972	0.8908	0.9275	0.728	0.7441	0.5291
1	en	ru	2	0.9097	0.8151	0.834	0.9145	0.9513	0.969	0.912	0.8	0.818	0.8746	0.8708	0.996	0.9127	0.8809	0.9614	0.9591	0.9659	0.9538	0.9827	0.9077	0.8916	0.665
2	en	ru	2	0.9038	0.8098	0.8446	0.9199	0.9491	0.9655	0.96	0.8499	0.8866	0.9198	0.9276	0.9936	0.9051	0.8599	0.9684	0.9678	0.9703	0.9615	0.9951	0.9218	0.8992	0.625
3	en	ru	2	0.9182	0.8577	0.875	0.9372	0.9564	0.9754	0.9647	0.8719	0.9158	0.9292	0.9347	0.9949	0.9223	0.8541	0.9772	0.9748	0.9767	0.9683	0.9877	0.9427	0.9213	0.7115
4	en	ru	2	0.9077	0.8862	0.8937	0.956	0.9597	0.9779	0.9641	0.8953	0.9106	0.9511	0.9516	0.9931	0.9116	0.8333	0.9807	0.9823	0.9783	0.9734	0.9951	0.9501	0.9242	0.7078
0	en	ru	3	0.8941	0.469	0.5251	0.699	0.8742	0.8535	0.6842	0.5287	0.5448	0.4509	0.5608	0.9929	0.8744	0.4113	0.5866	0.7594	0.7937	0.8939	0.9181	0.7316	0.7401	0.5319
1	en	ru	3	0.9077	0.8066	0.8151	0.9079	0.9443	0.9694	0.9339	0.8113	0.8223	0.8723	0.8754	0.9956	0.9115	0.8697	0.9565	0.959	0.9666	0.9548	0.9877	0.9048	0.8884	0.6651
2	en	ru	3	0.9038	0.8145	0.8436	0.9157	0.9523	0.9747	0.9606	0.8482	0.8866	0.9236	0.9273	0.9943	0.9091	0.8619	0.9614	0.968	0.9713	0.961	0.9902	0.9205	0.9013	0.6634
3	en	ru	3	0.9143	0.8611	0.8543	0.9363	0.9554	0.9755	0.9644	0.8816	0.9083	0.9313	0.9316	0.9946	0.9186	0.8577	0.9841	0.9752	0.9758	0.966	0.9877	0.9386	0.9198	0.7453
4	en	ru	3	0.9047	0.8835	0.895	0.9556	0.9592	0.9779	0.9639	0.8912	0.9224	0.9484	0.95	0.9929	0.9081	0.814	0.9703	0.9805	0.9793	0.9689	0.9926	0.9535	0.9296	0.7446
