layer	source	target	run	adj_ARG1	app_ARG1	app_ARG2	aux_ARG1	aux_ARG2	comp_ARG1	comp_MOD	conj_ARG1	conj_ARG2	coord_ARG1	coord_ARG2	det_ARG1	noun_ARG1	poss_ARG1	poss_ARG2	prep_ARG1	prep_ARG2	punct_ARG1	relative_ARG1	verb_ARG1	verb_ARG2	verb_ARG3
0	en	zh	1	0.8853	0.4799	0.522	0.6952	0.8871	0.8509	0.6228	0.5774	0.4777	0.5551	0.5	0.9919	0.8607	0.3697	0.5576	0.7599	0.787	0.8955	0.9224	0.7375	0.7472	0.5137
1	en	zh	1	0.908	0.8137	0.8217	0.9208	0.9539	0.9699	0.9603	0.8198	0.8252	0.8746	0.8764	0.9961	0.9091	0.8619	0.9579	0.958	0.967	0.9537	0.9876	0.9217	0.9073	0.6532
2	en	zh	1	0.8947	0.8224	0.8081	0.914	0.9534	0.9696	0.9639	0.8568	0.897	0.9225	0.9202	0.9929	0.9033	0.8618	0.972	0.9692	0.9727	0.9588	0.99	0.9286	0.9122	0.6781
3	en	zh	1	0.9111	0.8457	0.8507	0.9446	0.9635	0.9731	0.9639	0.8856	0.9087	0.9327	0.9348	0.9943	0.9145	0.8683	0.9689	0.9729	0.9731	0.9618	0.9827	0.9426	0.9256	0.733
4	en	zh	1	0.9079	0.8758	0.8831	0.9554	0.9627	0.9697	0.9721	0.9038	0.9036	0.9457	0.9378	0.9931	0.9109	0.8577	0.9737	0.9787	0.9755	0.9678	0.9901	0.9485	0.9301	0.7594
0	en	zh	2	0.896	0.4922	0.5352	0.7016	0.8863	0.8514	0.6567	0.5658	0.4646	0.4651	0.5812	0.9927	0.8705	0.404	0.602	0.7684	0.7952	0.9015	0.93	0.7367	0.7457	0.522
1	en	zh	2	0.907	0.7913	0.8263	0.9116	0.9534	0.9721	0.9524	0.8136	0.8392	0.8717	0.8783	0.9958	0.9114	0.8717	0.9559	0.9585	0.964	0.9561	0.9901	0.9142	0.8987	0.6551
2	en	zh	2	0.8986	0.8193	0.8031	0.9057	0.9532	0.9697	0.9728	0.8598	0.8916	0.9273	0.9187	0.9934	0.9025	0.8654	0.9686	0.9673	0.9722	0.9543	0.9802	0.9245	0.9111	0.6925
3	en	zh	2	0.9128	0.8566	0.86	0.9474	0.9668	0.9763	0.9723	0.874	0.9209	0.9385	0.93	0.9943	0.9134	0.8626	0.9686	0.9718	0.9729	0.9639	0.9802	0.9448	0.9264	0.7246
4	en	zh	2	0.9086	0.8765	0.8678	0.9605	0.9642	0.9722	0.9804	0.9007	0.9268	0.9483	0.9358	0.9931	0.9117	0.8402	0.9789	0.9799	0.9758	0.9713	0.9901	0.9472	0.9297	0.7553
0	en	zh	3	0.8965	0.4769	0.5161	0.6926	0.8863	0.8595	0.6637	0.5626	0.5086	0.5361	0.5326	0.9932	0.8754	0.4463	0.5892	0.7636	0.7964	0.8934	0.9204	0.7465	0.755	0.5208
1	en	zh	3	0.9041	0.8167	0.8096	0.9159	0.9562	0.9692	0.976	0.807	0.8214	0.8802	0.8699	0.9958	0.9044	0.8571	0.957	0.9577	0.9659	0.9559	0.9851	0.9144	0.899	0.6448
2	en	zh	3	0.8986	0.8023	0.8196	0.9104	0.9557	0.9667	0.9565	0.8476	0.8957	0.9222	0.9205	0.9938	0.9056	0.8525	0.965	0.967	0.973	0.9595	0.99	0.9264	0.9121	0.6324
3	en	zh	3	0.9087	0.8527	0.8588	0.94	0.9683	0.977	0.9636	0.8711	0.894	0.9348	0.932	0.9953	0.9116	0.8708	0.9722	0.972	0.9728	0.9622	0.9826	0.9405	0.9253	0.715
4	en	zh	3	0.9125	0.8785	0.8822	0.9527	0.967	0.9779	0.9762	0.8961	0.9098	0.9475	0.9342	0.9929	0.9166	0.8571	0.9841	0.9784	0.9754	0.9677	0.9902	0.9461	0.9291	0.7639
