layer	source	target	run	dist1	dist2	dist3	dist4	dist5	dist6-7	dist8-10	dist10-
0	en	ar	1	0.7836592353	0.7072649573	0.6165533786	0.5928066795	0.5519607843	0.5502431118	0.5447154472	0.5806451613
0	en	es	1	0.7847801719	0.7089268756	0.6089564174	0.5928066795	0.55	0.5275526742	0.5457317073	0.5743727599
0	en	fr	1	0.7826628472	0.7105887939	0.6169532187	0.6024405909	0.5480392157	0.5494327391	0.5528455285	0.5833333333
0	en	ru	1	0.7851538174	0.7039411206	0.6041583367	0.6043673732	0.5607843137	0.5470016207	0.531504065	0.5681003584
0	en	zh	1	0.7827873957	0.7015669516	0.6161535386	0.6030828516	0.5490196078	0.5429497569	0.5284552846	0.5707885305
0	en	en	1	0.7484120065	0.670702754	0.5617752899	0.5510597303	0.4911764706	0.4951377634	0.487804878	0.5134408602
1	en	ar	1	0.8302403786	0.8212250712	0.7381047581	0.6987797046	0.6578431373	0.6482982172	0.6554878049	0.6908602151
1	en	es	1	0.8299912816	0.8238366572	0.74970012	0.7174052665	0.6921568627	0.6677471637	0.6707317073	0.7051971326
1	en	fr	1	0.8306140242	0.8107787274	0.7389044382	0.7000642261	0.6470588235	0.6482982172	0.6412601626	0.6666666667
1	en	ru	1	0.8197783036	0.811965812	0.7397041184	0.7007064868	0.6754901961	0.6547811994	0.6646341463	0.6971326165
1	en	zh	1	0.8204010462	0.8100664767	0.7544982007	0.716120745	0.6754901961	0.6661264182	0.6829268293	0.7141577061
1	en	en	1	0.7881429817	0.7293447293	0.6281487405	0.5947334618	0.5362745098	0.5413290113	0.5172764228	0.5555555556
2	en	ar	1	0.8292439905	0.8290598291	0.7656937225	0.7289659602	0.7254901961	0.7009724473	0.7073170732	0.7410394265
2	en	es	1	0.8256320837	0.8269230769	0.7580967613	0.7283236994	0.6950980392	0.6717990276	0.700203252	0.7186379928
2	en	fr	1	0.8345995765	0.8262108262	0.756097561	0.7302504817	0.668627451	0.6766612642	0.6869918699	0.7105734767
2	en	ru	1	0.8147963632	0.8084045584	0.7528988405	0.7141939627	0.6921568627	0.6742301459	0.6554878049	0.7177419355
2	en	zh	1	0.8149209117	0.8148148148	0.7552978808	0.7315350032	0.6931372549	0.6904376013	0.7164634146	0.7437275986
2	en	en	1	0.7850292689	0.7374169041	0.6329468213	0.5953757225	0.5529411765	0.5380875203	0.531504065	0.5725806452
3	en	ar	1	0.833976834	0.8378442545	0.7836865254	0.7572254335	0.7166666667	0.7131280389	0.7083333333	0.7437275986
3	en	es	1	0.8336031884	0.834045584	0.7808876449	0.7456647399	0.7235294118	0.7098865478	0.7093495935	0.7455197133
3	en	fr	1	0.8334786399	0.8319088319	0.7604958017	0.7385998715	0.7117647059	0.6977309562	0.6981707317	0.7231182796
3	en	ru	1	0.828870345	0.8264482431	0.768492603	0.7495183044	0.7049019608	0.6977309562	0.6941056911	0.7338709677
3	en	zh	1	0.828372151	0.8335707502	0.7700919632	0.7604367373	0.718627451	0.7244732577	0.7388211382	0.7643369176
3	en	en	1	0.7663469922	0.7362298196	0.6361455418	0.5960179833	0.562745098	0.5559157212	0.5599593496	0.5913978495
4	en	ar	1	0.8394569685	0.8463912631	0.8036785286	0.7809890816	0.7450980392	0.7414910859	0.7357723577	0.7571684588
4	en	es	1	0.8410760991	0.841642925	0.793682527	0.777135517	0.7460784314	0.7358184765	0.7428861789	0.7580645161
4	en	fr	1	0.8405779051	0.8433048433	0.7968812475	0.7784200385	0.7549019608	0.7423014587	0.7459349594	0.7652329749
4	en	ru	1	0.8257566322	0.8281101614	0.7816873251	0.7668593449	0.7176470588	0.7066450567	0.6910569106	0.7338709677
4	en	zh	1	0.8276248599	0.8326210826	0.7912834866	0.7707129094	0.7235294118	0.7220421394	0.7225609756	0.7401433692
4	en	en	1	0.7766845186	0.7630579297	0.6893242703	0.6512524085	0.6	0.5948136143	0.5914634146	0.6245519713
0	en	ar	2	0.7827873957	0.7065527066	0.6057576969	0.6050096339	0.5666666667	0.5478119935	0.5548780488	0.582437276
0	en	es	2	0.786025657	0.7037037037	0.606557377	0.5947334618	0.5490196078	0.5364667747	0.531504065	0.5743727599
0	en	fr	2	0.7867729481	0.7041785375	0.6153538585	0.6056518947	0.5401960784	0.5348460292	0.543699187	0.5707885305
