layer	source	target	acc1	acc2	acc3
0	en	ar	68.57	68.60352508	68.75363161
0	en	es	68.39	68.29362774	68.37594422
0	en	fr	68.71	68.50668216	68.41952353
0	en	ru	68.4	68.67615727	68.46310285
0	en	zh	68.31	68.39047066	68.04667829
0	en	en	64.22	64.74433469	64.11001356
1	en	ar	77.21	77.387178	77.22738718
1	en	es	77.97	77.96823552	77.89076119
1	en	fr	76.78	76.49138098	76.11369359
1	en	ru	76.85	76.99496417	77.27580864
1	en	zh	77.38	77.52760023	77.29517722
1	en	en	68.96	68.56963006	68.78268449
2	en	ar	79.06	79.18361418	78.85434825
2	en	es	78.3	78.49602944	78.37981794
2	en	fr	78.42	78.19581639	78.10865776
2	en	ru	77.12	77.12570211	77.1353864
2	en	zh	77.94	77.75033895	77.4501259
2	en	en	69.29	69.31532055	69.31532055
3	en	ar	79.91	79.87604106	79.87604106
3	en	es	79.72	80.05035832	79.88088321
3	en	fr	79.07	79.42087933	79.12066628
3	en	ru	78.96	78.52508232	78.56381948
3	en	zh	79.79	79.69688166	79.54193298
3	en	en	68.97	68.86500097	68.78268449
4	en	ar	81.23	81.01394538	81.0478404
4	en	es	81.05	81.02847182	81.11563045
4	en	fr	81.25	80.69920589	80.73310091
4	en	ru	79.27	79.24171993	79.31435212
4	en	zh	79.88	80.09877978	79.8276196
4	en	en	71.73	71.3926012	71.47007554
