layer	source	target	acc1	acc2	acc3
0	en	ar	65.60623668	65.72729034	65.97908193
0	en	es	65.72729034	65.72729034	66.07592485
0	en	fr	65.649816	65.95971334	65.59655239
0	en	ru	65.8919233	65.50455162	65.92097618
0	en	zh	65.41255084	65.67402673	65.89676545
1	en	ar	71.88165795	71.77513074	72.01723804
1	en	es	71.95429014	72.06081735	72.10439667
1	en	fr	71.84776292853	72.16250242	71.86713151
1	en	ru	71.75576215	72.0656595	71.84776293
1	en	zh	71.81386791	71.64923494	72.00755375
2	en	ar	65.92581832	66.18245206	66.43424366
2	en	es	66.21634709	66.22118923	65.9548712
2	en	fr	66.11466202	66.05655627	66.54561302
2	en	ru	65.86771257	65.92097618	65.63044741
2	en	zh	65.63044741	65.77086965	65.74181677
3	en	ar	56.96784815	57.12763897	58.11543676
3	en	es	57.68932791	57.71353864	57.46658919
3	en	fr	57.43269417	57.19058687	57.15669185
3	en	ru	57.5828007	57.98469882	57.78132868
3	en	zh	57.59732714	57.92175092	57.42785202
4	en	ar	47.15281813	47.34166182	47.01239589
4	en	es	46.71702499	47.25934534	46.53302344
4	en	fr	46.42165408	46.98818516	46.5717606
4	en	ru	47.60313771	47.24966105	47.55471625
4	en	zh	46.86228937	47.09471238	46.28607399
