layer	source	target	run	ACMP	ACT-arg	ADDR-arg	ADVS.member	AIM	APP	APPS.member	BEN	COMPL	CONJ.member	DESCR	DIFF	DIR1	DISJ.member	EFF-arg	EXT	LOC	MANN	MAT	NE	PAT-arg	PREC	REG	RHEM	RSTR	THL	TWHEN
0	en	en	1	0	0.6671	0.3067	0.9339	0.2073	0.5707	0.8741	0	0.1296	0.9153	0.0621	0.6829	0.2581	0.7249	0.7705	0.6356	0.2869	0.3607	0.4566	0.733	0.5592	0.8832	0.2312	0.617	0.7442	0.3896	0.6545
1	en	en	1	0.0504	0.7555	0.305	0.9339	0.2889	0.6202	0.8833	0.06	0.2759	0.9211	0.3317	0.7349	0.2857	0.75	0.8187	0.6278	0.4168	0.32	0.4528	0.8085	0.6202	0.8872	0.2504	0.8192	0.779	0.3624	0.6396
2	en	en	1	0	0.7725	0.2888	0.9339	0.2515	0.6288	0.8922	0.0198	0.2883	0.9266	0.2703	0.75	0.2564	0.758	0.8163	0.6203	0.4048	0.2557	0.4753	0.7959	0.6279	0.9091	0.2365	0.8438	0.7708	0.3947	0.6556
3	en	en	1	0.032	0.8073	0.1619	0.9339	0.3208	0.601	0.888	0.0408	0.3193	0.9245	0.3886	0.7489	0.2585	0.7401	0.8007	0.5794	0.3896	0.1739	0.3981	0.7738	0.6481	0.9118	0.2246	0.784	0.7571	0.2687	0.5815
4	en	en	1	0.125	0.841	0.2714	0.9426	0.3611	0.6444	0.9028	0.3172	0.3622	0.9333	0.4561	0.7282	0.2338	0.7556	0.809	0.5679	0.531	0.1756	0.5069	0.8004	0.6906	0.8792	0.233	0.7557	0.773	0.3784	0.6214
0	en	en	2	0	0.6691	0.3045	0.9339	0.1635	0.5741	0.8745	0	0.1622	0.9148	0.1356	0.7324	0.2667	0.7014	0.7753	0.6305	0.3138	0.3644	0.4444	0.7407	0.5712	0.898	0.2426	0.6322	0.7513	0.3893	0.6438
1	en	en	2	0.0333	0.7489	0.2958	0.9339	0.2921	0.5951	0.8828	0.0392	0.339	0.9254	0.335	0.7636	0.2763	0.75	0.8222	0.622	0.4191	0.3265	0.484	0.7949	0.6151	0.9114	0.2367	0.8253	0.7725	0.375	0.6353
2	en	en	2	0.0333	0.776	0.2308	0.9383	0.2989	0.6275	0.8894	0.04	0.2807	0.9284	0.3333	0.758	0.28	0.7556	0.8178	0.6248	0.4107	0.2557	0.4906	0.7939	0.631	0.9215	0.2456	0.8136	0.7687	0.3841	0.6431
3	en	en	2	0.0328	0.8058	0.1481	0.9344	0.2981	0.5966	0.8827	0.0606	0.3259	0.9253	0.4055	0.7339	0.2857	0.7373	0.7856	0.592	0.3887	0.1809	0.3711	0.7702	0.6467	0.9246	0.2218	0.7653	0.7577	0.3056	0.5926
4	en	en	2	0.1494	0.8311	0.3094	0.935	0.3188	0.6382	0.8913	0.3286	0.3566	0.9335	0.4615	0.7706	0.3067	0.7265	0.8072	0.5587	0.5363	0.201	0.4762	0.788	0.6875	0.8939	0.2289	0.7748	0.7692	0.2979	0.6143
0	en	en	3	0	0.6613	0.2284	0.9339	0.1646	0.5629	0.8661	0	0.1947	0.915	0.1333	0.7009	0.2585	0.7265	0.7751	0.6165	0.2991	0.3613	0.4502	0.7401	0.5604	0.8962	0.2521	0.632	0.7428	0.4129	0.6459
1	en	en	3	0.0339	0.7482	0.311	0.9339	0.2889	0.6262	0.8898	0.0971	0.3361	0.9265	0.3125	0.7807	0.2632	0.7397	0.8145	0.6303	0.4205	0.3172	0.434	0.7922	0.6199	0.899	0.2597	0.8089	0.7741	0.3973	0.6422
2	en	en	3	0.0169	0.7735	0.2344	0.9262	0.2644	0.6231	0.892	0.04	0.2807	0.9304	0.3618	0.7798	0.271	0.7421	0.8058	0.6282	0.3974	0.2969	0.466	0.7959	0.6307	0.9169	0.2296	0.8313	0.7699	0.3758	0.655
3	en	en	3	0.0472	0.8071	0.2308	0.93	0.266	0.5998	0.8883	0.0404	0.3387	0.9304	0.3216	0.7299	0.2819	0.7424	0.7934	0.5872	0.3732	0.1458	0.3964	0.7651	0.648	0.9127	0.2242	0.7802	0.753	0.2836	0.5753
4	en	en	3	0.12	0.8368	0.2971	0.9388	0.3582	0.6501	0.887	0.3444	0.3939	0.9313	0.4414	0.7339	0.2963	0.7411	0.7982	0.5841	0.538	0.2162	0.4785	0.7844	0.6865	0.9027	0.2211	0.7586	0.7725	0.338	0.6254
