layer	source	target	run	ACMP	ACT-arg	ADDR-arg	ADVS.member	AIM	APP	APPS.member	BEN	COMPL	CONJ.member	DESCR	DIFF	DIR1	DISJ.member	EFF-arg	EXT	LOC	MANN	MAT	NE	PAT-arg	PREC	REG	RHEM	RSTR	THL	TWHEN
0	en	es	1	0.0328	0.7196	0.3467	0.9339	0.3125	0.6156	0.8768	0.0588	0.2992	0.9137	0.1856	0.7349	0.271	0.7265	0.8315	0.6657	0.3516	0.4354	0.4898	0.7898	0.6314	0.8976	0.2917	0.6481	0.7816	0.4634	0.676
1	en	es	1	0.3106	0.8955	0.5876	0.9344	0.4887	0.6746	0.8934	0.3046	0.5906	0.9333	0.5175	0.8089	0.3681	0.723	0.8643	0.6813	0.5719	0.4691	0.6066	0.8595	0.7823	0.9216	0.3148	0.8598	0.8284	0.3974	0.7314
2	en	es	1	0.3977	0.9068	0.5581	0.9344	0.4885	0.6628	0.9102	0.3636	0.6038	0.9319	0.5422	0.7857	0.3977	0.7534	0.8337	0.6754	0.6027	0.4548	0.5691	0.8513	0.7865	0.9249	0.3077	0.8585	0.8305	0.4099	0.734
3	en	es	1	0.4316	0.9215	0.6022	0.9435	0.5837	0.6885	0.9151	0.3815	0.6829	0.9412	0.5485	0.7679	0.4492	0.7602	0.8745	0.6947	0.6355	0.4984	0.5785	0.8618	0.8139	0.9193	0.3338	0.8658	0.8341	0.4294	0.7457
4	en	es	1	0.45	0.9273	0.6496	0.9482	0.5726	0.7177	0.9186	0.5281	0.6897	0.9418	0.5946	0.8417	0.4631	0.7364	0.881	0.7077	0.6781	0.5063	0.6098	0.8699	0.8356	0.9216	0.377	0.8703	0.8447	0.4459	0.7521
0	en	es	2	0.0168	0.7209	0.3607	0.9339	0.2963	0.5983	0.8809	0.0204	0.3546	0.9171	0.2234	0.7692	0.2733	0.7265	0.8229	0.6695	0.3379	0.4775	0.5064	0.7773	0.6237	0.9031	0.2565	0.6345	0.7833	0.411	0.6626
1	en	es	2	0.3314	0.895	0.5506	0.9388	0.5158	0.6652	0.9037	0.3185	0.5488	0.9344	0.5607	0.8142	0.4068	0.7465	0.8689	0.6771	0.5797	0.4571	0.5778	0.8543	0.7815	0.9117	0.3333	0.8677	0.8288	0.3742	0.7245
2	en	es	2	0.3864	0.9097	0.5559	0.9344	0.5299	0.6779	0.9123	0.3333	0.6951	0.9312	0.5286	0.7983	0.4153	0.758	0.8482	0.6725	0.5973	0.5245	0.5798	0.8557	0.7888	0.9197	0.3134	0.8724	0.8261	0.3896	0.7302
3	en	es	2	0.3933	0.9187	0.6016	0.9474	0.5495	0.6893	0.9136	0.4142	0.6786	0.9403	0.6032	0.8151	0.4222	0.7532	0.8834	0.699	0.6477	0.5387	0.568	0.8701	0.8175	0.9231	0.3628	0.8622	0.8398	0.3975	0.7411
4	en	es	2	0.4444	0.9296	0.6632	0.9482	0.5388	0.7173	0.9204	0.5348	0.6286	0.9443	0.5873	0.839	0.4468	0.7378	0.8742	0.7039	0.6857	0.509	0.6276	0.8671	0.8391	0.9291	0.3744	0.8707	0.8395	0.4026	0.7534
0	en	es	3	0.0167	0.7209	0.3473	0.9339	0.3246	0.615	0.8756	0.0385	0.3309	0.9165	0.2388	0.6887	0.2875	0.7296	0.8167	0.6676	0.3404	0.4452	0.5169	0.7814	0.6288	0.9015	0.2539	0.6272	0.7822	0.4238	0.6709
1	en	es	3	0.3273	0.8925	0.5333	0.9388	0.5046	0.6685	0.9073	0.3129	0.5949	0.9346	0.4883	0.7838	0.3842	0.7534	0.8626	0.6819	0.5732	0.4537	0.5714	0.8624	0.7847	0.9333	0.3094	0.8734	0.8243	0.3949	0.722
2	en	es	3	0.3026	0.9064	0.5723	0.9344	0.5066	0.6775	0.9065	0.3289	0.6748	0.9309	0.5678	0.8103	0.4	0.729	0.8513	0.7039	0.6115	0.4747	0.583	0.846	0.7841	0.9223	0.3186	0.8658	0.8289	0.4	0.7329
3	en	es	3	0.4045	0.919	0.612	0.9435	0.5561	0.6879	0.9146	0.3494	0.6707	0.9363	0.5478	0.812	0.4157	0.7568	0.8839	0.7084	0.636	0.5192	0.5774	0.8636	0.8175	0.931	0.3354	0.874	0.8382	0.4099	0.7358
4	en	es	3	0.4646	0.9311	0.6545	0.952	0.5551	0.7237	0.9198	0.5538	0.6584	0.9429	0.5781	0.834	0.4949	0.7387	0.8816	0.7001	0.685	0.4734	0.6154	0.8686	0.838	0.9268	0.3318	0.8795	0.8437	0.4052	0.7531
