layer	source	target	run	ACMP	ACT-arg	ADDR-arg	ADVS.member	AIM	APP	APPS.member	BEN	COMPL	CONJ.member	DESCR	DIFF	DIR1	DISJ.member	EFF-arg	EXT	LOC	MANN	MAT	NE	PAT-arg	PREC	REG	RHEM	RSTR	THL	TWHEN
0	en	fr	1	0	0.7282	0.36	0.9339	0.342	0.6128	0.8804	0.0202	0.3259	0.9137	0.3077	0.7759	0.2911	0.7225	0.8339	0.6704	0.3581	0.4403	0.5101	0.7735	0.6394	0.8922	0.2834	0.6189	0.7851	0.4224	0.671
1	en	fr	1	0.2483	0.8678	0.5407	0.9312	0.4589	0.6828	0.9141	0.3714	0.5235	0.9351	0.5462	0.795	0.3165	0.7644	0.8659	0.6896	0.5317	0.4233	0.605	0.8503	0.7565	0.9231	0.3446	0.8598	0.8298	0.4177	0.7157
2	en	fr	1	0.271	0.9034	0.5779	0.9398	0.5022	0.6743	0.9126	0.3256	0.549	0.9347	0.563	0.8194	0.3669	0.7556	0.878	0.6845	0.5824	0.4568	0.6033	0.8555	0.788	0.9154	0.3529	0.8477	0.8332	0.4258	0.722
3	en	fr	1	0.3415	0.9109	0.6453	0.9435	0.5388	0.6916	0.9128	0.4	0.5625	0.9394	0.5088	0.8326	0.4022	0.7237	0.8705	0.6874	0.6195	0.4777	0.6056	0.8491	0.8034	0.9242	0.3287	0.8633	0.8322	0.4311	0.7336
4	en	fr	1	0.5517	0.93	0.6684	0.9393	0.5678	0.7153	0.9138	0.5654	0.6628	0.9423	0.5726	0.8426	0.492	0.7436	0.8765	0.6891	0.7014	0.5065	0.6073	0.8611	0.8388	0.9307	0.3667	0.8429	0.8416	0.4606	0.7659
0	en	fr	2	0.0323	0.7294	0.3636	0.9339	0.3415	0.5921	0.8742	0.0206	0.3111	0.9129	0.2439	0.7713	0.2875	0.7265	0.8248	0.6503	0.3386	0.4306	0.5242	0.7731	0.6408	0.8988	0.2979	0.6538	0.7751	0.3733	0.6715
1	en	fr	2	0.1642	0.8677	0.5438	0.935	0.4673	0.6873	0.9102	0.3308	0.4748	0.9394	0.531	0.8034	0.3176	0.7511	0.8749	0.6847	0.5225	0.4272	0.5984	0.8488	0.7539	0.92	0.2726	0.8477	0.8239	0.3871	0.703
2	en	fr	2	0.2466	0.9056	0.6137	0.9388	0.5	0.6797	0.9105	0.3974	0.5513	0.9358	0.4793	0.8174	0.314	0.7431	0.8746	0.6921	0.5506	0.4473	0.6008	0.8503	0.7941	0.9109	0.3299	0.865	0.828	0.3867	0.703
3	en	fr	2	0.3375	0.9143	0.6842	0.9398	0.5128	0.6937	0.9117	0.4146	0.5912	0.94	0.5506	0.8347	0.3911	0.7446	0.873	0.6939	0.622	0.4771	0.5926	0.858	0.8145	0.9246	0.3489	0.8711	0.8327	0.4809	0.7318
4	en	fr	2	0.4541	0.9304	0.6453	0.9431	0.5202	0.7195	0.9099	0.5625	0.6386	0.9406	0.5892	0.8412	0.4835	0.7468	0.8644	0.6723	0.6554	0.4795	0.6245	0.8525	0.8326	0.9284	0.3795	0.854	0.8374	0.4524	0.756
0	en	fr	3	0	0.7224	0.4046	0.9339	0.2979	0.6056	0.8755	0.0392	0.3088	0.917	0.1685	0.7652	0.2857	0.7296	0.8293	0.6572	0.3252	0.4255	0.5388	0.7699	0.6353	0.895	0.2918	0.6538	0.7761	0.4217	0.6803
1	en	fr	3	0.2029	0.8617	0.5212	0.935	0.4413	0.6701	0.8999	0.2121	0.5478	0.9333	0.5273	0.8376	0.2911	0.7387	0.8688	0.6965	0.5278	0.4505	0.5911	0.8551	0.7457	0.933	0.2923	0.8354	0.8215	0.4545	0.7014
2	en	fr	3	0.2055	0.9063	0.6056	0.9306	0.5662	0.6847	0.9048	0.3111	0.5503	0.9352	0.4978	0.8158	0.3125	0.7434	0.8708	0.6872	0.5622	0.4295	0.5975	0.8515	0.7865	0.9095	0.3411	0.8617	0.8268	0.4	0.7039
3	en	fr	3	0.3333	0.9103	0.6257	0.9431	0.5116	0.7062	0.9198	0.3733	0.5823	0.9427	0.5148	0.7873	0.3978	0.7589	0.8712	0.6871	0.6053	0.4667	0.5984	0.8616	0.8066	0.9073	0.316	0.8541	0.8291	0.4417	0.7445
4	en	fr	3	0.4632	0.9304	0.6594	0.936	0.5108	0.7234	0.9052	0.53	0.6145	0.9382	0.6024	0.8412	0.4889	0.7446	0.8855	0.6833	0.6626	0.5017	0.6311	0.8508	0.8332	0.9265	0.3562	0.8475	0.8391	0.4375	0.7546
