layer	source	target	run	ACMP	ACT-arg	ADDR-arg	ADVS.member	AIM	APP	APPS.member	BEN	COMPL	CONJ.member	DESCR	DIFF	DIR1	DISJ.member	EFF-arg	EXT	LOC	MANN	MAT	NE	PAT-arg	PREC	REG	RHEM	RSTR	THL	TWHEN
0	en	ru	1	0	0.7205	0.3576	0.9339	0.335	0.5857	0.8749	0.0202	0.3111	0.9157	0.2488	0.7511	0.2822	0.7336	0.8287	0.6676	0.3321	0.4234	0.4937	0.7772	0.6353	0.9132	0.2784	0.6477	0.7809	0.3624	0.6817
1	en	ru	1	0.3457	0.8841	0.5	0.9474	0.513	0.664	0.9049	0.3497	0.55	0.9333	0.5565	0.8069	0.3275	0.7644	0.8453	0.6723	0.5766	0.4396	0.582	0.835	0.7681	0.9181	0.3186	0.8344	0.8143	0.3816	0.7132
2	en	ru	1	0.3452	0.9025	0.5181	0.9344	0.4818	0.6571	0.8967	0.2759	0.525	0.9292	0.5485	0.7568	0.3787	0.6986	0.8443	0.6638	0.5675	0.4422	0.556	0.8233	0.7795	0.9051	0.3409	0.8512	0.8161	0.3684	0.715
3	en	ru	1	0.4706	0.9161	0.605	0.9482	0.5455	0.686	0.9205	0.3602	0.5185	0.9419	0.544	0.8178	0.382	0.758	0.8461	0.6997	0.6256	0.4654	0.547	0.8476	0.805	0.931	0.3535	0.8535	0.8298	0.3841	0.7314
4	en	ru	1	0.4554	0.9203	0.6278	0.9524	0.5633	0.7088	0.9156	0.5311	0.5	0.9426	0.5817	0.825	0.492	0.7446	0.842	0.6695	0.6494	0.4904	0.5862	0.8461	0.8142	0.9077	0.3517	0.8185	0.831	0.3425	0.7096
0	en	ru	2	0.0492	0.7262	0.3595	0.9339	0.3229	0.6135	0.8712	0.02	0.3594	0.9168	0.1667	0.7845	0.2857	0.7296	0.8286	0.6588	0.3349	0.4642	0.5124	0.7697	0.6353	0.8995	0.2965	0.6434	0.7852	0.3611	0.6741
1	en	ru	2	0.2968	0.8843	0.5322	0.9306	0.5138	0.6546	0.9027	0.3758	0.5828	0.9327	0.5737	0.8089	0.3351	0.7679	0.8397	0.6753	0.5792	0.4416	0.5761	0.8389	0.7646	0.9165	0.3183	0.8549	0.818	0.4364	0.7332
2	en	ru	2	0.3415	0.8993	0.4908	0.9306	0.5023	0.6513	0.9034	0.2973	0.5359	0.9295	0.5362	0.7733	0.3152	0.7411	0.8527	0.6571	0.5717	0.4415	0.5574	0.8198	0.7786	0.9291	0.3149	0.8375	0.8159	0.4051	0.7194
3	en	ru	2	0.3871	0.912	0.6366	0.9478	0.5316	0.6844	0.9112	0.3896	0.5065	0.9405	0.524	0.8158	0.381	0.7478	0.8616	0.6762	0.6195	0.4518	0.5783	0.8463	0.7971	0.938	0.3377	0.8466	0.8263	0.3947	0.7186
4	en	ru	2	0.4929	0.9163	0.629	0.9603	0.5403	0.7061	0.9127	0.4852	0.4557	0.9433	0.5863	0.8245	0.4624	0.7522	0.8423	0.6768	0.6439	0.4698	0.5868	0.852	0.8163	0.9082	0.3549	0.8224	0.8325	0.3636	0.7145
0	en	ru	3	0.0168	0.7238	0.4128	0.9339	0.3617	0.5943	0.8805	0.0198	0.3407	0.9165	0.1935	0.7387	0.2927	0.7336	0.8233	0.6657	0.3441	0.4307	0.504	0.7762	0.6334	0.9037	0.3055	0.6563	0.7791	0.4294	0.668
1	en	ru	3	0.3671	0.8869	0.509	0.9516	0.5439	0.6473	0.9184	0.3688	0.5949	0.9372	0.5668	0.817	0.3006	0.7748	0.8478	0.6847	0.5796	0.4589	0.6066	0.8339	0.7759	0.9153	0.3065	0.85	0.8125	0.4204	0.7247
2	en	ru	3	0.321	0.904	0.523	0.9393	0.513	0.6444	0.901	0.2857	0.5697	0.9313	0.5214	0.7965	0.3522	0.7288	0.8471	0.6457	0.5855	0.4686	0.5771	0.8248	0.7788	0.9034	0.3254	0.8346	0.8157	0.3846	0.7181
3	en	ru	3	0.3765	0.9103	0.6077	0.952	0.5066	0.6776	0.9169	0.4186	0.5032	0.9403	0.5455	0.8106	0.3657	0.7602	0.8538	0.6844	0.6254	0.4268	0.5702	0.843	0.794	0.93	0.3655	0.8452	0.8291	0.3889	0.7313
4	en	ru	3	0.4649	0.9205	0.6305	0.952	0.5328	0.7085	0.9185	0.4606	0.4878	0.9422	0.6275	0.843	0.4792	0.7289	0.8562	0.6527	0.6361	0.4625	0.5787	0.8426	0.8177	0.9069	0.3693	0.8213	0.8321	0.4485	0.7146
