layer	source	target	run	ACMP	ACT-arg	ADDR-arg	ADVS.member	AIM	APP	APPS.member	BEN	COMPL	CONJ.member	DESCR	DIFF	DIR1	DISJ.member	EFF-arg	EXT	LOC	MANN	MAT	NE	PAT-arg	PREC	REG	RHEM	RSTR	THL	TWHEN
0	en	zh	1	0	0.7193	0.3484	0.9339	0.3687	0.5955	0.8711	0	0.3824	0.9145	0.2775	0.7342	0.2857	0.7296	0.8347	0.6713	0.35	0.4375	0.5083	0.7793	0.6366	0.9055	0.272	0.6585	0.7755	0.3922	0.6644
1	en	zh	1	0.381	0.8908	0.5831	0.9435	0.5394	0.635	0.9091	0.2537	0.5733	0.9323	0.5665	0.8052	0.3415	0.7478	0.8475	0.6569	0.5941	0.457	0.5738	0.8334	0.7806	0.934	0.3142	0.8644	0.8149	0.3949	0.7167
2	en	zh	1	0.4153	0.9081	0.5763	0.9344	0.5086	0.6628	0.8967	0.3205	0.5455	0.9272	0.5944	0.7733	0.3931	0.7511	0.8604	0.6381	0.6074	0.4013	0.5738	0.8046	0.7969	0.9257	0.3485	0.846	0.8189	0.3333	0.7235
3	en	zh	1	0.4278	0.9186	0.6597	0.944	0.5485	0.6988	0.9173	0.4321	0.6289	0.9396	0.5556	0.8426	0.3911	0.7522	0.8864	0.68	0.6481	0.4686	0.6178	0.8405	0.8201	0.928	0.3428	0.8622	0.8296	0.4099	0.7386
4	en	zh	1	0.5174	0.9187	0.658	0.96	0.5089	0.7193	0.9099	0.5412	0.5101	0.942	0.5968	0.8477	0.4757	0.7378	0.8697	0.6648	0.6667	0.5405	0.5892	0.8409	0.8254	0.9235	0.3661	0.8476	0.8308	0.3758	0.728
0	en	zh	2	0.0169	0.7215	0.4061	0.9339	0.2857	0.5894	0.8733	0.0404	0.3714	0.917	0.264	0.7876	0.2767	0.7336	0.824	0.6657	0.3281	0.438	0.4876	0.7753	0.6381	0.879	0.2927	0.6296	0.7803	0.4	0.6766
1	en	zh	2	0.3253	0.8965	0.5031	0.9344	0.5362	0.6629	0.9003	0.3057	0.5556	0.9272	0.5787	0.8103	0.3977	0.7349	0.8448	0.6761	0.5892	0.4728	0.6076	0.8325	0.7783	0.9249	0.3047	0.8494	0.8197	0.3742	0.7323
2	en	zh	2	0.4046	0.91	0.5714	0.935	0.4909	0.6605	0.8962	0.2953	0.5786	0.9287	0.5633	0.7911	0.3842	0.7368	0.8536	0.6582	0.6067	0.4169	0.5812	0.8131	0.792	0.9377	0.2963	0.8668	0.8155	0.3309	0.7278
3	en	zh	2	0.4569	0.9209	0.6216	0.9486	0.5048	0.6881	0.9219	0.4337	0.6341	0.9433	0.5944	0.8376	0.3333	0.7544	0.8929	0.663	0.6403	0.4875	0.5763	0.8448	0.8178	0.9158	0.3233	0.8621	0.831	0.3947	0.7335
4	en	zh	2	0.4519	0.9163	0.6805	0.9603	0.5613	0.7197	0.9114	0.5775	0.5298	0.9442	0.6353	0.8291	0.427	0.7213	0.8688	0.6545	0.6795	0.5078	0.6033	0.8487	0.835	0.9109	0.3466	0.8521	0.8308	0.4177	0.7199
0	en	zh	3	0	0.7201	0.3824	0.9339	0.2995	0.5832	0.8745	0.0396	0.3478	0.9168	0.2304	0.7522	0.2788	0.7296	0.8242	0.6667	0.3224	0.4453	0.4978	0.7703	0.6316	0.8972	0.2653	0.6381	0.7774	0.3804	0.6639
1	en	zh	3	0.3735	0.896	0.5863	0.9388	0.5502	0.6481	0.9059	0.2781	0.5578	0.9331	0.5446	0.7523	0.3957	0.7589	0.8571	0.6805	0.5747	0.4752	0.5815	0.817	0.7795	0.9091	0.2764	0.8644	0.8152	0.3553	0.7248
2	en	zh	3	0.3515	0.9031	0.5378	0.9388	0.5022	0.6659	0.9041	0.2657	0.5175	0.9308	0.5656	0.8087	0.3488	0.7249	0.8534	0.6522	0.6016	0.4345	0.562	0.8116	0.785	0.93	0.2819	0.8429	0.8124	0.3521	0.7227
3	en	zh	3	0.4086	0.9162	0.6436	0.952	0.5485	0.6986	0.9136	0.4551	0.6329	0.9401	0.521	0.8348	0.3886	0.7359	0.8825	0.6685	0.6582	0.4583	0.6	0.8389	0.8165	0.9154	0.3195	0.8607	0.827	0.4129	0.7395
4	en	zh	3	0.4868	0.9196	0.6632	0.9603	0.5362	0.7132	0.9083	0.5333	0.5563	0.9399	0.5868	0.8319	0.4318	0.7345	0.8729	0.6638	0.6551	0.5174	0.5794	0.8521	0.8311	0.9104	0.3048	0.8392	0.8294	0.3919	0.724
