layer	source	target	run	ACMP	ACT-arg	ADDR-arg	ADVS.member	AIM	APP	APPS.member	BEN	COMPL	CONJ.member	DESCR	DIFF	DIR1	DISJ.member	EFF-arg	EXT	LOC	MANN	MAT	NE	PAT-arg	PREC	REG	RHEM	RSTR	THL	TWHEN
0	en	ar	1	0.0339	0.7269	0.3061	0.9339	0.3415	0.5906	0.8737	0.04	0.3916	0.9182	0.2021	0.7873	0.2822	0.7265	0.8283	0.6628	0.3274	0.4599	0.4937	0.7753	0.6354	0.901	0.2908	0.6397	0.7831	0.3699	0.673
1	en	ar	1	0.1905	0.8796	0.5321	0.9398	0.5068	0.6685	0.9061	0.3741	0.5034	0.9363	0.5614	0.824	0.3468	0.7467	0.8654	0.6899	0.5674	0.4875	0.5726	0.8386	0.7664	0.9122	0.3138	0.8622	0.8268	0.4076	0.7236
2	en	ar	1	0.4278	0.9164	0.565	0.9469	0.5526	0.6639	0.9094	0.3221	0.6194	0.9332	0.5968	0.7692	0.3911	0.7511	0.879	0.6808	0.6115	0.4753	0.6284	0.8452	0.8028	0.9314	0.3528	0.8835	0.8334	0.474	0.7393
3	en	ar	1	0.4308	0.9217	0.6378	0.9555	0.5867	0.6903	0.914	0.3766	0.6135	0.9373	0.608	0.7807	0.4545	0.7489	0.8853	0.7013	0.6419	0.5292	0.6154	0.8422	0.818	0.9257	0.3312	0.8738	0.8332	0.4364	0.7493
4	en	ar	1	0.5	0.9313	0.6821	0.9482	0.5948	0.7137	0.9133	0.4783	0.6541	0.9439	0.561	0.8403	0.4817	0.7434	0.8832	0.6971	0.6988	0.5296	0.6091	0.86	0.8407	0.9275	0.3601	0.8836	0.8409	0.4471	0.7539
0	en	ar	2	0	0.7336	0.3839	0.9339	0.3168	0.5965	0.8706	0.0202	0.3259	0.863	0.1711	0.7156	0.271	0.7168	0.8261	0.6573	0.3451	0.4897	0.5506	0.7895	0.6426	0.8983	0.2777	0.6563	0.7847	0.3724	0.6785
1	en	ar	2	0.24	0.8787	0.5439	0.9431	0.5478	0.671	0.9043	0.3758	0.5	0.9351	0.5726	0.8439	0.3771	0.7401	0.8686	0.6959	0.5651	0.4486	0.5798	0.8476	0.7646	0.9204	0.3401	0.8633	0.8303	0.4417	0.7232
2	en	ar	2	0.4302	0.9167	0.5956	0.9355	0.5798	0.6722	0.9142	0.3467	0.5802	0.9356	0.5633	0.7965	0.3771	0.7522	0.8607	0.6811	0.6061	0.522	0.5992	0.8435	0.8028	0.9323	0.3611	0.8666	0.833	0.4051	0.7502
3	en	ar	2	0.4157	0.9188	0.6391	0.9714	0.5472	0.694	0.9141	0.4371	0.5952	0.9391	0.5617	0.7946	0.4783	0.7446	0.868	0.6953	0.6382	0.535	0.6218	0.8525	0.8168	0.9235	0.3404	0.859	0.8336	0.4859	0.7481
4	en	ar	2	0.4929	0.9282	0.6837	0.9478	0.5541	0.6974	0.9194	0.5543	0.6369	0.9434	0.5432	0.8255	0.4382	0.7577	0.8859	0.707	0.6933	0.5183	0.6077	0.8565	0.8399	0.9298	0.3612	0.8782	0.839	0.3974	0.7534
0	en	ar	3	0.0171	0.7299	0.4244	0.9339	0.2915	0.602	0.8785	0.0202	0.3333	0.9178	0.3217	0.7619	0.3	0.7336	0.821	0.6714	0.3642	0.4842	0.5412	0.7774	0.6319	0.901	0.3128	0.6462	0.7873	0.4311	0.671
1	en	ar	3	0.1699	0.8837	0.5758	0.9398	0.5413	0.6678	0.9075	0.2754	0.4526	0.9343	0.5478	0.7841	0.3273	0.7455	0.8727	0.6896	0.5659	0.4631	0.6016	0.8417	0.7678	0.9109	0.3217	0.8545	0.8241	0.3951	0.7234
2	en	ar	3	0.3864	0.9179	0.5971	0.9312	0.5868	0.6643	0.9151	0.3333	0.5638	0.932	0.5281	0.7339	0.4088	0.7354	0.8633	0.6801	0.6049	0.4825	0.5932	0.8369	0.8053	0.9327	0.3231	0.8736	0.8275	0.4444	0.7308
3	en	ar	3	0.3509	0.9197	0.6364	0.9672	0.5575	0.7045	0.9188	0.4348	0.6296	0.9423	0.5378	0.7615	0.4868	0.7477	0.8914	0.7064	0.6433	0.4938	0.6098	0.847	0.8189	0.9373	0.3385	0.8728	0.8303	0.4331	0.7438
4	en	ar	3	0.4933	0.9297	0.7041	0.9444	0.557	0.7004	0.9206	0.5567	0.6258	0.9461	0.6061	0.821	0.492	0.7387	0.8838	0.7041	0.6728	0.529	0.582	0.8501	0.8399	0.9104	0.3683	0.869	0.8403	0.4151	0.7517
0	en	en	1	0	0.6671	0.3067	0.9339	0.2073	0.5707	0.8741	0	0.1296	0.9153	0.0621	0.6829	0.2581	0.7249	0.7705	0.6356	0.2869	0.3607	0.4566	0.733	0.5592	0.8832	0.2312	0.617	0.7442	0.3896	0.6545
1	en	en	1	0.0504	0.7555	0.305	0.9339	0.2889	0.6202	0.8833	0.06	0.2759	0.9211	0.3317	0.7349	0.2857	0.75	0.8187	0.6278	0.4168	0.32	0.4528	0.8085	0.6202	0.8872	0.2504	0.8192	0.779	0.3624	0.6396
2	en	en	1	0	0.7725	0.2888	0.9339	0.2515	0.6288	0.8922	0.0198	0.2883	0.9266	0.2703	0.75	0.2564	0.758	0.8163	0.6203	0.4048	0.2557	0.4753	0.7959	0.6279	0.9091	0.2365	0.8438	0.7708	0.3947	0.6556
3	en	en	1	0.032	0.8073	0.1619	0.9339	0.3208	0.601	0.888	0.0408	0.3193	0.9245	0.3886	0.7489	0.2585	0.7401	0.8007	0.5794	0.3896	0.1739	0.3981	0.7738	0.6481	0.9118	0.2246	0.784	0.7571	0.2687	0.5815
4	en	en	1	0.125	0.841	0.2714	0.9426	0.3611	0.6444	0.9028	0.3172	0.3622	0.9333	0.4561	0.7282	0.2338	0.7556	0.809	0.5679	0.531	0.1756	0.5069	0.8004	0.6906	0.8792	0.233	0.7557	0.773	0.3784	0.6214
0	en	en	2	0	0.6691	0.3045	0.9339	0.1635	0.5741	0.8745	0	0.1622	0.9148	0.1356	0.7324	0.2667	0.7014	0.7753	0.6305	0.3138	0.3644	0.4444	0.7407	0.5712	0.898	0.2426	0.6322	0.7513	0.3893	0.6438
1	en	en	2	0.0333	0.7489	0.2958	0.9339	0.2921	0.5951	0.8828	0.0392	0.339	0.9254	0.335	0.7636	0.2763	0.75	0.8222	0.622	0.4191	0.3265	0.484	0.7949	0.6151	0.9114	0.2367	0.8253	0.7725	0.375	0.6353
