layer	source	target	run	ARG1	ARG2	ARG3	BV	_and_c	_or_c	appos	compound	conj	loc	mwe	neg	poss	subord	times
2	en	ar	1	0.0244	0.0338	-0.0011	-0.0022	0.1038	0.0406	0.0807	0.0012	0.1735	0.016	-0.0064	0.0022	0.01	0.1097	-0.0057
3	en	ar	1	0.0289	0.0415	0.0689	-0.0016	0.1358	0.0406	0.0774	0.0063	0.1765	0.0061	0.0014	0.0122	0.0229	0.1181	0
4	en	ar	1	0.0346	0.0512	0.0786	-0.0028	0.1391	0.075	0.1126	0.0129	0.2897	0.0144	0.0082	0.0264	0.0287	0.1034	0
2	en	ar	2	-0.0104	-0.0174	-0.0922	0.0008	-0.0337	-0.0394	-0.0413	-0.0083	-0.0582	-0.0141	-0.0187	-0.0161	-0.0169	0.0205	-0.0085
3	en	ar	2	-0.0082	-0.0121	-0.0272	0.001	-0.0076	-0.0294	-0.0391	-0.0061	-0.1306	-0.013	-0.0114	-0.0082	-0.0101	-0.0186	0
4	en	ar	2	-0.0013	-0.0005	0.0242	-0.0006	0.0042	-0.0043	0.0036	-0.0016	-0.0266	-0.0048	-0.0036	-0.0004	0.0014	-0.0032	0
2	en	ar	3	0.0221	0.0312	0.007	-0.0002	0.1273	0.049	0.0742	0.0033	0.2195	0.0022	0.0007	0.0044	0.0041	0.0523	-0.0028
3	en	ar	3	0.0253	0.038	0.0752	-0.0004	0.163	0.0479	0.0903	0.0113	0.185	-0.0023	0.0082	0.0032	0.0181	0.077	-0.0028
4	en	ar	3	0.0335	0.0486	0.1108	0.0002	0.174	0.0627	0.1273	0.0155	0.3212	0.0177	-0.0005	0.0235	0.0283	0.0672	0
2	en	en	1	0.0169	0.0333	0.0182	-0.0006	-0.0164	-0.0994	0.0319	-0.0007	0.0784	-0.0118	-0.0279	0.0247	0.0047	-0.0335	0.0029
3	en	en	1	0.0502	0.0713	0.0007	-0.0014	0.036	-0.0845	0.1253	-0.0124	0.1015	-0.0108	-0.0513	0.0018	-0.0084	-0.0241	-0.0087
4	en	en	1	0.0694	0.1003	0.1085	-0.0006	0.1269	0.2187	0.1978	0.0029	0.3144	-0.0125	-0.0559	-0.0171	0.026	0.1654	-0.0115
2	en	en	2	0.0204	0.0253	-0.0481	0.0006	-0.0005	-0.0788	0.002	0.0015	0.0785	-0.0053	0.0192	0.0121	1E-04	-0.0336	0.0029
3	en	en	2	0.0555	0.0717	-0.0263	-0.0021	0.0503	-0.0968	0.0968	-0.0099	0.0667	-0.014	-0.0376	0.02	-0.0185	0.01	-0.0029
4	en	en	2	0.0713	0.0951	0.0838	-0.0004	0.1401	0.2173	0.1682	0.005	0.3146	0.0011	-0.0318	-0.0074	0.0228	0.1496	-0.0057
2	en	en	3	0.0196	0.0281	-0.0224	-0.0033	-0.0137	-0.1261	0.029	0.0116	0.0934	-0.0093	-0.0061	0.0065	-0.0085	-0.1097	-0.0029
3	en	en	3	0.0524	0.0681	-0.0561	-0.0036	0.0288	-0.1697	0.1058	-0.0055	0.1827	-0.033	-0.0384	-0.0118	-0.0174	0.0088	-0.0087
4	en	en	3	0.0724	0.098	0.0806	-0.0012	0.112	0.1503	0.2008	0.0085	0.3358	-0.0248	-0.0279	0.0098	0.0161	0.0768	-0.0086
2	en	es	1	0.0104	0.0155	0.0188	0	0.0129	-0.0503	0.025	0.0004	0.0835	-0.0075	0.0008	0.02	0.0089	0.0054	0
3	en	es	1	0.0222	0.0305	0.0808	-0.0003	0.0255	-0.123	0.0609	0.0063	0.1174	0.0225	0.0108	0.0111	0.014	0.0722	0
4	en	es	1	0.0277	0.039	0.1365	0.0002	0.0753	0.0115	0.0903	0.0142	0.1766	0.0247	0.0207	0.0258	0.0139	0.1068	0
2	en	es	2	0.0128	0.0167	-0.0096	0.0005	0.0085	-0.0394	0.0244	-0.0006	0.1023	-0.0058	-0.0198	-0.0148	-0.0031	0.0348	-0.0028
3	en	es	2	0.021	0.0267	0.0578	-0.0002	0.0117	-0.09	0.0706	0.0037	0.1297	0.0061	-0.0116	0.0042	0.0095	0.0463	0
4	en	es	2	0.0283	0.038	0.1297	-0.0014	0.0699	0.0137	0.0975	0.014	0.2133	0.0167	-0.0075	0.0159	0.0179	0.1109	0
2	en	es	3	0.0143	0.0171	0.02	0.0017	0.0013	-0.0474	0.0314	0.0044	0.1119	0.0044	0.0208	-0.0118	0.0031	0.0446	0
3	en	es	3	0.0216	0.0287	0.05	0.0014	0.0075	-0.1117	0.0654	0.0055	0.1358	0.0138	0.0098	-0.0067	0.014	0.0521	0
4	en	es	3	0.0283	0.0361	0.1191	0.0012	0.0511	0.0064	0.0807	0.0128	0.2411	0.0282	0.0025	0.0046	0.0171	0.0773	0
2	en	fr	1	0.0277	0.0393	0.057	0.001	0.0428	0.057	0.0761	0.0105	0.1384	0.0196	-0.0065	-0.0018	0.0207	0.1081	-0.0028
3	en	fr	1	0.0357	0.0506	0.1092	0.0012	0.1341	0.1409	0.1117	0.0177	0.2277	0.0212	0.0029	0.0019	0.0295	0.1546	0
4	en	fr	1	0.0461	0.0666	0.1621	0.0018	0.1578	0.1459	0.1164	0.0242	0.3361	0.0228	0.0172	0.0157	0.0387	0.1531	0
2	en	fr	2	0.0231	0.0326	0.0495	-0.0006	0.038	0.0714	0.0886	0.0045	0.1086	0.0089	-0.0133	-0.0013	0.0161	0.1039	0
3	en	fr	2	0.0319	0.0409	0.0699	0.0008	0.1198	0.124	0.1007	0.0116	0.2296	0.024	-0.0191	0.0023	0.0264	0.125	0
4	en	fr	2	0.0418	0.0601	0.1446	0.0008	0.1537	0.139	0.1256	0.0144	0.3731	0.0231	-0.0083	0.0359	0.0379	0.156	0
2	en	fr	3	0.0245	0.0349	0.0631	0.0008	0.0573	0.0535	0.063	0.0092	0.0868	0.0105	0.0086	0.01	0.0207	0.1183	0.0057
3	en	fr	3	0.0319	0.0447	0.0833	0.0008	0.1171	0.1202	0.0939	0.0141	0.1775	0.0108	0.0047	0.0195	0.0264	0.1539	0.0057
4	en	fr	3	0.0428	0.0598	0.1442	0.001	0.1527	0.1246	0.1194	0.0205	0.3121	0.0261	0.0255	0.0247	0.0456	0.1275	0.0029
2	en	ru	1	0.0087	0.0121	-0.0347	-0.0021	0.0608	-0.0147	0.0535	-0.0125	0.1228	-0.0066	-0.0041	0.0106	0.0073	0.0539	-0.0028
3	en	ru	1	0.0228	0.0284	0.0664	-0.003	0.0535	-0.0552	0.1016	0.0089	0.1461	0.0247	-0.0194	0.0444	0.0394	0.0831	-0.0028
4	en	ru	1	0.0248	0.0305	0.0838	-0.0025	0.0801	0.0234	0.1159	0.0097	0.2298	0.0137	-0.0143	0.0179	0.0432	0.1448	0
2	en	ru	2	0.0096	0.0162	-0.0087	-0.0016	0.0695	0.0067	0.0374	-0.0076	0.2127	0.0065	-0.0417	0.0209	-0.0062	0.0427	-0.0058
3	en	ru	2	0.0245	0.0305	0.0454	-0.0012	0.0461	-0.0311	0.0721	0.0156	0.3184	0.0262	-0.0151	0.0346	0.0282	0.0711	0.0028
4	en	ru	2	0.0253	0.0326	0.0994	-0.0033	0.0867	0.0661	0.0959	0.0182	0.3711	0.0245	-0.0183	0.0164	0.0306	0.0793	0
