layer	source	target	run	ARG1	ARG2	ARG3	BV	_and_c	_or_c	appos	compound	conj	loc	mwe	neg	poss	subord	times
0	en	ar	1	0.8261	0.7633	0.5636	0.9856	0.4254	0.5241	0.5867	0.8218	0.031	0.8186	0.8506	0.832	0.7745	0.497	1
1	en	ar	1	0.9298	0.91	0.704	0.995	0.7764	0.8655	0.826	0.9235	0.4352	0.908	0.9072	0.9191	0.9312	0.6347	1
2	en	ar	1	0.9542	0.9438	0.7029	0.9928	0.8802	0.9061	0.9067	0.9247	0.6087	0.924	0.9008	0.9213	0.9412	0.7444	0.9943
3	en	ar	1	0.9587	0.9515	0.7729	0.9934	0.9122	0.9061	0.9034	0.9298	0.6117	0.9141	0.9086	0.9313	0.9541	0.7528	1
4	en	ar	1	0.9644	0.9612	0.7826	0.9922	0.9155	0.9405	0.9386	0.9364	0.7249	0.9224	0.9154	0.9455	0.9599	0.7381	1
0	en	ar	2	0.8252	0.7618	0.5257	0.9844	0.4129	0.5109	0.5931	0.8253	0.0597	0.8328	0.862	0.8324	0.7712	0.5185	1
1	en	ar	2	0.9286	0.9083	0.6752	0.993	0.7602	0.8492	0.8419	0.9266	0.4468	0.9057	0.8922	0.9249	0.9302	0.6108	0.9972
2	en	ar	2	0.954	0.9438	0.6904	0.993	0.8818	0.9011	0.8973	0.9281	0.6667	0.9083	0.8967	0.9294	0.943	0.7586	0.9915
3	en	ar	2	0.9562	0.9491	0.7554	0.9932	0.9079	0.9111	0.8995	0.9303	0.5943	0.9094	0.904	0.9373	0.9498	0.7195	1
4	en	ar	2	0.9631	0.9607	0.8068	0.9916	0.9197	0.9362	0.9422	0.9348	0.6983	0.9176	0.9118	0.9451	0.9613	0.7349	1
0	en	ar	3	0.8185	0.7613	0.5588	0.9843	0.4228	0.5109	0.5729	0.8198	0.0301	0.8284	0.8407	0.8242	0.7558	0.4872	1
1	en	ar	3	0.9315	0.9121	0.6932	0.9934	0.7513	0.8571	0.8217	0.9213	0.4186	0.9133	0.8967	0.9309	0.9307	0.6471	1
2	en	ar	3	0.9536	0.9433	0.7002	0.9932	0.8786	0.9061	0.8959	0.9246	0.6381	0.9155	0.8974	0.9353	0.9348	0.6994	0.9972
3	en	ar	3	0.9568	0.9501	0.7684	0.993	0.9143	0.905	0.912	0.9326	0.6036	0.911	0.9049	0.9341	0.9488	0.7241	0.9972
4	en	ar	3	0.965	0.9607	0.804	0.9936	0.9253	0.9198	0.949	0.9368	0.7398	0.931	0.8962	0.9544	0.959	0.7143	1
