layer	source	target	run	ARG1	ARG2	ARG3	BV	_and_c	_or_c	appos	compound	conj	loc	mwe	neg	poss	subord	times
0	en	en	1	0.7599	0.6748	0.3764	0.983	0.1784	0.4848	0.5307	0.7818	0.0315	0.7649	0.8162	0.8265	0.7536	0.3704	0.9914
1	en	en	1	0.843	0.7871	0.4839	0.9905	0.6702	0.6069	0.6684	0.8701	0.2038	0.8388	0.9016	0.8716	0.8995	0.3281	0.9943
2	en	en	1	0.8599	0.8204	0.5021	0.9899	0.6538	0.5075	0.7003	0.8694	0.2822	0.827	0.8737	0.8963	0.9042	0.2946	0.9972
3	en	en	1	0.8932	0.8584	0.4846	0.9891	0.7062	0.5224	0.7937	0.8577	0.3053	0.828	0.8503	0.8734	0.8911	0.304	0.9856
4	en	en	1	0.9124	0.8874	0.5924	0.9899	0.7971	0.8256	0.8662	0.873	0.5182	0.8263	0.8457	0.8545	0.9255	0.4935	0.9828
0	en	en	2	0.7633	0.6874	0.4462	0.9841	0.2033	0.4962	0.5127	0.7783	0.0156	0.7604	0.8272	0.8373	0.7431	0.2791	1
1	en	en	2	0.8405	0.7907	0.4979	0.9903	0.6573	0.6043	0.6915	0.8647	0.2	0.8276	0.8691	0.858	0.9035	0.3259	0.9885
2	en	en	2	0.8609	0.816	0.4498	0.9909	0.6568	0.5255	0.6935	0.8662	0.2785	0.8223	0.8883	0.8701	0.9036	0.2923	0.9914
3	en	en	2	0.896	0.8624	0.4716	0.9882	0.7076	0.5075	0.7883	0.8548	0.2667	0.8136	0.8315	0.878	0.885	0.3359	0.9856
4	en	en	2	0.9118	0.8858	0.5817	0.9899	0.7974	0.8216	0.8597	0.8697	0.5146	0.8287	0.8373	0.8506	0.9263	0.4755	0.9828
0	en	en	3	0.7626	0.6832	0.3983	0.9848	0.1958	0.4925	0.5183	0.7834	0	0.7768	0.8338	0.8235	0.7531	0.3231	1
1	en	en	3	0.8431	0.7926	0.497	0.9911	0.6602	0.6849	0.6583	0.8649	0.1923	0.8444	0.8759	0.8644	0.9135	0.4	0.9943
2	en	en	3	0.8627	0.8207	0.4746	0.9878	0.6465	0.5588	0.6873	0.8765	0.2857	0.8351	0.8698	0.8709	0.905	0.2903	0.9914
3	en	en	3	0.8955	0.8607	0.4409	0.9875	0.689	0.5152	0.7641	0.8594	0.375	0.8114	0.8375	0.8526	0.8961	0.4088	0.9856
4	en	en	3	0.9155	0.8906	0.5776	0.9899	0.7722	0.8352	0.8591	0.8734	0.5281	0.8196	0.848	0.8742	0.9296	0.4768	0.9857
