layer	source	target	run	ARG1	ARG2	ARG3	BV	_and_c	_or_c	appos	compound	conj	loc	mwe	neg	poss	subord	times
0	en	es	1	0.8191	0.7571	0.5602	0.9862	0.4069	0.4925	0.587	0.8193	0.0303	0.8204	0.8351	0.8499	0.7635	0.4795	1
1	en	es	1	0.9385	0.9231	0.6714	0.9949	0.8475	0.9091	0.8629	0.9237	0.5714	0.897	0.8997	0.9318	0.9428	0.6821	1
2	en	es	1	0.9489	0.9386	0.6902	0.9949	0.8604	0.8588	0.8879	0.9241	0.6549	0.8895	0.9005	0.9518	0.9517	0.6875	1
3	en	es	1	0.9607	0.9536	0.7522	0.9946	0.873	0.7861	0.9238	0.93	0.6888	0.9195	0.9105	0.9429	0.9568	0.7543	1
4	en	es	1	0.9662	0.9621	0.8079	0.9951	0.9228	0.9206	0.9532	0.9379	0.748	0.9217	0.9204	0.9576	0.9567	0.7889	1
0	en	es	2	0.8184	0.7562	0.532	0.986	0.3972	0.5072	0.5964	0.8181	0.0305	0.8074	0.8416	0.8315	0.7686	0.5	1
1	en	es	2	0.9381	0.9247	0.6931	0.9944	0.8527	0.9061	0.8604	0.9261	0.5521	0.9009	0.9188	0.9419	0.9466	0.6936	1
2	en	es	2	0.9509	0.9414	0.6835	0.9949	0.8612	0.8667	0.8848	0.9255	0.6544	0.8951	0.899	0.9271	0.9435	0.7284	0.9972
3	en	es	2	0.9591	0.9514	0.7509	0.9942	0.8644	0.8161	0.931	0.9298	0.6818	0.907	0.9072	0.9461	0.9561	0.7399	1
4	en	es	2	0.9664	0.9627	0.8228	0.993	0.9226	0.9198	0.9579	0.9401	0.7654	0.9176	0.9113	0.9578	0.9645	0.8045	1
0	en	es	3	0.8214	0.7516	0.5347	0.9866	0.4112	0.5	0.5918	0.8268	0.016	0.8157	0.86	0.8352	0.7893	0.4737	1
1	en	es	3	0.9381	0.9247	0.688	0.9932	0.8611	0.8962	0.8711	0.9231	0.5426	0.8937	0.9034	0.944	0.9411	0.7024	1
2	en	es	3	0.9524	0.9418	0.708	0.9949	0.8624	0.8488	0.9025	0.9275	0.6545	0.8981	0.9242	0.9322	0.9442	0.747	1
3	en	es	3	0.9597	0.9534	0.738	0.9946	0.8686	0.7845	0.9365	0.9286	0.6784	0.9075	0.9132	0.9373	0.9551	0.7545	1
4	en	es	3	0.9664	0.9608	0.8071	0.9944	0.9122	0.9026	0.9518	0.9359	0.7837	0.9219	0.9059	0.9486	0.9582	0.7797	1
