layer	source	target	run	ARG1	ARG2	ARG3	BV	_and_c	_or_c	appos	compound	conj	loc	mwe	neg	poss	subord	times
0	en	fr	1	0.814	0.7572	0.5353	0.9864	0.4038	0.5205	0.5855	0.8211	0.0313	0.8173	0.8535	0.8531	0.7563	0.4487	1
1	en	fr	1	0.9197	0.894	0.6441	0.9928	0.7786	0.7953	0.8178	0.9137	0.3842	0.8863	0.9016	0.9244	0.9232	0.6012	1
2	en	fr	1	0.9474	0.9333	0.7011	0.9938	0.8214	0.8523	0.8939	0.9242	0.5226	0.9059	0.8951	0.9226	0.9439	0.7093	0.9972
3	en	fr	1	0.9554	0.9446	0.7533	0.994	0.9127	0.9362	0.9295	0.9314	0.6119	0.9075	0.9045	0.9263	0.9527	0.7558	1
4	en	fr	1	0.9658	0.9606	0.8062	0.9946	0.9364	0.9412	0.9342	0.9379	0.7203	0.9091	0.9188	0.9401	0.9619	0.7543	1
0	en	fr	2	0.8179	0.757	0.5304	0.9868	0.3848	0.4964	0.5846	0.8192	0.0571	0.8163	0.8338	0.8164	0.7536	0.4459	1
1	en	fr	2	0.9241	0.9025	0.6691	0.9938	0.7867	0.8072	0.8176	0.9222	0.4114	0.8975	0.9165	0.9217	0.9231	0.6087	0.9972
2	en	fr	2	0.9472	0.9351	0.7186	0.9932	0.8247	0.8786	0.9062	0.9267	0.52	0.9064	0.9032	0.9204	0.9392	0.7126	0.9972
3	en	fr	2	0.956	0.9434	0.739	0.9946	0.9065	0.9312	0.9183	0.9338	0.641	0.9215	0.8974	0.924	0.9495	0.7337	0.9972
4	en	fr	2	0.9659	0.9626	0.8137	0.9946	0.9404	0.9462	0.9432	0.9366	0.7845	0.9206	0.9082	0.9576	0.961	0.7647	0.9972
0	en	fr	3	0.819	0.7606	0.565	0.9849	0.4322	0.5035	0.5975	0.8219	0.0584	0.8232	0.8372	0.8174	0.7694	0.443	1
1	en	fr	3	0.9241	0.9011	0.6654	0.9936	0.7809	0.8166	0.8233	0.9195	0.442	0.8999	0.8945	0.9186	0.9234	0.5976	0.9943
2	en	fr	3	0.9486	0.936	0.7285	0.9944	0.8382	0.8701	0.8863	0.9287	0.5288	0.9104	0.9031	0.9286	0.9441	0.7159	1
3	en	fr	3	0.956	0.9458	0.7487	0.9944	0.898	0.9368	0.9172	0.9336	0.6195	0.9107	0.8992	0.9381	0.9498	0.7515	1
4	en	fr	3	0.9669	0.9609	0.8096	0.9946	0.9336	0.9412	0.9427	0.94	0.7541	0.926	0.92	0.9433	0.969	0.7251	0.9972
