layer	source	target	run	ARG1	ARG2	ARG3	BV	_and_c	_or_c	appos	compound	conj	loc	mwe	neg	poss	subord	times
0	en	ru	1	0.8176	0.7532	0.5245	0.9849	0.4024	0.5109	0.5637	0.8233	0.0155	0.8208	0.8342	0.8412	0.7645	0.479	1
1	en	ru	1	0.9304	0.9158	0.6742	0.9938	0.8389	0.8876	0.8282	0.9128	0.5083	0.8849	0.9021	0.9139	0.9167	0.5625	0.9943
2	en	ru	1	0.9391	0.9279	0.6395	0.9917	0.8997	0.8729	0.8817	0.9003	0.6311	0.8783	0.898	0.9245	0.924	0.6164	0.9915
3	en	ru	1	0.9532	0.9442	0.7406	0.9908	0.8924	0.8324	0.9298	0.9217	0.6544	0.9096	0.8827	0.9583	0.9561	0.6456	0.9915
4	en	ru	1	0.9552	0.9463	0.758	0.9913	0.919	0.911	0.9441	0.9225	0.7381	0.8986	0.8878	0.9318	0.9599	0.7073	0.9943
0	en	ru	2	0.8168	0.7497	0.5154	0.9851	0.4064	0.518	0.584	0.8171	0.0301	0.831	0.8535	0.8476	0.7624	0.4706	1
1	en	ru	2	0.931	0.9152	0.6704	0.9932	0.8328	0.8488	0.851	0.9093	0.3799	0.8824	0.9219	0.9181	0.93	0.6036	0.9972
2	en	ru	2	0.9406	0.9314	0.6617	0.9916	0.9023	0.8555	0.8884	0.9017	0.5926	0.8889	0.8802	0.939	0.9238	0.6463	0.9914
3	en	ru	2	0.9555	0.9457	0.7158	0.992	0.8789	0.8177	0.9231	0.9249	0.6983	0.9086	0.9068	0.9527	0.9582	0.6747	1
4	en	ru	2	0.9563	0.9478	0.7698	0.9899	0.9195	0.9149	0.9469	0.9275	0.751	0.9069	0.9036	0.9345	0.9606	0.6829	0.9972
0	en	ru	3	0.8158	0.745	0.5554	0.9837	0.3921	0.5037	0.5963	0.8161	0	0.815	0.8303	0.8563	0.7617	0.4431	1
1	en	ru	3	0.9295	0.9146	0.6493	0.9928	0.8279	0.8492	0.8326	0.9107	0.4358	0.8866	0.9063	0.9139	0.9195	0.5963	0.9943
2	en	ru	3	0.9408	0.929	0.6527	0.9905	0.8866	0.8333	0.8864	0.9048	0.6119	0.881	0.8849	0.9249	0.9152	0.6545	0.9886
3	en	ru	3	0.9548	0.9463	0.7289	0.9922	0.8906	0.8315	0.9268	0.9247	0.7009	0.8964	0.8972	0.9412	0.9627	0.6788	0.9943
4	en	ru	3	0.9541	0.9476	0.7521	0.9912	0.9191	0.9247	0.9443	0.9249	0.7647	0.9067	0.899	0.9235	0.9668	0.6587	0.9972
