layer	source	target	run	ARG1	ARG2	ARG3	BV	_and_c	_or_c	appos	compound	conj	loc	mwe	neg	poss	subord	times
0	en	zh	1	0.8201	0.7537	0.5465	0.9849	0.3986	0.518	0.5789	0.8184	0.0301	0.8069	0.8372	0.8174	0.7543	0.4906	1
1	en	zh	1	0.9336	0.9199	0.6306	0.9938	0.7874	0.8876	0.8222	0.9031	0.4316	0.8928	0.8951	0.9086	0.9197	0.6415	0.9972
2	en	zh	1	0.9398	0.9348	0.7	0.9907	0.8832	0.8166	0.8929	0.8998	0.6379	0.8755	0.8667	0.9329	0.9238	0.638	1
3	en	zh	1	0.9543	0.9505	0.7854	0.9922	0.8834	0.7955	0.9156	0.9214	0.7059	0.9064	0.8798	0.9483	0.9565	0.7229	0.9943
4	en	zh	1	0.9544	0.9511	0.7966	0.9901	0.9251	0.9239	0.9383	0.9225	0.7359	0.9175	0.9211	0.9279	0.9653	0.6497	0.9972
0	en	zh	2	0.821	0.7622	0.5558	0.9852	0.4076	0.518	0.5736	0.8175	0.0752	0.8167	0.855	0.8333	0.764	0.4815	1
1	en	zh	2	0.9338	0.922	0.6704	0.9926	0.8051	0.9022	0.8356	0.905	0.4124	0.8879	0.8974	0.924	0.9201	0.6235	0.9943
2	en	zh	2	0.9414	0.934	0.6777	0.9899	0.8818	0.8475	0.8807	0.8994	0.6555	0.8754	0.8685	0.9267	0.9112	0.6538	1
3	en	zh	2	0.9547	0.9506	0.7735	0.9926	0.8838	0.8136	0.922	0.9227	0.6975	0.894	0.8906	0.9524	0.9538	0.686	0.9972
4	en	zh	2	0.9534	0.9501	0.7898	0.9891	0.9238	0.9043	0.9448	0.9223	0.7632	0.9126	0.9021	0.9415	0.9617	0.6585	0.9943
0	en	zh	3	0.821	0.7614	0.574	0.9847	0.408	0.5286	0.5635	0.8203	0.0432	0.8086	0.8635	0.8352	0.7578	0.4487	1
1	en	zh	3	0.9321	0.9225	0.648	0.9911	0.7921	0.8686	0.829	0.9044	0.4579	0.8783	0.8936	0.9075	0.9302	0.6467	1
2	en	zh	3	0.9418	0.9375	0.7076	0.9911	0.8899	0.8492	0.8825	0.9005	0.6494	0.8759	0.8667	0.9358	0.9178	0.6289	0.9972
3	en	zh	3	0.9548	0.9487	0.7676	0.9924	0.8895	0.8045	0.9342	0.9195	0.6847	0.9104	0.8992	0.9325	0.9462	0.7442	0.9972
4	en	zh	3	0.956	0.9525	0.7993	0.9909	0.9152	0.9206	0.9425	0.9229	0.7719	0.9131	0.9054	0.9358	0.9644	0.675	0.9915
