layer	source	target	run	ARG1	ARG2	ARG3	BV	_and_c	_or_c	appos	compound	conj	loc	mwe	neg	poss	subord	times
0	en	ar	1	0.8261	0.7633	0.5636	0.9856	0.4254	0.5241	0.5867	0.8218	0.031	0.8186	0.8506	0.832	0.7745	0.497	1
1	en	ar	1	0.9298	0.91	0.704	0.995	0.7764	0.8655	0.826	0.9235	0.4352	0.908	0.9072	0.9191	0.9312	0.6347	1
2	en	ar	1	0.9542	0.9438	0.7029	0.9928	0.8802	0.9061	0.9067	0.9247	0.6087	0.924	0.9008	0.9213	0.9412	0.7444	0.9943
3	en	ar	1	0.9587	0.9515	0.7729	0.9934	0.9122	0.9061	0.9034	0.9298	0.6117	0.9141	0.9086	0.9313	0.9541	0.7528	1
4	en	ar	1	0.9644	0.9612	0.7826	0.9922	0.9155	0.9405	0.9386	0.9364	0.7249	0.9224	0.9154	0.9455	0.9599	0.7381	1
0	en	ar	2	0.8252	0.7618	0.5257	0.9844	0.4129	0.5109	0.5931	0.8253	0.0597	0.8328	0.862	0.8324	0.7712	0.5185	1
1	en	ar	2	0.9286	0.9083	0.6752	0.993	0.7602	0.8492	0.8419	0.9266	0.4468	0.9057	0.8922	0.9249	0.9302	0.6108	0.9972
2	en	ar	2	0.954	0.9438	0.6904	0.993	0.8818	0.9011	0.8973	0.9281	0.6667	0.9083	0.8967	0.9294	0.943	0.7586	0.9915
3	en	ar	2	0.9562	0.9491	0.7554	0.9932	0.9079	0.9111	0.8995	0.9303	0.5943	0.9094	0.904	0.9373	0.9498	0.7195	1
4	en	ar	2	0.9631	0.9607	0.8068	0.9916	0.9197	0.9362	0.9422	0.9348	0.6983	0.9176	0.9118	0.9451	0.9613	0.7349	1
0	en	ar	3	0.8185	0.7613	0.5588	0.9843	0.4228	0.5109	0.5729	0.8198	0.0301	0.8284	0.8407	0.8242	0.7558	0.4872	1
1	en	ar	3	0.9315	0.9121	0.6932	0.9934	0.7513	0.8571	0.8217	0.9213	0.4186	0.9133	0.8967	0.9309	0.9307	0.6471	1
2	en	ar	3	0.9536	0.9433	0.7002	0.9932	0.8786	0.9061	0.8959	0.9246	0.6381	0.9155	0.8974	0.9353	0.9348	0.6994	0.9972
3	en	ar	3	0.9568	0.9501	0.7684	0.993	0.9143	0.905	0.912	0.9326	0.6036	0.911	0.9049	0.9341	0.9488	0.7241	0.9972
4	en	ar	3	0.965	0.9607	0.804	0.9936	0.9253	0.9198	0.949	0.9368	0.7398	0.931	0.8962	0.9544	0.959	0.7143	1
0	en	en	1	0.7599	0.6748	0.3764	0.983	0.1784	0.4848	0.5307	0.7818	0.0315	0.7649	0.8162	0.8265	0.7536	0.3704	0.9914
1	en	en	1	0.843	0.7871	0.4839	0.9905	0.6702	0.6069	0.6684	0.8701	0.2038	0.8388	0.9016	0.8716	0.8995	0.3281	0.9943
2	en	en	1	0.8599	0.8204	0.5021	0.9899	0.6538	0.5075	0.7003	0.8694	0.2822	0.827	0.8737	0.8963	0.9042	0.2946	0.9972
3	en	en	1	0.8932	0.8584	0.4846	0.9891	0.7062	0.5224	0.7937	0.8577	0.3053	0.828	0.8503	0.8734	0.8911	0.304	0.9856
4	en	en	1	0.9124	0.8874	0.5924	0.9899	0.7971	0.8256	0.8662	0.873	0.5182	0.8263	0.8457	0.8545	0.9255	0.4935	0.9828
0	en	en	2	0.7633	0.6874	0.4462	0.9841	0.2033	0.4962	0.5127	0.7783	0.0156	0.7604	0.8272	0.8373	0.7431	0.2791	1
1	en	en	2	0.8405	0.7907	0.4979	0.9903	0.6573	0.6043	0.6915	0.8647	0.2	0.8276	0.8691	0.858	0.9035	0.3259	0.9885
2	en	en	2	0.8609	0.816	0.4498	0.9909	0.6568	0.5255	0.6935	0.8662	0.2785	0.8223	0.8883	0.8701	0.9036	0.2923	0.9914
3	en	en	2	0.896	0.8624	0.4716	0.9882	0.7076	0.5075	0.7883	0.8548	0.2667	0.8136	0.8315	0.878	0.885	0.3359	0.9856
4	en	en	2	0.9118	0.8858	0.5817	0.9899	0.7974	0.8216	0.8597	0.8697	0.5146	0.8287	0.8373	0.8506	0.9263	0.4755	0.9828
0	en	en	3	0.7626	0.6832	0.3983	0.9848	0.1958	0.4925	0.5183	0.7834	0	0.7768	0.8338	0.8235	0.7531	0.3231	1
1	en	en	3	0.8431	0.7926	0.497	0.9911	0.6602	0.6849	0.6583	0.8649	0.1923	0.8444	0.8759	0.8644	0.9135	0.4	0.9943
2	en	en	3	0.8627	0.8207	0.4746	0.9878	0.6465	0.5588	0.6873	0.8765	0.2857	0.8351	0.8698	0.8709	0.905	0.2903	0.9914
3	en	en	3	0.8955	0.8607	0.4409	0.9875	0.689	0.5152	0.7641	0.8594	0.375	0.8114	0.8375	0.8526	0.8961	0.4088	0.9856
4	en	en	3	0.9155	0.8906	0.5776	0.9899	0.7722	0.8352	0.8591	0.8734	0.5281	0.8196	0.848	0.8742	0.9296	0.4768	0.9857
0	en	es	1	0.8191	0.7571	0.5602	0.9862	0.4069	0.4925	0.587	0.8193	0.0303	0.8204	0.8351	0.8499	0.7635	0.4795	1
1	en	es	1	0.9385	0.9231	0.6714	0.9949	0.8475	0.9091	0.8629	0.9237	0.5714	0.897	0.8997	0.9318	0.9428	0.6821	1
2	en	es	1	0.9489	0.9386	0.6902	0.9949	0.8604	0.8588	0.8879	0.9241	0.6549	0.8895	0.9005	0.9518	0.9517	0.6875	1
